Country,Outcome,Coverage,Mediator,Diet-attributable increase,GLP-1 reduction,Offset ratio
CHN,IHD,20%,FPG,0.0138,0.0874,1.0
CHN,IHD,20%,LDL,0.2459,0.0244,0.099
CHN,IschStroke,20%,SBP,4.1859,1.02,0.244
CHN,IschStroke,20%,FPG,0.0979,0.0874,0.893
CHN,IschStroke,20%,LDL,0.0197,0.0244,1.0
CHN,SAH,20%,SBP,5.0974,1.02,0.2
CHN,SAH,20%,FPG,0.0,0.0874,0.0
CHN,SAH,20%,LDL,0.0,0.0244,0.0
CHN,T2D,20%,SBP,0.0,0.0,0.0
CHN,T2D,20%,FPG,0.0,0.0,0.146
CHN,T2D,20%,LDL,0.0,0.0,0.0
DEU,CKD,20%,SBP,0.0,0.0,0.114
DEU,CKD,20%,FPG,0.0,0.0,0.048
DEU,CKD,20%,LDL,0.0,0.0,0.0
DEU,ICH,20%,SBP,1.2316,1.02,0.828
DEU,ICH,20%,FPG,0.0032,0.0874,1.0
DEU,ICH,20%,LDL,0.0,0.0275,0.0
DEU,IHD,20%,SBP,1.6101,1.02,0.633
DEU,IHD,20%,FPG,0.0868,0.0874,1.0
DEU,IHD,20%,LDL,0.1943,0.0275,0.142
DEU,IschStroke,20%,SBP,1.0474,1.02,0.974
DEU,IschStroke,20%,FPG,0.2918,0.0874,0.299
DEU,IschStroke,20%,LDL,0.0142,0.0275,1.0
DEU,SAH,20%,SBP,1.2184,1.02,0.837
DEU,SAH,20%,FPG,0.0,0.0874,0.0
DEU,SAH,20%,LDL,0.0,0.0275,0.0
DEU,T2D,20%,SBP,0.0,0.0,0.0
DEU,T2D,20%,FPG,0.0,0.0,0.146
DEU,T2D,20%,LDL,0.0,0.0,0.0
EGY,CKD,20%,SBP,0.0,0.0,0.191
EGY,CKD,20%,FPG,0.0,0.0,0.048
EGY,CKD,20%,LDL,0.0,0.0,0.0
EGY,ICH,20%,SBP,0.7814,1.02,1.0
EGY,ICH,20%,FPG,0.0,0.0874,0.0
EGY,ICH,20%,LDL,0.0,0.0234,0.0
EGY,IHD,20%,SBP,1.0945,1.02,0.932
EGY,IHD,20%,FPG,0.0307,0.0874,1.0
EGY,IHD,20%,LDL,0.2449,0.0234,0.096
EGY,IschStroke,20%,SBP,0.9669,1.02,1.0
EGY,IschStroke,20%,FPG,0.0941,0.0874,0.928
EGY,IschStroke,20%,LDL,0.0091,0.0234,1.0
EGY,SAH,20%,SBP,0.7396,1.02,1.0
EGY,SAH,20%,FPG,0.0,0.0874,0.0
EGY,SAH,20%,LDL,0.0,0.0234,0.0
EGY,T2D,20%,SBP,0.0,0.0,0.0
EGY,T2D,20%,FPG,0.0,0.0,0.146
EGY,T2D,20%,LDL,0.0,0.0,0.0
GBR,CKD,20%,SBP,0.0,0.0,0.106
GBR,CKD,20%,FPG,0.0,0.0,0.048
GBR,CKD,20%,LDL,0.0,0.0,0.0
GBR,ICH,20%,SBP,0.9667,1.02,1.0
GBR,ICH,20%,FPG,0.0077,0.0874,1.0
GBR,ICH,20%,LDL,0.0,0.0266,0.0
GBR,IHD,20%,SBP,1.4458,1.02,0.705
GBR,IHD,20%,FPG,0.0925,0.0874,0.945
GBR,IHD,20%,LDL,0.3188,0.0266,0.084
GBR,IschStroke,20%,SBP,0.902,1.02,1.0
GBR,IschStroke,20%,FPG,0.2968,0.0874,0.294
GBR,IschStroke,20%,LDL,0.0157,0.0266,1.0
GBR,SAH,20%,SBP,0.8875,1.02,1.0
GBR,SAH,20%,FPG,0.0,0.0874,0.0
GBR,SAH,20%,LDL,0.0,0.0266,0.0
GBR,T2D,20%,SBP,0.0,0.0,0.0
GBR,T2D,20%,FPG,0.0,0.0,0.146
GBR,T2D,20%,LDL,0.0,0.0,0.0
GLB,CKD,20%,SBP,0.0,0.0,0.087
GLB,CKD,20%,FPG,0.0,0.0,0.048
GLB,CKD,20%,LDL,0.0,0.0,0.0
GLB,ICH,20%,SBP,3.0678,1.02,0.332
GLB,ICH,20%,FPG,0.0294,0.0874,1.0
GLB,ICH,20%,LDL,0.0,0.0234,0.0
GLB,IHD,20%,SBP,2.9668,1.02,0.344
GLB,IHD,20%,FPG,0.0726,0.0874,1.0
GLB,IHD,20%,LDL,0.2867,0.0234,0.082
GLB,IschStroke,20%,SBP,2.3888,1.02,0.427
GLB,IschStroke,20%,FPG,0.1627,0.0874,0.537
GLB,IschStroke,20%,LDL,0.0259,0.0234,0.907
GLB,SAH,20%,SBP,2.779,1.02,0.367
GLB,SAH,20%,FPG,0.0,0.0874,0.0
GLB,SAH,20%,LDL,0.0,0.0234,0.0
GLB,T2D,20%,SBP,0.0,0.0,0.0
GLB,T2D,20%,FPG,0.0,0.0,0.146
GLB,T2D,20%,LDL,0.0,0.0,0.0
IND,CKD,20%,SBP,0.0,0.0,0.073
IND,CKD,20%,FPG,0.0,0.0,0.048
IND,CKD,20%,LDL,0.0,0.0,0.0
IND,ICH,20%,SBP,1.845,1.02,0.553
IND,ICH,20%,FPG,0.0247,0.0874,1.0
IND,ICH,20%,LDL,0.0,0.021,0.0
IND,IHD,20%,SBP,2.3862,1.02,0.427
IND,IHD,20%,FPG,0.0842,0.0874,1.0
IND,IHD,20%,LDL,0.3692,0.021,0.057
IND,IschStroke,20%,SBP,1.5094,1.02,0.676
IND,IschStroke,20%,FPG,0.149,0.0874,0.587
IND,IschStroke,20%,LDL,0.04,0.021,0.523
IND,SAH,20%,SBP,1.8945,1.02,0.538
IND,SAH,20%,FPG,0.0,0.0874,0.0
IND,SAH,20%,LDL,0.0,0.021,0.0
IND,T2D,20%,SBP,0.0,0.0,0.0
IND,T2D,20%,FPG,0.0,0.0,0.146
IND,T2D,20%,LDL,0.0,0.0,0.0
ISR,CKD,20%,SBP,0.0,0.0,0.176
ISR,CKD,20%,FPG,0.0,0.0,0.048
ISR,CKD,20%,LDL,0.0,0.0,0.0
ISR,ICH,20%,SBP,1.1914,1.02,0.856
ISR,ICH,20%,FPG,0.0,0.0874,0.0
