Country,Outcome,Coverage,Mediator,Diet-attributable increase,GLP-1 reduction,Offset ratio
EGY,ICH,50%,SBP,0.7814,2.55,1.0
EGY,ICH,50%,FPG,0.0,0.2185,0.0
EGY,ICH,50%,LDL,0.0,0.0586,0.0
EGY,IHD,50%,SBP,1.0945,2.55,1.0
EGY,IHD,50%,FPG,0.0307,0.2185,1.0
EGY,IHD,50%,LDL,0.2449,0.0586,0.239
EGY,IschStroke,50%,SBP,0.9669,2.55,1.0
EGY,IschStroke,50%,FPG,0.0941,0.2185,1.0
EGY,IschStroke,50%,LDL,0.0091,0.0586,1.0
EGY,SAH,50%,SBP,0.7396,2.55,1.0
EGY,SAH,50%,FPG,0.0,0.2185,0.0
EGY,SAH,50%,LDL,0.0,0.0586,0.0
EGY,T2D,50%,SBP,0.0,0.0,0.0
EGY,T2D,50%,FPG,0.0,0.0,0.146
EGY,T2D,50%,LDL,0.0,0.0,0.0
GBR,CKD,50%,SBP,0.0,0.0,0.106
GBR,CKD,50%,FPG,0.0,0.0,0.048
GBR,CKD,50%,LDL,0.0,0.0,0.0
GBR,ICH,50%,SBP,0.9667,2.55,1.0
GBR,ICH,50%,FPG,0.0077,0.2185,1.0
GBR,ICH,50%,LDL,0.0,0.0666,0.0
GBR,IHD,50%,SBP,1.4458,2.55,1.0
GBR,IHD,50%,FPG,0.0925,0.2185,1.0
GBR,IHD,50%,LDL,0.3188,0.0666,0.209
GBR,IschStroke,50%,SBP,0.902,2.55,1.0
GBR,IschStroke,50%,FPG,0.2968,0.2185,0.736
GBR,IschStroke,50%,LDL,0.0157,0.0666,1.0
GBR,SAH,50%,SBP,0.8875,2.55,1.0
GBR,SAH,50%,FPG,0.0,0.2185,0.0
GBR,SAH,50%,LDL,0.0,0.0666,0.0
GBR,T2D,50%,SBP,0.0,0.0,0.0
GBR,T2D,50%,FPG,0.0,0.0,0.146
GBR,T2D,50%,LDL,0.0,0.0,0.0
GLB,CKD,50%,SBP,0.0,0.0,0.087
GLB,CKD,50%,FPG,0.0,0.0,0.048
GLB,CKD,50%,LDL,0.0,0.0,0.0
GLB,ICH,50%,SBP,3.0678,2.55,0.831
GLB,ICH,50%,FPG,0.0294,0.2185,1.0
GLB,ICH,50%,LDL,0.0,0.0586,0.0
GLB,IHD,50%,SBP,2.9668,2.55,0.86
GLB,IHD,50%,FPG,0.0726,0.2185,1.0
GLB,IHD,50%,LDL,0.2867,0.0586,0.204
GLB,IschStroke,50%,SBP,2.3888,2.55,1.0
GLB,IschStroke,50%,FPG,0.1627,0.2185,1.0
GLB,IschStroke,50%,LDL,0.0259,0.0586,1.0
GLB,SAH,50%,SBP,2.779,2.55,0.918
GLB,SAH,50%,FPG,0.0,0.2185,0.0
GLB,SAH,50%,LDL,0.0,0.0586,0.0
GLB,T2D,50%,SBP,0.0,0.0,0.0
GLB,T2D,50%,FPG,0.0,0.0,0.146
GLB,T2D,50%,LDL,0.0,0.0,0.0
IND,CKD,50%,SBP,0.0,0.0,0.073
IND,CKD,50%,FPG,0.0,0.0,0.048
IND,CKD,50%,LDL,0.0,0.0,0.0
IND,ICH,50%,SBP,1.845,2.55,1.0
IND,ICH,50%,FPG,0.0247,0.2185,1.0
IND,ICH,50%,LDL,0.0,0.0524,0.0
IND,IHD,50%,SBP,2.3862,2.55,1.0
IND,IHD,50%,FPG,0.0842,0.2185,1.0
IND,IHD,50%,LDL,0.3692,0.0524,0.142
IND,IschStroke,50%,SBP,1.5094,2.55,1.0
IND,IschStroke,50%,FPG,0.149,0.2185,1.0
IND,IschStroke,50%,LDL,0.04,0.0524,1.0
IND,SAH,50%,SBP,1.8945,2.55,1.0
IND,SAH,50%,FPG,0.0,0.2185,0.0
IND,SAH,50%,LDL,0.0,0.0524,0.0
IND,T2D,50%,SBP,0.0,0.0,0.0
IND,T2D,50%,FPG,0.0,0.0,0.146
IND,T2D,50%,LDL,0.0,0.0,0.0
ISR,CKD,50%,SBP,0.0,0.0,0.176
ISR,CKD,50%,FPG,0.0,0.0,0.048
ISR,CKD,50%,LDL,0.0,0.0,0.0
ISR,ICH,50%,SBP,1.1914,2.55,1.0
ISR,ICH,50%,FPG,0.0,0.2185,0.0
ISR,ICH,50%,LDL,0.0,0.0636,0.0
ISR,IHD,50%,SBP,1.4627,2.55,1.0
ISR,IHD,50%,FPG,0.0443,0.2185,1.0
ISR,IHD,50%,LDL,0.1667,0.0636,0.382
ISR,IschStroke,50%,SBP,0.944,2.55,1.0
ISR,IschStroke,50%,FPG,0.2006,0.2185,1.0
ISR,IschStroke,50%,LDL,0.01,0.0636,1.0
ISR,SAH,50%,SBP,1.1756,2.55,1.0
ISR,SAH,50%,FPG,0.0,0.2185,0.0
ISR,SAH,50%,LDL,0.0,0.0636,0.0
ISR,T2D,50%,SBP,0.0,0.0,0.0
ISR,T2D,50%,FPG,0.0,0.0,0.146
ISR,T2D,50%,LDL,0.0,0.0,0.0
JPN,CKD,50%,SBP,0.0,0.0,0.071
JPN,CKD,50%,FPG,0.0,0.0,0.048
JPN,CKD,50%,LDL,0.0,0.0,0.0
JPN,ICH,50%,SBP,2.519,2.55,1.0
JPN,ICH,50%,FPG,0.0007,0.2185,1.0
JPN,ICH,50%,LDL,0.0,0.067,0.0
JPN,IHD,50%,SBP,3.2807,2.55,0.777
JPN,IHD,50%,FPG,0.0646,0.2185,1.0
JPN,IHD,50%,LDL,0.3198,0.067,0.209
JPN,IschStroke,50%,SBP,2.2449,2.55,1.0
JPN,IschStroke,50%,FPG,0.2419,0.2185,0.903
JPN,IschStroke,50%,LDL,0.0155,0.067,1.0
JPN,SAH,50%,SBP,2.3868,2.55,1.0
JPN,SAH,50%,FPG,0.0,0.2185,0.0
JPN,SAH,50%,LDL,0.0,0.067,0.0
JPN,T2D,50%,SBP,0.0,0.0,0.0
JPN,T2D,50%,FPG,0.0,0.0,0.146
JPN,T2D,50%,LDL,0.0,0.0,0.0
MEX,CKD,50%,SBP,0.0,0.0,0.082
MEX,CKD,50%,FPG,0.0,0.0,0.048
MEX,CKD,50%,LDL,0.0,0.0,0.0
MEX,ICH,50%,SBP,1.5654,2.55,1.0
MEX,ICH,50%,FPG,0.0241,0.2185,1.0
MEX,ICH,50%,LDL,0.0,0.0674,0.0
MEX,IHD,50%,SBP,1.9846,2.55,1.0
MEX,IHD,50%,FPG,0.0811,0.2185,1.0
MEX,IHD,50%,LDL,0.1685,0.0674,0.4
MEX,IschStroke,50%,SBP,1.4729,2.55,1.0
MEX,IschStroke,50%,FPG,0.2045,0.2185,1.0
MEX,IschStroke,50%,LDL,0.0104,0.0674,1.0
MEX,SAH,50%,SBP,1.4588,2.55,1.0
MEX,SAH,50%,FPG,0.0,0.2185,0.0
MEX,SAH,50%,LDL,0.0,0.0674,0.0
MEX,T2D,50%,SBP,0.0,0.0,0.0
MEX,T2D,50%,FPG,0.0,0.0,0.146
MEX,T2D,50%,LDL,0.0,0.0,0.0
NGA,CKD,50%,SBP,0.0,0.0,0.066
NGA,CKD,50%,FPG,0.0,0.0,0.048
NGA,CKD,50%,LDL,0.0,0.0,0.0
NGA,ICH,50%,SBP,0.9266,2.55,1.0
NGA,ICH,50%,FPG,0.0321,0.2185,1.0
NGA,ICH,50%,LDL,0.0,0.0532,0.0
NGA,IHD,50%,SBP,1.245,2.55,1.0
NGA,IHD,50%,FPG,0.0925,0.2185,1.0
NGA,IHD,50%,LDL,0.1103,0.0532,0.482
NGA,IschStroke,50%,SBP,0.9283,2.55,1.0
NGA,IschStroke,50%,FPG,0.1579,0.2185,1.0
NGA,IschStroke,50%,LDL,0.0214,0.0532,1.0
NGA,SAH,50%,SBP,0.9141,2.55,1.0
NGA,SAH,50%,FPG,0.0,0.2185,0.0
NGA,SAH,50%,LDL,0.0,0.0532,0.0
NGA,T2D,50%,SBP,0.0,0.0,0.0
NGA,T2D,50%,FPG,0.0,0.0,0.146
NGA,T2D,50%,LDL,0.0,0.0,0.0
NZL,CKD,50%,SBP,0.0,0.0,0.108
NZL,CKD,50%,FPG,0.0,0.0,0.048
NZL,CKD,50%,LDL,0.0,0.0,0.0
NZL,ICH,50%,SBP,0.9489,2.55,1.0
NZL,ICH,50%,FPG,0.0042,0.2185,1.0
NZL,ICH,50%,LDL,0.0,0.0692,0.0
NZL,IHD,50%,SBP,1.3129,2.55,1.0
NZL,IHD,50%,FPG,0.0782,0.2185,1.0
NZL,IHD,50%,LDL,0.2681,0.0692,0.258
NZL,IschStroke,50%,SBP,0.7365,2.55,1.0
NZL,IschStroke,50%,FPG,0.1929,0.2185,1.0
NZL,IschStroke,50%,LDL,0.0148,0.0692,1.0
NZL,SAH,50%,SBP,0.9962,2.55,1.0
NZL,SAH,50%,FPG,0.0,0.2185,0.0
NZL,SAH,50%,LDL,0.0,0.0692,0.0
NZL,T2D,50%,SBP,0.0,0.0,0.0
NZL,T2D,50%,FPG,0.0,0.0,0.146
NZL,T2D,50%,LDL,0.0,0.0,0.0
ROU,CKD,50%,SBP,0.0,0.0,0.088
ROU,CKD,50%,FPG,0.0,0.0,0.048
ROU,CKD,50%,LDL,0.0,0.0,0.0
ROU,ICH,50%,SBP,4.9107,2.55,0.519
ROU,ICH,50%,FPG,0.0,0.2185,0.0
ROU,ICH,50%,LDL,0.0,0.0664,0.0
ROU,IHD,50%,SBP,5.8678,2.55,0.435
ROU,IHD,50%,FPG,0.0383,0.2185,1.0
ROU,IHD,50%,LDL,0.2359,0.0664,0.281
ROU,IschStroke,50%,SBP,4.5454,2.55,0.561
ROU,IschStroke,50%,FPG,0.2879,0.2185,0.759
ROU,IschStroke,50%,LDL,0.0094,0.0664,1.0
ROU,SAH,50%,SBP,4.6466,2.55,0.549
ROU,SAH,50%,FPG,0.0,0.2185,0.0
ROU,SAH,50%,LDL,0.0,0.0664,0.0
ROU,T2D,50%,SBP,0.0,0.0,0.0
ROU,T2D,50%,FPG,0.0,0.0,0.146
ROU,T2D,50%,LDL,0.0,0.0,0.0
TUR,CKD,50%,SBP,0.0,0.0,0.241
TUR,CKD,50%,FPG,0.0,0.0,0.048
TUR,CKD,50%,LDL,0.0,0.0,0.0
TUR,ICH,50%,SBP,0.9386,2.55,1.0
TUR,ICH,50%,FPG,0.0,0.2185,0.0
TUR,ICH,50%,LDL,0.0,0.056,0.0
TUR,IHD,50%,SBP,1.3918,2.55,1.0
TUR,IHD,50%,FPG,0.0111,0.2185,1.0
TUR,IHD,50%,LDL,0.1195,0.056,0.469
TUR,IschStroke,50%,SBP,1.233,2.55,1.0
TUR,IschStroke,50%,FPG,0.0937,0.2185,1.0
TUR,IschStroke,50%,LDL,0.0088,0.056,1.0
TUR,SAH,50%,SBP,0.8723,2.55,1.0
TUR,SAH,50%,FPG,0.0,0.2185,0.0
TUR,SAH,50%,LDL,0.0,0.056,0.0
TUR,T2D,50%,SBP,0.0,0.0,0.0
TUR,T2D,50%,FPG,0.0,0.0,0.146
TUR,T2D,50%,LDL,0.0,0.0,0.0
USA,CKD,50%,SBP,0.0,0.0,0.077
USA,CKD,50%,FPG,0.0,0.0,0.048
USA,CKD,50%,LDL,0.0,0.0,0.0
USA,ICH,50%,SBP,1.3421,2.55,1.0
USA,ICH,50%,FPG,0.0028,0.2185,1.0
USA,ICH,50%,LDL,0.0,0.0612,0.0
USA,IHD,50%,SBP,1.6684,2.55,1.0
USA,IHD,50%,FPG,0.0955,0.2185,1.0
USA,IHD,50%,LDL,0.1957,0.0612,0.313
USA,IschStroke,50%,SBP,1.0053,2.55,1.0
USA,IschStroke,50%,FPG,0.3129,0.2185,0.698
USA,IschStroke,50%,LDL,0.0156,0.0612,1.0
USA,SAH,50%,SBP,1.2584,2.55,1.0
USA,SAH,50%,FPG,0.0,0.2185,0.0
USA,SAH,50%,LDL,0.0,0.0612,0.0
USA,T2D,50%,SBP,0.0,0.0,0.0
USA,T2D,50%,FPG,0.0,0.0,0.146
USA,T2D,50%,LDL,0.0,0.0,0.0
ZAF,CKD,50%,SBP,0.0,0.0,0.061
ZAF,CKD,50%,FPG,0.0,0.0,0.048
ZAF,CKD,50%,LDL,0.0,0.0,0.0
ZAF,ICH,50%,SBP,0.7065,2.55,1.0
ZAF,ICH,50%,FPG,0.0549,0.2185,1.0
ZAF,ICH,50%,LDL,0.0,0.053,0.0
ZAF,IHD,50%,SBP,1.0386,2.55,1.0
ZAF,IHD,50%,FPG,0.103,0.2185,1.0
ZAF,IHD,50%,LDL,0.2114,0.053,0.251
ZAF,IschStroke,50%,SBP,0.6235,2.55,1.0
ZAF,IschStroke,50%,FPG,0.1846,0.2185,1.0
ZAF,IschStroke,50%,LDL,0.0262,0.053,1.0
ZAF,SAH,50%,SBP,0.7582,2.55,1.0
ZAF,SAH,50%,FPG,0.0,0.2185,0.0
ZAF,SAH,50%,LDL,0.0,0.053,0.0
ZAF,T2D,50%,SBP,0.0,0.0,0.0
ZAF,T2D,50%,FPG,0.0,0.0,0.146
ZAF,T2D,50%,LDL,0.0,0.0,0.0
