iso3,sex,outcome,arm,averted_10yr,averted_yr1,averted_yr10,yr1,yr2,yr3,yr4,yr5,yr6,yr7,yr8,yr9,yr10,yr11,yr12,yr13,yr14,yr15,yr16,yr17,yr18,yr19,yr20,yr21,yr22,yr23,yr24,yr25,yr26,yr27,yr28,yr29,yr30
CHN,Male,IHD,glp1,514737.82334377104,1735.2758940814529,19219.49394867383,1735.2758940814529,7337.943242185051,12023.424307886045,15635.329045330407,17408.092666602693,17973.208861975232,18020.892547521507,17912.18626211537,17792.024144992232,17708.495676741237,17672.024630977307,17679.864505489822,17725.498416219372,17801.962296340847,17902.806342267664,18022.198541413993,18154.78066736739,18295.516238760436,18439.60882732109,18582.497801485937,18719.90941975778,18847.933273906354,18963.096937475726,19062.419342903886,19143.43232395337,19204.16785206017,19243.114722300787,19259.152461851714,19251.472143812338,19219.49394867383
CHN,Male,IHD,diet,38947.80550769856,0.0,2305.221341912169,0.0,22.927529644453898,55.48688222258352,102.64579027495347,169.20764538878575,258.14251910545863,368.9693842055276,497.47684196103364,637.1221183876041,781.078757901676,923.7298149315175,1061.2184444165323,1191.3227614560165,1313.0473685138859,1426.1883507883176,1530.9811616525985,1627.8546833919827,1717.2785291033797,1799.6806291544344,1875.4128766350914,1944.7467152960598,2007.8851145515218,2064.9814216075465,2116.1588833853602,2161.5272042441647,2201.1944271817338,2235.2737855208106,2263.8860585384537,2287.1584663249087,2305.221341912169
CHN,Male,IHD,combo,553021.0761323664,1735.2758940814529,21490.307956691366,1735.2758940814529,7360.6795583136845,12078.166835329961,15736.154104618356,17573.867832835065,18225.828807214275,18381.864941781852,18398.948638228234,18415.637412493117,18473.34428680665,18576.982287167804,18720.00530535844,18893.692278327653,19090.07580971229,19302.480992811965,19525.285641062306,19753.53565304284,19982.642884521047,20208.221856459975,20426.05090606236,20632.11812027311,20822.708854132332,20994.49839272513,21144.624180642422,21270.72345765587,21370.932107343804,21443.848086283077,21488.467694173567,21504.10535621643,21490.307956691366
CHN,Female,IHD,glp1,460262.09967246954,1491.2333679797594,18985.4563520581,1491.2333679797594,6225.298259329051,10091.463766335859,13030.817330371821,14440.953439576318,14875.563741920865,14915.712667244254,14858.337217163644,14818.575823479332,14831.52624420647,14901.79358954914,15023.710264118738,15189.009171368903,15389.510234325659,15617.872603271971,15867.628461040207,16132.99276294047,16408.651930427644,16689.608864983078,16971.103394628037,17248.59964679717,17517.82013581856,17774.80369969108,18015.966920660343,18238.153756109066,18438.6640329645,18615.25706208148,18766.131228765473,18889.883703262545,18985.4563520581
CHN,Female,IHD,diet,36861.46383489657,0.0,2313.4335614885204,0.0,18.998763772193342,46.46855288359802,86.68626000836957,143.81713638885412,220.5496352839982,316.7577080335468,429.2470047301613,552.861052434775,682.1132781805936,812.3811493361136,940.3596951743821,1063.9895654704887,1182.165709542227,1294.4217329323292,1400.670606480795,1501.0184840103611,1595.6430514995009,1684.7214912723284,1768.393891751999,1846.7505294035655,1919.834087912459,1987.6501237200573,2050.1809288053773,2107.3994537084363,2159.2811924337875,2205.8129259457346,2246.9979883809574,2282.858273911057,2313.4335614885204
CHN,Female,IHD,combo,496466.21779898216,1491.2333679797594,21261.90235094726,1491.2333679797594,6244.138575135963,10137.307009271812,13115.95715614024,14581.828433911083,15091.341050113435,15225.505100528011,15278.175265393918,15359.468856135267,15499.122879008297,15697.21335831494,15944.823508688016,16231.651220384054,16548.41423202562,16887.29587282869,17241.72638406395,17606.010874507716,17974.998846314847,18343.858305409318,18707.959876743844,19062.851206770632,19404.292765160557,19728.325665328186,20031.346400532406,20310.1699475965,20562.0698195952,20784.790221853415,20976.53081634571,21135.908431953518,21261.90235094726
IND,Male,IHD,glp1,480806.85007415013,1446.5473887119442,18801.598594312556,1446.5473887119442,6133.51682603755,10073.984484250774,13226.912503634114,14923.565947854659,15632.391232271912,15893.552574009751,15995.89074740617,16060.042362402077,16130.696039123693,16222.367299990496,16338.16432521143,16476.965046441182,16636.06743593095,16812.139765044674,17001.55028054281,17200.479571545962,17404.96358073596,17610.920057205018,17814.17623114935,18010.50285562896,18195.655357562704,18365.421390343457,18515.673628720222,18642.426482972456,18741.895293623675,18810.556438256754,18845.206644631457,18843.019688597415,18801.598594312556
IND,Male,IHD,diet,84363.51947478182,0.0,4820.216044301633,0.0,54.295263351057656,133.5700825456297,248.46649760880973,408.6461614969885,618.8561596183572,875.6891579875955,1167.7417159427423,1479.3570251577767,1795.2707587124314,2103.5990015121643,2396.6413793310057,2670.3108262466267,2923.102158016758,3155.1191141691525,3367.338225177722,3561.1147459915373,3737.8780002412386,3898.95821053721,4045.4986252724193,4178.42053205031,4298.419887308963,4405.982151599368,4501.407095723553,4584.838609778089,4656.296545181889,4715.7088070365135,4762.942597978516,4797.83409490576,4820.216044301633
IND,Male,IHD,combo,563737.0870746713,1446.5473887119442,23554.499820589088,1446.5473887119442,6187.3592718214495,10205.752220326685,13470.929512616014,15323.808297179174,16237.760638498003,16749.815794265713,17137.788031073636,17507.07461754745,17887.45926785702,18281.816377626616,18685.675782443956,19093.85682616383,19502.12145518395,19907.180143796606,20306.305172897875,20696.960833054734,21076.548055658117,21442.2603606442,21791.024187701754,22119.497317447793,22424.10545178759,22701.10318452795,22946.650162236067,23156.896245971788,23328.071313639404,23456.576371135656,23539.07317174622,23572.569800521014,23554.499820589088
IND,Female,IHD,glp1,375706.89284058986,932.0464729145169,15106.979518135078,932.0464729145169,4095.402445602347,6877.800819633761,9225.316061198479,10609.606715307222,11308.521177589544,11683.959061480942,11935.321978488355,12146.667247873149,12348.988114805194,12552.231358499965,12758.601476428681,12967.627726863837,13177.97610186087,13388.041454621009,13596.105307095684,13800.353045215015,13998.856738610426,14189.559826095589,14370.274360017618,14538.692498333636,14692.410953630344,14828.966239947244,14945.87837557448,15040.700706054457,15111.073552635964,15154.77943692985,15169.797693225788,15154.35637592082,15106.979518135078
