outcome,iso3,coverage,PAF_diet,share_reach,flow_available,pif_med_pop,pif_resid_pop,averted_med_raw,averted_med_samebase,spillover_nondiet,averted_resid_samebase,flow_ratio
IHD,AUS,0.05,0.4367681545460915,0.029053356282271944,True,0.002202487022747966,0.004471716076488295,0.005042691413793404,0.005042691413793404,0.0,0.010238191658307819,0.1735665705813962
IHD,AUS,0.1,0.4367681545460915,0.029053356282271944,True,0.004404974045495932,0.00894343215297659,0.010085382827586808,0.010085382827586808,0.0,0.020476383316615637,0.3471331411627924
IHD,AUS,0.2,0.4367681545460915,0.029053356282271944,True,0.008809948090991865,0.01788686430595318,0.020170765655173617,0.020170765655173617,0.0,0.040952766633231275,0.6942662823255848
IHD,AUS,0.5,0.4367681545460915,0.029053356282271944,True,0.022024870227479662,0.04471716076488294,0.05042691413793404,0.029053356282271944,0.021373557855662098,0.10238191658307817,1.0
IHD,BGD,0.05,0.5410941823549227,0.05244833460477335,True,0.0008047451952490113,0.0016338766085358715,0.0014872553087646222,0.0014872553087646222,0.0,0.0030195789602190815,0.028356578335077706
IHD,BGD,0.1,0.5410941823549227,0.05244833460477335,True,0.0016094903904980227,0.003267753217071743,0.0029745106175292444,0.0029745106175292444,0.0,0.006039157920438163,0.05671315667015541
IHD,BGD,0.2,0.5410941823549227,0.05244833460477335,True,0.0032189807809960454,0.006535506434143486,0.005949021235058489,0.005949021235058489,0.0,0.012078315840876326,0.11342631334031082
IHD,BGD,0.5,0.5410941823549227,0.05244833460477335,True,0.008047451952490113,0.01633876608535871,0.014872553087646222,0.014872553087646222,0.0,0.03019578960219081,0.28356578335077703
IHD,BGR,0.05,0.4834392733844448,0.20797465327594453,True,0.001987098578107962,0.004034412264643438,0.004110337507742703,0.004110337507742703,0.0,0.008345230697538213,0.019763646401126742
IHD,BGR,0.1,0.4834392733844448,0.20797465327594453,True,0.003974197156215924,0.008068824529286875,0.008220675015485407,0.008220675015485407,0.0,0.016690461395076427,0.039527292802253484
IHD,BGR,0.2,0.4834392733844448,0.20797465327594453,True,0.007948394312431849,0.01613764905857375,0.016441350030970813,0.016441350030970813,0.0,0.03338092279015285,0.07905458560450697
IHD,BGR,0.5,0.4834392733844448,0.20797465327594453,True,0.01987098578107962,0.040344122646434374,0.04110337507742702,0.04110337507742702,0.0,0.08345230697538214,0.1976364640112674
IHD,BRA,0.05,0.4024048757315013,0.10667564667473345,True,0.0020911913652316796,0.004245752165773409,0.005196734660409523,0.005196734660409523,0.0,0.01055094612871024,0.04871528621949653
IHD,BRA,0.1,0.4024048757315013,0.10667564667473345,True,0.004182382730463359,0.008491504331546818,0.010393469320819046,0.010393469320819046,0.0,0.02110189225742048,0.09743057243899306
IHD,BRA,0.2,0.4024048757315013,0.10667564667473345,True,0.008364765460926718,0.016983008663093636,0.02078693864163809,0.02078693864163809,0.0,0.04220378451484096,0.19486114487798611
IHD,BRA,0.5,0.4024048757315013,0.10667564667473345,True,0.020911913652316795,0.04245752165773409,0.05196734660409522,0.05196734660409522,0.0,0.1055094612871024,0.48715286219496523
IHD,CAN,0.05,0.3704600775547555,0.0888545574928272,True,0.002046057954360875,0.004154117664914503,0.005523018749728732,0.005523018749728732,0.0,0.011213401703994697,0.06215796809493514
IHD,CAN,0.1,0.3704600775547555,0.0888545574928272,True,0.00409211590872175,0.008308235329829007,0.011046037499457465,0.011046037499457465,0.0,0.022426803407989394,0.12431593618987027
IHD,CAN,0.2,0.3704600775547555,0.0888545574928272,True,0.0081842318174435,0.016616470659658013,0.02209207499891493,0.02209207499891493,0.0,0.04485360681597879,0.24863187237974055
IHD,CAN,0.5,0.3704600775547555,0.0888545574928272,True,0.020460579543608748,0.04154117664914503,0.055230187497287316,0.055230187497287316,0.0,0.11213401703994696,0.6215796809493512
IHD,CHN,0.05,0.4269124914133464,0.21938405045433798,True,0.0010050077739533674,0.0020404703289356244,0.002354130633718787,0.002354130633718787,0.0,0.004779598559368445,0.010730637112604361
IHD,CHN,0.1,0.4269124914133464,0.21938405045433798,True,0.0020100155479067347,0.004080940657871249,0.004708261267437574,0.004708261267437574,0.0,0.00955919711873689,0.021461274225208722
IHD,CHN,0.2,0.4269124914133464,0.21938405045433798,True,0.0040200310958134694,0.008161881315742497,0.009416522534875148,0.009416522534875148,0.0,0.01911839423747378,0.042922548450417444
IHD,CHN,0.5,0.4269124914133464,0.21938405045433798,True,0.010050077739533673,0.02040470328935624,0.02354130633718787,0.02354130633718787,0.0,0.04779598559368445,0.10730637112604362
IHD,DEU,0.05,0.39661349273503105,0.07236863206286417,True,0.002091069561717321,0.004245504867729105,0.00527231070051951,0.00527231070051951,0.0,0.01070438839196385,0.07285353543700582
IHD,DEU,0.1,0.39661349273503105,0.07236863206286417,True,0.004182139123434642,0.00849100973545821,0.01054462140103902,0.01054462140103902,0.0,0.0214087767839277,0.14570707087401163
IHD,DEU,0.2,0.39661349273503105,0.07236863206286417,True,0.008364278246869285,0.01698201947091642,0.02108924280207804,0.02108924280207804,0.0,0.0428175535678554,0.29141414174802327
IHD,DEU,0.5,0.39661349273503105,0.07236863206286417,True,0.020910695617173212,0.04245504867729106,0.0527231070051951,0.0527231070051951,0.0,0.10704388391963852,0.7285353543700581
IHD,EGY,0.05,0.3992561901582348,0.05332264556995112,True,0.002694569126771731,0.005470791863445635,0.00674897269771524,0.00674897269771524,0.0,0.013702459719603668,0.12656860186844301
IHD,EGY,0.1,0.3992561901582348,0.05332264556995112,True,0.005389138253543462,0.01094158372689127,0.01349794539543048,0.01349794539543048,0.0,0.027404919439207337,0.25313720373688603
IHD,EGY,0.2,0.3992561901582348,0.05332264556995112,True,0.010778276507086924,0.02188316745378254,0.02699589079086096,0.02699589079086096,0.0,0.054809838878414674,0.5062744074737721
IHD,EGY,0.5,0.3992561901582348,0.05332264556995112,True,0.026945691267717314,0.05470791863445635,0.06748972697715241,0.05332264556995112,0.014167081407201292,0.13702459719603668,1.0
IHD,GBR,0.05,0.46147454572798213,0.0512612284132719,True,0.002207348393908325,0.004481586133086598,0.004783250591701009,0.004783250591701009,0.0,0.00971144817102932,0.09331127520273375
IHD,GBR,0.1,0.46147454572798213,0.0512612284132719,True,0.00441469678781665,0.008963172266173196,0.009566501183402017,0.009566501183402017,0.0,0.01942289634205864,0.1866225504054675
IHD,GBR,0.2,0.46147454572798213,0.0512612284132719,True,0.0088293935756333,0.017926344532346393,0.019133002366804035,0.019133002366804035,0.0,0.03884579268411728,0.373245100810935
IHD,GBR,0.5,0.46147454572798213,0.0512612284132719,True,0.022073483939083243,0.04481586133086598,0.047832505917010076,0.047832505917010076,0.0,0.09711448171029319,0.9331127520273372
IHD,GLB,0.05,0.4565356338821503,0.10720564703436058,True,0.0012434539149555539,0.002524588251576427,0.002723673296609609,0.002723673296609609,0.0,0.005529882147661933,0.025406061825611125
IHD,GLB,0.1,0.4565356338821503,0.10720564703436058,True,0.0024869078299111077,0.005049176503152854,0.005447346593219218,0.005447346593219218,0.0,0.011059764295323866,0.05081212365122225
IHD,GLB,0.2,0.4565356338821503,0.10720564703436058,True,0.0049738156598222154,0.010098353006305709,0.010894693186438436,0.010894693186438436,0.0,0.02211952859064773,0.1016242473024445
IHD,GLB,0.5,0.4565356338821503,0.10720564703436058,True,0.012434539149555538,0.025245882515764272,0.027236732966096088,0.027236732966096088,0.0,0.05529882147661933,0.25406061825611126
IHD,IND,0.05,0.5242271825514899,0.06228749330900953,True,0.0006290482818241353,0.0012771586327944564,0.0011999535750177354,0.0011999535750177354,0.0,0.0024362693795814626,0.01926475944480124
IHD,IND,0.1,0.5242271825514899,0.06228749330900953,True,0.0012580965636482706,0.002554317265588913,0.0023999071500354708,0.0023999071500354708,0.0,0.004872538759162925,0.03852951888960248
IHD,IND,0.2,0.5242271825514899,0.06228749330900953,True,0.0025161931272965413,0.005108634531177826,0.0047998143000709415,0.0047998143000709415,0.0,0.00974507751832585,0.07705903777920496
IHD,IND,0.5,0.5242271825514899,0.06228749330900953,True,0.006290482818241352,0.012771586327944562,0.011999535750177351,0.011999535750177351,0.0,0.02436269379581462,0.19264759444801235
IHD,ISR,0.05,0.28960169610477343,0.10612015721504772,True,0.0022495126473737223,0.00456719234466786,0.007767608676434973,0.007767608676434973,0.0,0.015770599433974034,0.07319635477635283
IHD,ISR,0.1,0.28960169610477343,0.10612015721504772,True,0.004499025294747445,0.00913438468933572,0.015535217352869946,0.015535217352869946,0.0,0.03154119886794807,0.14639270955270567
IHD,ISR,0.2,0.28960169610477343,0.10612015721504772,True,0.00899805058949489,0.01826876937867144,0.03107043470573989,0.03107043470573989,0.0,0.06308239773589613,0.29278541910541134
IHD,ISR,0.5,0.28960169610477343,0.10612015721504772,True,0.02249512647373722,0.04567192344667859,0.07767608676434971,0.07767608676434971,0.0,0.1577059943397403,0.7319635477635282
IHD,JPN,0.05,0.4227689350892897,0.1278859392601527,True,0.0010006846584267154,0.002031693094381513,0.0023669777397796947,0.0023669777397796947,0.0,0.004805682077734531,0.01850850651348509
IHD,JPN,0.1,0.4227689350892897,0.1278859392601527,True,0.002001369316853431,0.004063386188763026,0.004733955479559389,0.004733955479559389,0.0,0.009611364155469062,0.03701701302697018
IHD,JPN,0.2,0.4227689350892897,0.1278859392601527,True,0.004002738633706862,0.008126772377526051,0.009467910959118779,0.009467910959118779,0.0,0.019222728310938124,0.07403402605394035
IHD,JPN,0.5,0.4227689350892897,0.1278859392601527,True,0.010006846584267155,0.020316930943815127,0.02366977739779695,0.02366977739779695,0.0,0.048056820777345306,0.1850850651348509
IHD,MEX,0.05,0.40477509362594943,0.08912140705154303,True,0.002357290149162341,0.004786013333147782,0.005823703548669179,0.005823703548669179,0.0,0.011823882962449543,0.06534573164112031
IHD,MEX,0.1,0.40477509362594943,0.08912140705154303,True,0.004714580298324682,0.009572026666295565,0.011647407097338358,0.011647407097338358,0.0,0.023647765924899086,0.13069146328224063
IHD,MEX,0.2,0.40477509362594943,0.08912140705154303,True,0.009429160596649364,0.01914405333259113,0.023294814194676716,0.023294814194676716,0.0,0.04729553184979817,0.26138292656448125
IHD,MEX,0.5,0.40477509362594943,0.08912140705154303,True,0.02357290149162341,0.04786013333147783,0.05823703548669179,0.05823703548669179,0.0,0.11823882962449546,0.6534573164112032
IHD,NGA,0.05,0.37324525651691765,0.05282175199295409,True,0.0013756040225917224,0.002792893015565012,0.0036855231207188082,0.0036855231207188082,0.0,0.007482728760247277,0.0697728299737279
IHD,NGA,0.1,0.37324525651691765,0.05282175199295409,True,0.002751208045183445,0.005585786031130024,0.0073710462414376164,0.0073710462414376164,0.0,0.014965457520494553,0.1395456599474558
IHD,NGA,0.2,0.37324525651691765,0.05282175199295409,True,0.00550241609036689,0.011171572062260047,0.014742092482875233,0.014742092482875233,0.0,0.029930915040989107,0.2790913198949116
IHD,NGA,0.5,0.37324525651691765,0.05282175199295409,True,0.013756040225917223,0.027928930155650115,0.03685523120718808,0.03685523120718808,0.0,0.07482728760247276,0.6977282997372789
IHD,NZL,0.05,0.42409656424630804,0.05149274171459874,True,0.0023239070085188177,0.004718235441538205,0.005479664784950091,0.005479664784950091,0.0,0.01112538001792897,0.10641625600985521
IHD,NZL,0.1,0.42409656424630804,0.05149274171459874,True,0.004647814017037635,0.00943647088307641,0.010959329569900181,0.010959329569900181,0.0,0.02225076003585794,0.21283251201971043
IHD,NZL,0.2,0.42409656424630804,0.05149274171459874,True,0.00929562803407527,0.01887294176615282,0.021918659139800362,0.021918659139800362,0.0,0.04450152007171588,0.42566502403942086
IHD,NZL,0.5,0.42409656424630804,0.05149274171459874,True,0.023239070085188173,0.047182354415382044,0.0547966478495009,0.05149274171459874,0.0033039061349021542,0.11125380017928968,1.0
IHD,ROU,0.05,0.49779454060474315,0.20410693913992362,True,0.001973171944901136,0.0040061369790417006,0.003963828013268362,0.003963828013268362,0.0,0.008047772026938797,0.019420349107048224
IHD,ROU,0.1,0.49779454060474315,0.20410693913992362,True,0.003946343889802272,0.008012273958083401,0.007927656026536724,0.007927656026536724,0.0,0.016095544053877593,0.03884069821409645
IHD,ROU,0.2,0.49779454060474315,0.20410693913992362,True,0.007892687779604545,0.016024547916166802,0.01585531205307345,0.01585531205307345,0.0,0.032191088107755186,0.0776813964281929
IHD,ROU,0.5,0.49779454060474315,0.20410693913992362,True,0.019731719449011365,0.04006136979041701,0.039638280132683626,0.039638280132683626,0.0,0.08047772026938797,0.1942034910704823
IHD,TUR,0.05,0.28321566282106514,0.10755160838421483,True,0.0025576505088168887,0.005192805578507016,0.009030752336719475,0.009030752336719475,0.0,0.01833516383515772,0.0839666879221204
IHD,TUR,0.1,0.28321566282106514,0.10755160838421483,True,0.005115301017633777,0.010385611157014031,0.01806150467343895,0.01806150467343895,0.0,0.03667032767031544,0.1679333758442408
IHD,TUR,0.2,0.28321566282106514,0.10755160838421483,True,0.010230602035267555,0.020771222314028063,0.0361230093468779,0.0361230093468779,0.0,0.07334065534063088,0.3358667516884816
