iso3,sex,outcome,arm,averted_10yr,averted_yr1,averted_yr10,yr1,yr2,yr3,yr4,yr5,yr6,yr7,yr8,yr9,yr10,yr11,yr12,yr13,yr14,yr15,yr16,yr17,yr18,yr19,yr20,yr21,yr22,yr23,yr24,yr25,yr26,yr27,yr28,yr29,yr30
CHN,Male,IHD,glp1,514737.82334377104,1735.2758940814529,19219.49394867383,1735.2758940814529,7337.943242185051,12023.424307886045,15635.329045330407,17408.092666602693,17973.208861975232,18020.892547521507,17912.18626211537,17792.024144992232,17708.495676741237,17672.024630977307,17679.864505489822,17725.498416219372,17801.962296340847,17902.806342267664,18022.198541413993,18154.78066736739,18295.516238760436,18439.60882732109,18582.497801485937,18719.90941975778,18847.933273906354,18963.096937475726,19062.419342903886,19143.43232395337,19204.16785206017,19243.114722300787,19259.152461851714,19251.472143812338,19219.49394867383
CHN,Male,IHD,diet,391552.66842080746,0.0,23207.556781962514,0.0,229.4100495481398,555.2560300116893,1027.3276725448668,1693.8499263925478,2584.798879609909,3695.677653083112,4984.62297183089,6386.296384533867,7832.331879083067,9266.316263710614,10649.376211544499,11958.995789127424,13184.971057187067,14325.073110370897,15381.523805328412,16358.525851801038,17260.72352838493,18092.367344064172,18856.96154931397,19557.21354496805,20195.149388902588,20772.299868934555,21289.89459443651,21749.027325032046,22150.775040147593,22496.266929374076,22786.708432846935,23023.370556731476,23207.556781962514
CHN,Male,IHD,combo,899597.0848550207,1735.2758940814529,42079.63817637414,1735.2758940814529,7565.440032747807,12571.231438484509,16644.432951524155,19067.57774647628,20502.697989706183,21636.443332910305,22789.399694096297,24042.82389192772,25377.944813206326,26749.84407910076,28117.484070053324,29452.01754411473,30736.20348565583,31961.155368655454,33123.008987844456,34220.362167147454,35252.61003826279,36219.03652929515,37118.455505583435,37949.20395744778,38709.32503578137,39396.82041539019,40009.891062200535,40547.119435824454,41007.57307618833,41390.82916709152,41696.93252354441,41926.3064443036,42079.63817637414
CHN,Female,IHD,glp1,460262.09967246954,1491.2333679797594,18985.4563520581,1491.2333679797594,6225.298259329051,10091.463766335859,13030.817330371821,14440.953439576318,14875.563741920865,14915.712667244254,14858.337217163644,14818.575823479332,14831.52624420647,14901.79358954914,15023.710264118738,15189.009171368903,15389.510234325659,15617.872603271971,15867.628461040207,16132.99276294047,16408.651930427644,16689.608864983078,16971.103394628037,17248.59964679717,17517.82013581856,17774.80369969108,18015.966920660343,18238.153756109066,18438.6640329645,18615.25706208148,18766.131228765473,18889.883703262545,18985.4563520581
CHN,Female,IHD,diet,370283.1937149054,0.0,23265.528042126447,0.0,190.09930009418167,464.9988662538817,867.5501859809738,1439.5436767840292,2208.0608494937187,3172.065338961198,4299.796711801086,5539.7662042089505,6837.057258230285,8145.297786819516,9431.24681074603,10674.118482939084,11862.693929089117,12992.173972435994,14061.585720226285,15071.915781020187,16024.887516447576,16922.234755865065,17765.330934460042,18555.05809479789,19291.82635101676,19975.676759120077,20606.418918488314,21183.76974493498,21707.472252923762,22177.38315669517,22593.525802128483,22956.110510816332,23265.528042126447
CHN,Female,IHD,combo,823930.9027997459,1491.2333679797594,41878.059442393016,1491.2333679797594,6413.812148519326,10550.205214787275,13882.890221699723,15851.044837699505,17035.837599069346,18018.007292844122,19063.845994051197,20238.355839589378,21522.97919674148,22876.88915933692,24261.741378638195,25648.732153795892,27018.49587605626,28358.801629714202,29662.061825740733,30923.319404380512,32138.83887470211,33305.236585975625,34419.03306750581,35476.50699396152,36473.743759643985,37406.79050680576,38271.84969052905,39065.4629803251,39784.65526091936,40427.023815450026,40990.76991083124,41474.67877005949,41878.059442393016
IND,Male,IHD,glp1,480806.85007415013,1446.5473887119442,18801.598594312556,1446.5473887119442,6133.51682603755,10073.984484250774,13226.912503634114,14923.565947854659,15632.391232271912,15893.552574009751,15995.89074740617,16060.042362402077,16130.696039123693,16222.367299990496,16338.16432521143,16476.965046441182,16636.06743593095,16812.139765044674,17001.55028054281,17200.479571545962,17404.96358073596,17610.920057205018,17814.17623114935,18010.50285562896,18195.655357562704,18365.421390343457,18515.673628720222,18642.426482972456,18741.895293623675,18810.556438256754,18845.206644631457,18843.019688597415,18801.598594312556
IND,Male,IHD,diet,367650.7000525439,0.0,21021.733795860317,0.0,236.25979424710386,581.2274358281866,1081.230014011846,1778.3481910189148,2693.3021367957117,3811.346346937353,5082.935583465383,6439.984764715075,7816.072975849849,9159.452042846708,10436.55774315074,11629.544021239271,12731.804732230958,13743.744324341882,14669.575441160938,15515.16802388383,16286.721937508788,16990.011671036482,17630.00238101068,18210.696327890735,18735.11714566732,19205.373557632556,19622.766668037046,19987.919179138262,20300.913584370166,20561.43156115152,20768.889767448884,20922.56890406739,21021.733795860317
IND,Male,IHD,combo,842206.6446335977,1446.5473887119442,39529.29547848366,1446.5473887119442,6367.80623505055,10647.369016736047,14288.779853415443,16665.34150413319,18266.995451657218,19620.34307642514,20966.317942097783,22359.287211396382,23779.083138088346,25189.531221609097,26560.7085807228,27873.77312207385,29119.284237771528,30294.04821383953,31398.331411117222,32433.87360221846,33402.63100117026,34306.05908622127,35144.758683816995,35918.35373423016,36625.51152356411,37264.047809474636,37831.080658035586,38323.210461931536,38736.7119639751,39067.72902574693,39312.46565822582,39467.3683416571,39529.29547848366
IND,Female,IHD,glp1,375706.89284058986,932.0464729145169,15106.979518135078,932.0464729145169,4095.402445602347,6877.800819633761,9225.316061198479,10609.606715307222,11308.521177589544,11683.959061480942,11935.321978488355,12146.667247873149,12348.988114805194,12552.231358499965,12758.601476428681,12967.627726863837,13177.97610186087,13388.041454621009,13596.105307095684,13800.353045215015,13998.856738610426,14189.559826095589,14370.274360017618,14538.692498333636,14692.410953630344,14828.966239947244,14945.87837557448,15040.700706054457,15111.073552635964,15154.77943692985,15169.797693225788,15154.35637592082,15106.979518135078
