iso3,arm,coverage,med,yr
TUR,glp1,0.20,16072.007880872055,8
TUR,glp1,0.50,40233.308773015546,8
TUR,glp1,afford,80647.49729309985,8
USA,combo,0.20,79180.83011678883,8
USA,combo,0.50,176459.01035727307,8
USA,combo,afford,338843.03041361726,8
USA,diet,0.20,14391.370731837356,8
USA,diet,0.50,14391.370731837356,8
USA,diet,afford,14391.370731837356,8
USA,glp1,0.20,65029.944278323885,8
USA,glp1,0.50,162666.657166671,8
USA,glp1,afford,325642.31052127207,8
ZAF,combo,0.20,4262.333265698832,8
ZAF,combo,0.50,10525.033275701837,8
ZAF,combo,afford,16797.467318085262,8
ZAF,diet,0.20,92.53996744422966,8
ZAF,diet,0.50,92.53996744422966,8
ZAF,diet,afford,92.53996744422966,8
ZAF,glp1,0.20,4171.046915749213,8
ZAF,glp1,0.50,10435.618473981478,8
ZAF,glp1,afford,16709.913350862338,8
AUS,combo,0.20,4519.021447219945,9
AUS,combo,0.50,9580.687094985267,9
AUS,combo,afford,18030.80850537172,9
AUS,diet,0.20,1148.0341453300898,9
AUS,diet,0.50,1148.0341453300898,9
AUS,diet,afford,1148.0341453300898,9
AUS,glp1,0.20,3388.6786739593,9
AUS,glp1,0.50,8476.741354972843,9
AUS,glp1,afford,16970.479313544492,9
BGD,combo,0.20,21960.62953249623,9
BGD,combo,0.50,33740.25042691748,9
BGD,combo,afford,45537.42498577388,9
BGD,diet,0.20,14117.240738569348,9
BGD,diet,0.50,14117.240738569348,9
BGD,diet,afford,14117.240738569348,9
BGD,glp1,0.20,7916.950761054059,9
BGD,glp1,0.50,19806.78482531998,9
BGD,glp1,afford,31714.015849827403,9
BGR,combo,0.20,5489.0010835423545,9
BGR,combo,0.50,10615.631198249246,9
BGR,combo,afford,19206.918767444684,9
BGR,diet,0.20,2082.756350109414,9
BGR,diet,0.50,2082.756350109414,9
BGR,diet,afford,2082.756350109414,9
BGR,glp1,0.20,3430.8824995156638,9
BGR,glp1,0.50,8594.438913835826,9
BGR,glp1,afford,17247.184578899178,9
BRA,combo,0.20,36071.40577230953,9
BRA,combo,0.50,75851.82093962879,9
BRA,combo,afford,142197.38437204706,9
BRA,diet,0.20,9562.270029474796,9
BRA,diet,0.50,9562.270029474796,9
BRA,diet,afford,9562.270029474796,9
BRA,glp1,0.20,26655.987910886568,9
BRA,glp1,0.50,66655.3413372262,9
BRA,glp1,afford,133362.1983360351,9
CAN,combo,0.20,6777.684746217851,9
CAN,combo,0.50,15213.729211500253,9
CAN,combo,afford,29297.08284895848,9
CAN,diet,0.20,1159.431399967535,9
CAN,diet,0.50,1159.431399967535,9
CAN,diet,afford,1159.431399967535,9
CAN,glp1,0.20,5635.632181593595,9
CAN,glp1,0.50,14097.596200657812,9
CAN,glp1,afford,28223.74919979398,9
CHN,combo,0.20,279260.4922583153,9
CHN,combo,0.50,489135.1861558745,9
CHN,combo,afford,839372.788359719,9
CHN,diet,0.20,139455.14393252163,9
CHN,diet,0.50,139455.14393252163,9
CHN,diet,afford,139455.14393252163,9
CHN,glp1,0.20,140782.83353980974,9
CHN,glp1,0.50,352120.3990992523,9
CHN,glp1,afford,704787.1096397273,9
DEU,combo,0.20,27755.07564076358,9
DEU,combo,0.50,61494.0364016352,9
DEU,combo,afford,117820.13468086348,9
DEU,diet,0.20,5285.896853578372,9
DEU,diet,0.50,5285.896853578372,9
DEU,diet,afford,5285.896853578372,9
DEU,glp1,0.20,22546.845374884648,9
DEU,glp1,0.50,56401.7662347564,9
DEU,glp1,afford,112919.67142124812,9
EGY,combo,0.20,34466.967329650986,9
EGY,combo,0.50,79937.3028167254,9
EGY,combo,afford,156269.34468895424,9
EGY,diet,0.20,4286.8687432544975,9
EGY,diet,0.50,4286.8687432544975,9
EGY,diet,afford,4286.8687432544975,9
EGY,glp1,0.20,30250.762967916904,9
EGY,glp1,0.50,75826.856184674,9
EGY,glp1,afford,152334.50312909903,9
GBR,combo,0.20,15270.574908821902,9
GBR,combo,0.50,33744.536536566666,9
GBR,combo,afford,64583.525648042734,9
GBR,diet,0.20,2966.76767621416,9
GBR,diet,0.50,2966.76767621416,9
GBR,diet,afford,2966.76767621416,9
GBR,glp1,0.20,12350.753993580463,9
GBR,glp1,0.50,30894.713012899258,9
GBR,glp1,afford,61849.22435782412,9
GLB,combo,0.20,1267215.8285535923,9
GLB,combo,0.50,2372097.4853633386,9
GLB,combo,afford,4215890.389783537,9
GLB,diet,0.20,531205.541761056,9
GLB,diet,0.50,531205.541761056,9
GLB,diet,afford,531205.541761056,9
GLB,glp1,0.20,740698.1153641477,9
GLB,glp1,0.50,1852590.0167046173,9
GLB,glp1,afford,3708008.932017251,9
IND,combo,0.20,132172.50588469446,9
IND,combo,0.50,219830.14124884972,9
IND,combo,afford,366063.5314213672,9
IND,diet,0.20,73768.26598441941,9
IND,diet,0.50,73768.26598441941,9
IND,diet,afford,73768.26598441941,9
IND,glp1,0.20,58718.23979504928,9
IND,glp1,0.50,146846.278040015,9
IND,glp1,afford,293862.07412388345,9
ISR,combo,0.20,1036.4638781911397,9
ISR,combo,0.50,2274.528057380242,9
ISR,combo,afford,4340.716767477167,9
ISR,diet,0.20,211.7695597467989,9
ISR,diet,0.50,211.7695597467989,9
ISR,diet,afford,211.7695597467989,9
ISR,glp1,0.20,828.1744397478718,9
ISR,glp1,0.50,2071.427817038476,9
ISR,glp1,afford,4146.181761111029,9
JPN,combo,0.20,16932.696685288513,9
JPN,combo,0.50,32663.56195210966,9
JPN,combo,afford,58893.77167633667,9
JPN,diet,0.20,6448.459726710473,9
JPN,diet,0.50,6448.459726710473,9
JPN,diet,afford,6448.459726710473,9
JPN,glp1,0.20,10531.32361205204,9
JPN,glp1,0.50,26332.63306805749,9
JPN,glp1,afford,52679.75318612333,9
MEX,combo,0.20,20632.244623277704,9
MEX,combo,0.50,47841.86064077076,9
MEX,combo,afford,93343.97577253325,9
MEX,diet,0.20,2530.2211935613104,9
MEX,diet,0.50,2530.2211935613104,9
MEX,diet,afford,2530.2211935613104,9
MEX,glp1,0.20,18144.854186439017,9
MEX,glp1,0.50,45418.40909072675,9
MEX,glp1,afford,91026.25955265768,9
NGA,combo,0.20,8470.305643960468,9
NGA,combo,0.50,20151.39548377981,9
NGA,combo,afford,16254.442016501633,9
NGA,diet,0.20,699.1236390441736,9
NGA,diet,0.50,699.1236390441736,9
NGA,diet,afford,699.1236390441736,9
NGA,glp1,0.20,7777.779158839612,9
NGA,glp1,0.50,19468.734653987824,9
NGA,glp1,afford,15568.496659607788,9
NZL,combo,0.20,1297.210907429921,9
NZL,combo,0.50,2788.913739719428,9
NZL,combo,afford,5278.626988226795,9
NZL,diet,0.20,303.6215930929294,9
NZL,diet,0.50,303.6215930929294,9
NZL,diet,afford,303.6215930929294,9
NZL,glp1,0.20,998.4296961600528,9
NZL,glp1,0.50,2497.3581424379727,9
NZL,glp1,afford,4999.01908692013,9
ROU,combo,0.20,12905.695499459767,9
ROU,combo,0.50,23423.374421287084,9
ROU,combo,afford,41052.669940144086,9
ROU,diet,0.20,5918.257125572911,9
ROU,diet,0.50,5918.257125572911,9
ROU,diet,afford,5918.257125572911,9
ROU,glp1,0.20,7051.887664005386,9
ROU,glp1,0.50,17666.243223013335,9
ROU,glp1,afford,35456.670688935104,9
TUR,combo,0.20,22256.43753325994,9
TUR,combo,0.50,49997.8632706783,9
TUR,combo,afford,96414.09078826771,9
TUR,diet,0.20,3806.2527184759456,9
TUR,diet,0.50,3806.2527184759456,9
TUR,diet,afford,3806.2527184759456,9
TUR,glp1,0.20,18511.940881280985,9
TUR,glp1,0.50,46345.67400744748,9
TUR,glp1,afford,92914.85796433216,9
USA,combo,0.20,95405.2879634536,9
USA,combo,0.50,207852.15698948517,9
USA,combo,afford,395599.8449080286,9
USA,diet,0.20,20523.71673334379,9
USA,diet,0.50,20523.71673334379,9
USA,diet,afford,20523.71673334379,9
USA,glp1,0.20,75219.92556874867,9
USA,glp1,0.50,188171.47606321983,9
USA,glp1,afford,376752.5974385285,9
ZAF,combo,0.20,4938.943316270911,9
ZAF,combo,0.50,12159.818904141495,9
ZAF,combo,afford,19393.65078736584,9
ZAF,diet,0.20,132.12233586941238,9
ZAF,diet,0.50,132.12233586941238,9
ZAF,diet,afford,132.12233586941238,9
ZAF,glp1,0.20,4808.585943164751,9
ZAF,glp1,0.50,12032.09734983142,9
ZAF,glp1,afford,19268.551017825677,9
AUS,combo,0.20,5411.464489879443,10
AUS,combo,0.50,11190.36864346639,10
AUS,combo,afford,20839.00828624776,10
AUS,diet,0.20,1563.0868900210985,10
AUS,diet,0.50,1563.0868900210985,10
AUS,diet,afford,1563.0868900210985,10
AUS,glp1,0.20,3872.1559970720655,10
AUS,glp1,0.50,9686.553689951415,10
AUS,glp1,afford,19393.877962175386,10
BGD,combo,0.20,27877.37306396335,10
BGD,combo,0.50,41098.34475968778,10
BGD,combo,afford,54339.88253898188,10
BGD,diet,0.20,19074.74235400556,10
BGD,diet,0.50,19074.74235400556,10
BGD,diet,afford,19074.74235400556,10
BGD,glp1,0.20,8899.855760680362,10
BGD,glp1,0.50,22266.52407563352,10
BGD,glp1,afford,35653.58808911752,10
BGR,combo,0.20,6529.334229539324,10
BGR,combo,0.50,12222.334866490404,10
BGR,combo,afford,21765.762625785654,10
BGR,diet,0.20,2747.5067526169078,10
BGR,diet,0.50,2747.5067526169078,10
BGR,diet,afford,2747.5067526169078,10
BGR,glp1,0.20,3813.437954396437,10
BGR,glp1,0.50,9553.844189874177,10
BGR,glp1,afford,19176.249001581804,10
BRA,combo,0.20,43398.00219663278,10
BRA,combo,0.50,88798.06826591698,10
BRA,combo,afford,164526.5098908326,10
BRA,diet,0.20,13146.590948498822,10
BRA,diet,0.50,13146.590948498822,10
BRA,diet,afford,13146.590948498822,10
BRA,glp1,0.20,30451.178375952502,10
BRA,glp1,0.50,76149.17531888899,10
BRA,glp1,afford,152369.53798418457,10
CAN,combo,0.20,7949.958192867128,10
CAN,combo,0.50,17493.17670393589,10
CAN,combo,afford,33426.75166509386,10
CAN,diet,0.20,1594.8096066831358,10
CAN,diet,0.50,1594.8096066831358,10
CAN,diet,afford,1594.8096066831358,10
CAN,glp1,0.20,6378.825179546417,10
CAN,glp1,0.50,15957.367060542663,10
CAN,glp1,afford,31949.298732671377,10
CHN,combo,0.20,348803.708425014,10
CHN,combo,0.50,585284.391864714,10
CHN,combo,afford,979960.2931112108,10
CHN,diet,0.20,191284.6182449939,10
CHN,diet,0.50,191284.6182449939,10
CHN,diet,afford,191284.6182449939,10
CHN,glp1,0.20,158840.00940718656,10
CHN,glp1,0.50,397297.9491285108,10
CHN,glp1,afford,795258.1978846845,10
DEU,combo,0.20,32336.95608883472,10
DEU,combo,0.50,70265.60854001353,10
DEU,combo,afford,133596.68527443943,10
DEU,diet,0.20,7080.138107044892,10
DEU,diet,0.50,7080.138107044892,10
DEU,diet,afford,7080.138107044892,10
DEU,glp1,0.20,25359.41198007194,10
DEU,glp1,0.50,63441.310093963104,10
DEU,glp1,afford,127026.0473811718,10
EGY,combo,0.20,39603.35404766366,10
EGY,combo,0.50,90585.93823827464,10
EGY,combo,afford,176203.79499529803,10
EGY,diet,0.20,5772.320954503597,10
EGY,diet,0.50,5772.320954503597,10
EGY,diet,afford,5772.320954503597,10
EGY,glp1,0.20,33924.07448604224,10
EGY,glp1,0.50,85046.00146089916,10
EGY,glp1,afford,170895.48645868187,10
GBR,combo,0.20,17837.477981698335,10
GBR,combo,0.50,38608.99570814638,10
GBR,combo,afford,73288.50479755395,10
GBR,diet,0.20,4004.752756845688,10
GBR,diet,0.50,4004.752756845688,10
GBR,diet,afford,4004.752756845688,10
GBR,glp1,0.20,13895.379525073213,10
GBR,glp1,0.50,34760.34918297855,10
GBR,glp1,afford,69594.18142897692,10
GLB,combo,0.20,1555388.7308109626,10
GLB,combo,0.50,2801541.574710112,10
GLB,combo,afford,4881312.790467936,10
GLB,diet,0.20,725328.1420947993,10
GLB,diet,0.50,725328.1420947993,10
GLB,diet,afford,725328.1420947993,10
GLB,glp1,0.20,836376.6211544836,10
GLB,glp1,0.50,2091976.8047505403,10
GLB,glp1,afford,4187421.798600813,10
IND,combo,0.20,165758.45283407983,10
IND,combo,0.50,264522.2750607633,10
IND,combo,afford,429295.408429958,10
IND,diet,0.20,99957.4011756739,10
IND,diet,0.50,99957.4011756739,10
IND,diet,afford,99957.4011756739,10
IND,glp1,0.20,66219.10326394498,10
IND,glp1,0.50,165609.29563828974,10
IND,glp1,afford,331424.4837445176,10
ISR,combo,0.20,1238.0178374593502,10
ISR,combo,0.50,2660.3339999632585,10
ISR,combo,afford,5034.475742898083,10
ISR,diet,0.20,290.703297911935,10
ISR,diet,0.50,290.703297911935,10
ISR,diet,afford,290.703297911935,10
ISR,glp1,0.20,952.042642854486,10
ISR,glp1,0.50,2381.4115927608364,10
ISR,glp1,afford,4767.201854586221,10
JPN,combo,0.20,20424.85223263756,10
JPN,combo,0.50,38078.48236517573,10
JPN,combo,afford,67517.03309831678,10
JPN,diet,0.20,8659.696402540005,10
JPN,diet,0.50,8659.696402540005,10
JPN,diet,afford,8659.696402540005,10
JPN,glp1,0.20,11827.68987955165,10
JPN,glp1,0.50,29574.88958471676,10
JPN,glp1,afford,59168.77087521632,10
MEX,combo,0.20,24130.17758116101,10
MEX,combo,0.50,55156.83019028322,10
MEX,combo,afford,107056.30205386912,10
MEX,diet,0.20,3492.2201719365603,10
MEX,diet,0.50,3492.2201719365603,10
MEX,diet,afford,3492.2201719365603,10
MEX,glp1,0.20,20696.220030684595,10
MEX,glp1,0.50,51809.89608163769,10
MEX,glp1,afford,103853.40521813672,10
NGA,combo,0.20,9724.983147959038,10
NGA,combo,0.50,22902.720563074792,10
NGA,combo,afford,18506.23879393714,10
NGA,diet,0.20,959.2401063008692,10
NGA,diet,0.50,959.2401063008692,10
NGA,diet,afford,959.2401063008692,10
NGA,glp1,0.20,8774.657275736901,10
NGA,glp1,0.50,21965.728984220503,10
NGA,glp1,afford,17564.807411716378,10
NZL,combo,0.20,1542.204483240543,10
NZL,combo,0.50,3240.696367392564,10
NZL,combo,afford,6076.020068372845,10
NZL,diet,0.20,410.9944774575001,10
NZL,diet,0.50,410.9944774575001,10
NZL,diet,afford,410.9944774575001,10
NZL,glp1,0.20,1137.6619131300909,10
NZL,glp1,0.50,2845.78993685541,10
NZL,glp1,afford,5697.060174743321,10
ROU,combo,0.20,15496.57448855599,10
ROU,combo,0.50,27179.57579633984,10
ROU,combo,afford,46766.64541230693,10
ROU,diet,0.20,7736.037663056461,10
ROU,diet,0.50,7736.037663056461,10
ROU,diet,afford,7736.037663056461,10
ROU,glp1,0.20,7842.503072389863,10
ROU,glp1,0.50,19648.515260346736,10
ROU,glp1,afford,39440.76586456973,10
TUR,combo,0.20,26073.28145571686,10
TUR,combo,0.50,57572.69062668407,10
TUR,combo,afford,110289.42307901644,10
TUR,diet,0.20,5126.843684272522,10
TUR,diet,0.50,5126.843684272522,10
TUR,diet,afford,5126.843684272522,10
TUR,glp1,0.20,21028.20686228143,10
TUR,glp1,0.50,52649.89917970277,10
TUR,glp1,afford,105569.4256416996,10
USA,combo,0.20,113277.97391307083,10
USA,combo,0.50,241327.70368212124,10
USA,combo,afford,455174.9332804406,10
USA,diet,0.20,28017.865740529123,10
USA,diet,0.50,28017.865740529123,10
USA,diet,afford,28017.865740529123,10
USA,glp1,0.20,85715.75943742067,10
USA,glp1,0.50,214445.44295267903,10
USA,glp1,afford,429416.3902303298,10
ZAF,combo,0.20,5642.361289213054,10
ZAF,combo,0.50,13848.66659971151,10
ZAF,combo,afford,22071.54122639428,10
ZAF,diet,0.20,180.55272044507456,10
ZAF,diet,0.50,180.55272044507456,10
ZAF,diet,afford,180.55272044507456,10
ZAF,glp1,0.20,5464.187116216141,10
ZAF,glp1,0.50,13674.045712193956,10
ZAF,glp1,afford,21900.45607106499,10
AUS,combo,0.20,6393.4063321670765,11
AUS,combo,0.50,12915.236997545016,11
AUS,combo,afford,23805.53770514195,11
AUS,diet,0.20,2050.594829168434,11
AUS,diet,0.50,2050.594829168434,11
AUS,diet,afford,2050.594829168434,11
AUS,glp1,0.20,4373.611790357538,11
AUS,glp1,0.50,10941.435127495362,11
AUS,glp1,afford,21907.82680649455,11
BGD,combo,0.20,34621.86542479003,11
BGD,combo,0.50,49312.939492030935,11
BGD,combo,afford,64027.64032933259,11
BGD,diet,0.20,24840.850957195216,11
BGD,diet,0.50,24840.850957195216,11
BGD,diet,afford,24840.850957195216,11
BGD,glp1,0.20,9904.869526059896,11
BGD,glp1,0.50,24781.58429783144,11
BGD,glp1,afford,39681.75408844872,11
BGR,combo,0.20,7643.738527399971,11
BGR,combo,0.50,13895.19095692638,11
BGR,combo,afford,24377.70704580872,11
BGR,diet,0.20,3491.6422882914294,11
BGR,diet,0.50,3491.6422882914294,11
BGR,diet,afford,3491.6422882914294,11
BGR,glp1,0.20,4191.202213074891,11
BGR,glp1,0.50,10501.334344689089,11
BGR,glp1,afford,21081.69991418441,11
BRA,combo,0.20,51531.74316491556,11
BRA,combo,0.50,102736.13662563422,11
BRA,combo,afford,188157.5790878992,11
BRA,diet,0.20,17415.51374656032,11
BRA,diet,0.50,17415.51374656032,11
BRA,diet,afford,17415.51374656032,11
BRA,glp1,0.20,34378.0036052181,11
BRA,glp1,0.50,85972.93997910415,11
BRA,glp1,afford,172039.5767928824,11
CAN,combo,0.20,9222.215343694765,11
CAN,combo,0.50,19898.39251774658,11
CAN,combo,afford,37725.49514635255,11
CAN,diet,0.20,2113.063886719535,11
CAN,diet,0.50,2113.063886719535,11
CAN,diet,afford,2113.063886719535,11
CAN,glp1,0.20,7140.223098777673,11
CAN,glp1,0.50,17862.770606089183,11
CAN,glp1,afford,35766.518116414765,11
CHN,combo,0.20,428323.7449263282,11
CHN,combo,0.50,691907.3501421607,11
CHN,combo,afford,1131853.0847312897,11
CHN,diet,0.20,252760.4423621208,11
CHN,diet,0.50,252760.4423621208,11
CHN,diet,afford,252760.4423621208,11
CHN,glp1,0.20,177283.02872857556,11
CHN,glp1,0.50,443441.3797531691,11
CHN,glp1,afford,887665.3264106526,11
DEU,combo,0.20,37224.477806036026,11
DEU,combo,0.50,79388.31356435864,11
DEU,combo,afford,149801.3899905621,11
DEU,diet,0.20,9149.990940289315,11
DEU,diet,0.50,9149.990940289315,11
DEU,diet,afford,9149.990940289315,11
DEU,glp1,0.20,28205.31324382331,11
DEU,glp1,0.50,70564.64726375078,11
DEU,glp1,afford,141301.54095377945,11
EGY,combo,0.20,45044.01859400034,11
EGY,combo,0.50,101633.76550840556,11
EGY,combo,afford,196699.5328500885,11
EGY,diet,0.20,7499.707610816269,11
EGY,diet,0.50,7499.707610816269,11
EGY,diet,afford,7499.707610816269,11
EGY,glp1,0.20,37662.56801988892,11
EGY,glp1,0.50,94429.53773033082,11
EGY,glp1,afford,189790.2145379692,11
GBR,combo,0.20,20587.77438806106,11
GBR,combo,0.50,43679.04964643619,11
GBR,combo,afford,82236.81277324582,11
GBR,diet,0.20,5211.510919084021,11
GBR,diet,0.50,5211.510919084021,11
GBR,diet,afford,5211.510919084021,11
GBR,glp1,0.20,15456.886187168482,11
GBR,glp1,0.50,38668.457348561205,11
GBR,glp1,afford,77424.98762329432,11
GLB,combo,0.20,1880428.7125675732,11
GLB,combo,0.50,3270511.8172086417,11
GLB,combo,afford,5590723.290348535,11
GLB,diet,0.20,954552.5470945572,11
GLB,diet,0.50,954552.5470945572,11
GLB,diet,afford,954552.5470945572,11
GLB,glp1,0.20,934078.0738228164,11
GLB,glp1,0.50,2336432.2221958404,11
GLB,glp1,afford,4677009.82970632,11
IND,combo,0.20,203862.6148393844,11
IND,combo,0.50,313928.088569191,11
IND,combo,afford,497567.9365988429,11
IND,diet,0.20,130534.73663285884,11
IND,diet,0.50,130534.73663285884,11
IND,diet,afford,130534.73663285884,11
IND,glp1,0.20,73864.34597531016,11
IND,glp1,0.50,184733.72292430728,11
IND,glp1,afford,369711.2682706148,11
ISR,combo,0.20,1460.015904674554,11
ISR,combo,0.50,3074.9388012096724,11
ISR,combo,afford,5771.1083008751175,11
ISR,diet,0.20,384.5483655921887,11
ISR,diet,0.50,384.5483655921887,11
ISR,diet,afford,384.5483655921887,11
ISR,glp1,0.20,1081.6572654124316,11
ISR,glp1,0.50,2705.8167227500044,11
ISR,glp1,afford,5417.250863533339,11
JPN,combo,0.20,24258.20705093451,11
JPN,combo,0.50,43840.80565989073,11
JPN,combo,afford,76498.57774074867,11
JPN,diet,0.20,11208.129451067747,11
JPN,diet,0.50,11208.129451067747,11
JPN,diet,afford,11208.129451067747,11
JPN,glp1,0.20,13130.127661938955,11
JPN,glp1,0.50,32832.523613990765,11
JPN,glp1,afford,65689.2156949012,11
MEX,combo,0.20,27920.07595285802,11
MEX,combo,0.50,62922.26932669175,11
MEX,combo,afford,121487.22251173554,11
MEX,diet,0.20,4641.481252725454,11
MEX,diet,0.50,4641.481252725454,11
MEX,diet,afford,4641.481252725454,11
MEX,glp1,0.20,23354.908236032737,11
MEX,glp1,0.50,58471.14766922433,11
MEX,glp1,afford,117225.0285841164,11
NGA,combo,0.20,11067.045581508277,11
NGA,combo,0.50,25797.806487105987,11
NGA,combo,afford,20882.97267720825,11
NGA,diet,0.20,1269.3127898619605,11
NGA,diet,0.50,1269.3127898619605,11
NGA,diet,afford,1269.3127898619605,11
NGA,glp1,0.20,9809.35037792728,11
NGA,glp1,0.50,24557.49389249492,11
NGA,glp1,afford,19636.871741930867,11
NZL,combo,0.20,1809.0776738818004,11
NZL,combo,0.50,3720.249052575144,11
NZL,combo,afford,6911.107854379989,11
NZL,diet,0.20,536.3467454531027,11
NZL,diet,0.50,536.3467454531027,11
NZL,diet,afford,536.3467454531027,11
NZL,glp1,0.20,1281.0246031521572,11
NZL,glp1,0.50,3204.5888836786,11
NZL,glp1,afford,6415.972360942566,11
ROU,combo,0.20,18292.35964442974,11
ROU,combo,0.50,31132.115940121952,11
ROU,combo,afford,52663.01723564249,11
ROU,diet,0.20,9764.517275028382,11
ROU,diet,0.50,9764.517275028382,11
ROU,diet,afford,9764.517275028382,11
ROU,glp1,0.20,8628.628867557281,11
ROU,glp1,0.50,21619.70670594545,11
ROU,glp1,afford,43403.19043739254,11
TUR,combo,0.20,30181.83153175047,11
TUR,combo,0.50,65550.1711621363,11
TUR,combo,afford,124755.15868012336,11
TUR,diet,0.20,6665.870782298867,11
TUR,diet,0.50,6665.870782298867,11
TUR,diet,afford,6665.870782298867,11
TUR,glp1,0.20,23620.5282937394,11
TUR,glp1,0.50,59145.32148821402,11
TUR,glp1,afford,118609.97544919096,11
USA,combo,0.20,132768.20611383702,11
USA,combo,0.50,276825.39522589603,11
USA,combo,afford,517459.2246147822,11
USA,diet,0.20,36862.96737590175,11
USA,diet,0.50,36862.96737590175,11
USA,diet,afford,36862.96737590175,11
USA,glp1,0.20,96496.63045750596,11
USA,glp1,0.50,241436.7346126687,11
USA,glp1,afford,483530.77064447966,11
ZAF,combo,0.20,6372.537778857069,11
ZAF,combo,0.50,15591.502258830971,11
ZAF,combo,afford,24831.028353424237,11
ZAF,diet,0.20,237.7915092659177,11
ZAF,diet,0.50,237.7915092659177,11
ZAF,diet,afford,237.7915092659177,11
ZAF,glp1,0.20,6137.836145909847,11
ZAF,glp1,0.50,15361.417961004272,11
ZAF,glp1,afford,24605.54027569885,11
AUS,combo,0.20,7460.995901578073,12
AUS,combo,0.50,14750.461658985569,12
AUS,combo,afford,26923.9606499392,12
AUS,diet,0.20,2607.3664600207885,12
AUS,diet,0.50,2607.3664600207885,12
AUS,diet,afford,2607.3664600207885,12
AUS,glp1,0.20,4892.30961142167,12
AUS,glp1,0.50,12239.556015512348,12
AUS,glp1,afford,24508.705060570355,12
BGD,combo,0.20,42144.57513446155,12
BGD,combo,0.50,58336.50758127271,12
BGD,combo,afford,74555.16893474857,12
BGD,diet,0.20,31364.695151368345,12
BGD,diet,0.50,31364.695151368345,12
BGD,diet,afford,31364.695151368345,12
BGD,glp1,0.20,10932.891260041595,12
BGD,glp1,0.50,27354.20992776186,12
BGD,glp1,afford,43802.09896422094,12
BGR,combo,0.20,8818.590200635466,12
BGR,combo,0.50,15620.367310944976,12
BGR,combo,afford,27028.521785083405,12
BGR,diet,0.20,4301.665920030549,12
BGR,diet,0.50,4301.665920030549,12
BGR,diet,afford,4301.665920030549,12
BGR,glp1,0.20,4563.8798311554965,12
BGR,glp1,0.50,11436.152022213138,12
BGR,glp1,afford,22961.95814849797,12
BRA,combo,0.20,60461.76746808524,12
BRA,combo,0.50,117652.83245464475,12
BRA,combo,afford,213073.5388479316,12
BRA,diet,0.20,22359.739336052557,12
BRA,diet,0.50,22359.739336052557,12
BRA,diet,afford,22359.739336052557,12
BRA,glp1,0.20,38434.44113789628,12
BRA,glp1,0.50,96121.6064883826,12
BRA,glp1,afford,192362.3471359528,12
CAN,combo,0.20,10592.40797724048,12
CAN,combo,0.50,22426.53913519061,12
CAN,combo,afford,42189.16348415705,12
CAN,diet,0.20,2712.6730790499014,12
CAN,diet,0.50,2712.6730790499014,12
CAN,diet,afford,2712.6730790499014,12
CAN,glp1,0.20,7919.247816590646,12
CAN,glp1,0.50,19812.36438274937,12
CAN,glp1,afford,39672.53171669865,12
CHN,combo,0.20,517588.4396427218,12
CHN,combo,0.50,808798.3993228005,12
CHN,combo,afford,1294889.2761942288,12
CHN,diet,0.20,323632.6922969485,12
CHN,diet,0.50,323632.6922969485,12
CHN,diet,afford,323632.6922969485,12
CHN,glp1,0.20,196125.6177218521,12
CHN,glp1,0.50,490584.9130094377,12
CHN,glp1,afford,982076.615116401,12
DEU,combo,0.20,42403.60705936013,12
DEU,combo,0.50,88852.87962922682,12
DEU,combo,afford,166432.94814935105,12
DEU,diet,0.20,11478.256542073212,12
DEU,diet,0.50,11478.256542073212,12
DEU,diet,afford,11478.256542073212,12
DEU,glp1,0.20,31087.378039914387,12
DEU,glp1,0.50,77778.86933841511,12
DEU,glp1,afford,155760.39690620708,12
EGY,combo,0.20,50783.44065490896,12
EGY,combo,0.50,113085.72112403276,12
EGY,combo,afford,217778.6802254577,12
EGY,diet,0.20,9456.48106118033,12
EGY,diet,0.50,9456.48106118033,12
EGY,diet,afford,9456.48106118033,12
EGY,glp1,0.20,41472.91491084726,12
EGY,glp1,0.50,103994.06423212812,12
EGY,glp1,afford,209051.60465904544,12
GBR,combo,0.20,23510.753176521983,12
GBR,combo,0.50,48942.985373021664,12
GBR,combo,afford,91415.02780549884,12
GBR,diet,0.20,6576.989743396181,12
GBR,diet,0.50,6576.989743396181,12
GBR,diet,afford,6576.989743396181,12
GBR,glp1,0.20,17034.39875959982,12
GBR,glp1,0.50,42616.83923467408,12
GBR,glp1,afford,85337.21161325529,12
GLB,combo,0.20,2241388.568112826,12
GLB,combo,0.50,3778147.776653619,12
GLB,combo,afford,6343404.3773717405,12
GLB,diet,0.20,1217873.295497929,12
GLB,diet,0.50,1217873.295497929,12
GLB,diet,afford,1217873.295497929,12
GLB,glp1,0.20,1033842.314140534,12
GLB,glp1,0.50,2586055.5299970284,12
GLB,glp1,afford,5176970.360328784,12
IND,combo,0.20,246268.33515709965,12
IND,combo,0.50,367841.5921631968,12
IND,combo,afford,570692.741380679,12
IND,diet,0.20,165276.4638439261,12
IND,diet,0.50,165276.4638439261,12
IND,diet,afford,165276.4638439261,12
IND,glp1,0.20,81659.50834769578,12
IND,glp1,0.50,204233.35845813827,12
IND,glp1,afford,408749.84788316966,12
ISR,combo,0.20,1702.0317996404992,12
ISR,combo,0.50,3517.723908602918,12
ISR,combo,afford,6549.687856270386,12
ISR,diet,0.20,493.0096865341743,12
ISR,diet,0.50,493.0096865341743,12
