iso3,overweight_prev
AUS,0.6674203099236262
BGD,0.2438621803784883
BGR,0.6021510842751401
BRA,0.633694353100509
CAN,0.620017561927538
CHN,0.3045478102888992
DEU,0.6336574429446429
EGY,0.8165360990217368
GBR,0.6688934526994924
IND,0.1906206914618592
ISR,0.6816704992041583
JPN,0.3032377752808229
MEX,0.7143303482310126
NGA,0.4168497038156735
NZL,0.7042142450057024
ROU,0.5979308923942839
TUR,0.7750456087323906
USA,0.7073678688640822
ZAF,0.5836694031875418
GLB,0.3768042166531982
