iso3,sex,outcome,arm,averted_10yr,averted_yr1,averted_yr10,yr1,yr2,yr3,yr4,yr5,yr6,yr7,yr8,yr9,yr10,yr11,yr12,yr13,yr14,yr15,yr16,yr17,yr18,yr19,yr20,yr21,yr22,yr23,yr24,yr25,yr26,yr27,yr28,yr29,yr30,coverage
CHN,Male,IHD,glp1,163786.22549668886,2368.458273135592,5824.050617998699,2368.458273135592,5896.069914616877,5800.153501985595,5671.157986894716,5550.189224884845,5447.65119399759,5367.947857303312,5311.678013109602,5277.165280934656,5261.63536864426,5262.0152667490765,5275.391298754141,5299.205014717998,5331.2778779377695,5369.746141645359,5412.966910026968,5459.433631018736,5507.719428284792,5556.452108460711,5604.315715587698,5650.069334230153,5692.57317627361,5730.813497493276,5763.920453591272,5791.175790948793,5812.009741573129,5825.988374516601,5832.79385777493,5832.200643598102,5824.050617998699,0.20
CHN,Male,IHD,diet,558923.1504059138,0.0,33149.76247303258,0.0,326.74064082535915,790.8725909912027,1463.3655047258362,2413.0139046842232,3682.6852050542366,5266.187779300148,7104.083541480126,9103.400694836397,11166.728296429152,13213.578466039153,15188.395932523768,17058.920759591274,18810.454895915696,20439.69595884345,21949.717225440312,23346.44385638577,24636.45294307731,25825.7765769877,26919.39392650128,27921.15482631349,28833.94136176235,29659.93113841419,30400.87286153436,31058.32155738049,31633.80827310984,32128.93862038036,32545.427326828707,32885.08326752507,33149.76247303258,0.20
CHN,Male,IHD,combo,719792.6507937848,2368.458273135592,38823.032934586285,2368.458273135592,6220.327865627129,6585.058168732328,7123.790545779048,7945.985780311516,9104.709473560564,10598.344591309316,12368.588818328222,14321.516755439108,16357.625603028571,18393.8524432024,20372.008952806005,22257.37790561444,24033.06513973465,25693.82353753876,27240.97901882301,28678.846680872142,30012.48652991489,31246.48579125712,32384.451968865003,33428.95228230627,34381.697606689064,35243.827118172776,36016.19887638278,36699.63074622024,37295.06583618559,37803.65792600042,38226.78630662407,38566.017316737445,38823.032934586285,0.20
CHN,Female,IHD,glp1,146149.6679375302,2035.3674131091684,5764.984966077376,2035.3674131091684,4991.128575929324,4836.985741384095,4688.732159479172,4570.205031738267,4482.803900235565,4425.610516218585,4396.283501385944,4391.629079308361,4408.111930224579,4442.245411956916,4490.835772143444,4551.091098645586,4620.627309638425,4697.410593330045,4779.672473375569,4865.824876760831,4954.392135626404,5043.967345117359,5133.193248622119,5220.76320254826,5305.435557103716,5386.054446084658,5461.570887460839,5531.059682436986,5593.729401762364,5648.924437731039,5696.119480854133,5734.9077612410765,5764.984966077376,0.20
CHN,Female,IHD,diet,528361.6949786335,0.0,33215.77064665663,0.0,270.7517271172255,662.3084876200883,1235.740712132305,2050.645231931354,3145.715114341234,4519.6256913340185,6127.277924149064,7895.410440651816,9745.795909051783,11612.308481342625,13447.489007190918,15221.6117508756,16918.58896697976,18531.4958599041,20058.8776529514,21502.088259009062,22863.545084741432,24145.690924421884,25350.46256904141,26479.101710252464,27532.180813202634,28509.748381365323,29411.5241845611,30237.09653890832,30986.091386424843,31658.297135080444,32253.74020549562,32772.71418189909,33215.77064665663,0.20
CHN,Female,IHD,combo,671629.1305173002,2035.3674131091684,38818.85899377428,2035.3674131091684,5259.823036605143,5494.268221924314,5915.316327122389,6606.016792353941,7606.266086814692,8913.935126401484,10482.004459001706,12234.604097823496,14090.538779091325,15980.627556156716,17854.4824779731,19679.709133207565,21437.860787217505,23119.946644890588,24722.684594109887,26245.77490331477,27690.09845117305,29056.64034826262,30345.940865674987,31557.90641435049,32691.847740739817,33746.64354113978,34720.95446774457,35613.43538577086,36422.91304100235,37148.51208731928,37789.72471677512,38346.42802645522,38818.85899377428,0.20
IND,Male,IHD,glp1,95388.51793151768,1235.789295741939,3563.6672334419563,1235.789295741939,3095.960118209594,3059.539762825821,3024.2396110387053,3000.3773809896084,2986.571537260781,2981.5455952524208,2984.270903232391,2993.8956562487874,3009.683669192484,3030.967236664379,3057.1121451854706,3087.492559051141,3121.473763877293,3158.4011135047767,3197.5938674111385,3238.342896265676,3279.911467968719,3321.538510002196,3362.443883736152,3401.835309451912,3438.916652366752,3472.8973234475125,3503.002567226067,3528.484405960189,3548.6329902647994,3562.788077291334,3570.350325982552,3570.7920724251308,3563.6672334419563,0.20
IND,Male,IHD,diet,444832.0289178264,0.0,25439.97437371825,0.0,285.7411334643839,702.9614425745094,1307.6969763351372,2150.854455567198,3257.5145794658456,4609.870304657961,6148.024717968889,7789.647707772441,9454.407504652743,11079.705986443674,12624.930677357828,14068.477642955491,15402.338579138042,16626.987175217597,17747.506286809687,18770.98622927931,19704.918847436784,20556.28344724956,21331.081903886283,22034.15250114864,22669.150556324515,23238.62520438805,23744.148946464527,24186.47376686195,24565.698148840107,24881.43557755486,25132.97872515256,25319.45551913953,25439.97437371825,0.20
IND,Male,IHD,combo,538774.3357672739,1235.789295741939,28936.20173606253,1235.789295741939,3380.3414973915787,3759.131073896773,4325.773898960557,5141.298007827019,6229.349151657894,7571.001839351957,9105.675066888216,10750.605389426111,12425.094449668308,14066.129289370148,15632.592811730456,17102.288903601468,18466.54722194234,19725.12775403704,20882.36196963536,21944.560958292568,22918.41669208464,23810.09395769332,24624.771311256336,25366.461235411465,26037.99786787317,26641.12178232125,27176.618394923866,27644.48367274204,28044.10127332713,28374.421444576463,28634.135573635576,28821.842245946405,28936.20173606253,0.20
IND,Female,IHD,glp1,74490.38624267315,796.2497899136506,2869.49180398765,796.2497899136506,2074.1284963618964,2094.7310009454377,2116.921532586799,2145.302125316696,2177.993519190233,2213.715067547164,2251.5856268829666,2290.971238831873,2331.402053488652,2372.517573088873,2414.025789614767,2455.6714330085088,2497.2114551205887,2538.396663683234,2578.958647539956,2618.601249257801,2656.9959412986645,2693.780552940443,2728.5608694921248,2760.914679342415,2790.397878584219,2816.552260294789,2838.9146199950483,2857.026804876048,2870.446326941019,2878.757154208608,2881.580294222571,2878.5837941104546,2869.49180398765,0.20
IND,Female,IHD,diet,385946.066726441,0.0,22250.843668686222,0.0,267.8950921854703,649.727887408575,1195.9708572046366,1950.484391270788,2932.499304082594,4122.375365543412,5463.891135777347,6883.088106767624,8310.283695955877,9693.3183872276,11000.24120441242,12215.792375441408,13336.128096531029,14364.144518277491,15306.096337277677,16169.4231685868,16961.47190354555,17688.813866067096,18356.93128257699,18970.122310916544,19531.53008414596,20043.23893967504,20506.40474673966,20921.40054835449,21287.967026339844,21605.361908740364,21872.50486841891,22088.115648283623,22250.843668686222,0.20
IND,Female,IHD,combo,459225.19240929896,796.2497899136506,25062.954192103352,796.2497899136506,2340.7487580935704,2741.3760252669454,3307.348704663338,4086.9603561759,5097.531556412112,6318.300222493359,7692.479083911516,9145.839769494254,10608.534348507645,12028.234888900071,13372.780872064875,14626.660207234325,15785.742794855498,16852.6118991205,17833.186129129957,18734.54634199152,19563.657506814,20326.68578786449,21028.686231837608,21673.51070466253,22263.84161344857,22801.29446164693,23286.55590498238,23719.53820458148,24099.539222269785,24425.401690319413,24695.667910298333,24908.727230241057,25062.954192103352,0.20
BRA,Male,IHD,glp1,40207.22043083826,427.74364975249046,1505.3965243435814,427.74364975249046,1091.8706300204503,1120.2985486318648,1145.4473359007245,1170.7119266580703,1195.709596331959,1220.1912803257435,1244.0339245777286,1267.1859879191034,1289.6314165977385,1311.367077470466,1332.3890649852692,1352.6846876840864,1372.227995650057,1390.9774698191322,1408.8750244468683,1425.8458332132725,1441.7987232323503,1456.6270246065978,1470.2098426019656,1482.4137549997831,1493.0949436969531,1502.1017583442735,1509.2776888741355,1514.464699025673,1517.5068484908843,1518.2541098418296,1516.566269732546,1512.316793062666,1505.3965243435814,0.20
BRA,Male,IHD,diet,63706.64734124944,0.0,3805.573590137821,0.0,33.43117395201989,83.80928615818266,158.148648909264,263.14683866025007,402.767489372156,576.1257222122513,777.2996829560725,997.2915156509262,1226.6783591606218,1457.4682819083537,1683.7753855376795,1901.6973080160824,2108.875736362796,2304.031431863332,2486.5872777422483,2656.3974520736374,2813.565293108521,2958.325659275928,3090.97109484105,3211.806736464496,3321.1238147257827,3419.185206024733,3506.218909117306,3582.4168609785847,3647.937449341232,3702.9106361573504,3747.444924305106,3781.6355762356543,3805.573590137821,0.20
BRA,Male,IHD,combo,103119.14471939333,427.74364975249046,5269.899148941156,427.74364975249046,1124.7741354557074,1202.7565824081248,1301.0594597244344,1429.6802651729813,1592.1549464471464,1787.3864458560856,2009.446811460497,2249.446853431349,2498.105437684935,2747.553098734992,2991.9847624042013,3227.533938901616,3451.8381784053345,3663.5809171131696,3862.120599596892,4047.224565442564,4218.890455084824,4377.231337463745,4522.40425342173,4654.567407308088,4773.85606494316,4880.370735439239,4974.173565728037,5055.290363046923,5123.71656094768,5179.42596915015,5222.381442650658,5252.546767275402,5269.899148941156,0.20
BRA,Female,IHD,glp1,34624.355586038764,302.0825424046998,1456.454983462521,302.0825424046998,783.0236900318268,815.2874368473567,847.2355738655169,880.457261698888,914.1472074010816,947.781923485978,981.0432452477398,1013.7358451394102,1045.735913665019,1076.9605420443986,1107.3499630148872,1136.8574453809706,1165.4435061329132,1193.0723778597458,1219.709518540636,1245.3195067796914,1269.8640221388923,1293.2998318283353,1315.5768348481945,1336.6362817548795,1356.4093123981002,1374.8159492357229,1391.764660359113,1407.152571726212,1420.8663679924794,1432.7838800261088,1442.776317869109,1450.7110728583357,1456.454983462521,0.20
BRA,Female,IHD,diet,56050.13363616739,0.0,3563.0806585689133,0.0,27.597741225443315,68.801806510819,129.5495999460545,215.5594880963763,330.35858729887696,473.52157285388967,640.4761295635253,824.0885633215366,1016.8363359852084,1212.3333814613145,1405.8821861280155,1594.3693824839577,1775.9042273961531,1949.441053950373,2114.4777266035235,2270.842748942625,2418.5547443228133,2557.73317275662,2688.542705029424,2811.158792846501,2925.746329968417,3032.4464322716667,3131.368429093418,3222.585437615431,3306.132640163589,3382.007790685064,3450.1736722377245,3510.5622988401155,3563.0806585689133,0.20
BRA,Female,IHD,combo,89969.85433271393,302.0825424046998,4979.662799651909,302.0825424046998,810.1858360490587,882.9830560339033,974.716729906184,1092.6126313887944,1239.3513439863164,1414.0095120820188,1611.787711351266,1825.4836295918649,2047.5759749791323,2271.6950047345454,2493.150022818037,2708.818944669721,2916.788748382344,3115.981754365712,3305.857165495196,3486.1998310939234,3656.9800690112897,3818.263775998305,3970.155645605948,4112.76338704137,4246.175131544733,4370.445281352528,4485.586059455192,4591.563240541262,4688.295238779872,4775.655086426777,4853.474990229704,4921.553187742335,4979.662799651909,0.20
CAN,Male,IHD,glp1,8928.153134623459,119.34429338250992,293.33215191931595,119.34429338250992,295.3508339691616,295.60916685156553,295.60654720309685,296.3823351117717,297.744440378061,299.47155717794885,301.37128469960226,303.2921260699586,305.1222902278605,306.78323920521143,308.2221274574367,309.40510393271325,310.3121580810366,310.933500091367,311.2671590955615,311.31740378196264,311.09362936886464,310.6094436551284,309.8817821942939,308.92996766945,307.7746930364374,306.43695100909827,304.93695671364185,303.293119969454,301.52112288124044,299.63315092869016,297.6373144172212,295.53728414379657,293.33215191931595,0.20
CAN,Male,IHD,diet,9002.608875211747,0.0,539.831837407386,0.0,4.397670355312584,11.15059305892646,21.294823684023868,35.84936216679125,55.45204476549043,80.02427212616749,108.71977009341572,140.2094518072554,173.08644542297407,206.1559717817363,238.54204180582383,269.66805882073095,299.18764459359227,326.91280509895296,352.7575839968995,376.6995168366848,398.7553256970277,418.96632118119305,437.3897699903864,454.0936200749893,469.1529497733609,482.6472129680915,494.6578165960928,505.26584987971,514.5499428321164,522.5843085513588,529.4370505050938,535.1688133401622,539.831837407386,0.20
