iso3,arm,coverage,flow,yr
BGD,combo,0.50,6473.743054114319,9
BGD,combo,afford,7891.922645651468,9
BGD,diet,0.20,4116.656873191071,9
BGD,diet,0.50,4116.656873191071,9
BGD,diet,afford,4116.656873191071,9
BGD,glp1,0.20,962.1558992818308,9
BGD,glp1,0.50,2407.8104542494048,9
BGD,glp1,afford,3856.3945092979534,9
BGR,combo,0.20,953.4751831636858,9
BGR,combo,0.50,1527.431845074292,9
BGR,combo,afford,2492.013019105749,9
BGR,diet,0.20,572.786624561176,9
BGR,diet,0.50,572.786624561176,9
BGR,diet,afford,572.786624561176,9
BGR,glp1,0.20,386.9500943626267,9
BGR,glp1,0.50,970.309081660801,9
BGR,glp1,afford,1950.58671148021,9
BRA,combo,0.20,6525.679382167858,9
BRA,combo,0.50,11958.711553426663,9
BRA,combo,afford,21028.2478717614,9
BRA,diet,0.20,2907.246125466201,9
BRA,diet,0.50,2907.246125466201,9
BRA,diet,afford,2907.246125466201,9
BRA,glp1,0.20,3662.031679209984,9
BRA,glp1,0.50,9160.116416834448,9
BRA,glp1,afford,18337.14269267744,9
CAN,combo,0.20,1072.658155852404,9
CAN,combo,0.50,2153.6870587597323,9
CAN,combo,afford,3960.0035926461833,9
CAN,diet,0.20,353.11160534297414,9
CAN,diet,0.50,353.11160534297414,9
CAN,diet,afford,353.11160534297414,9
CAN,glp1,0.20,724.7242378587662,9
CAN,glp1,0.50,1813.4811646024675,9
CAN,glp1,afford,3632.5738854682095,9
CHN,combo,0.20,59591.48521169487,9
CHN,combo,0.50,85736.3464835244,9
CHN,combo,afford,129402.15429678404,9
CHN,diet,0.20,42184.19101819556,9
CHN,diet,0.50,42184.19101819556,9
CHN,diet,afford,42184.19101819556,9
CHN,glp1,0.20,17692.735883527246,9
CHN,glp1,0.50,44265.001063521006,9
CHN,glp1,afford,88641.10554709994,9
DEU,combo,0.20,4267.710556490947,9
DEU,combo,0.50,8417.791050242988,9
DEU,combo,afford,15355.48686962712,9
DEU,diet,0.20,1506.1665595025624,9
DEU,diet,0.50,1506.1665595025624,9
DEU,diet,afford,1506.1665595025624,9
DEU,glp1,0.20,2782.871939603377,9
DEU,glp1,0.50,6964.835363762559,9
DEU,glp1,afford,13955.372388849775,9
EGY,combo,0.20,4831.927060085305,9
EGY,combo,0.50,10260.756671169083,9
EGY,combo,afford,19403.310652099277,9
EGY,diet,0.20,1235.5986925803372,9
EGY,diet,0.50,1235.5986925803372,9
EGY,diet,afford,1235.5986925803372,9
EGY,glp1,0.20,3615.541457210744,9
EGY,glp1,0.50,9073.180423633125,9
EGY,glp1,afford,18263.71803464733,9
GBR,combo,0.20,2376.619035951804,9
GBR,combo,0.50,4651.066913570863,9
GBR,combo,afford,8452.30153970129,9
GBR,diet,0.20,862.9161178820641,9
GBR,diet,0.50,862.9161178820641,9
GBR,diet,afford,862.9161178820641,9
GBR,glp1,0.20,1526.9755726237863,9
GBR,glp1,0.50,3821.232042367916,9
GBR,glp1,afford,7655.20903797509,9
GLB,combo,0.20,251212.6118685318,9
GLB,combo,0.50,389938.6364255579,9
GLB,combo,afford,621642.3778338068,9
GLB,diet,0.20,158851.04186103633,9
GLB,diet,0.50,158851.04186103633,9
GLB,diet,afford,158851.04186103633,9
GLB,glp1,0.20,93719.60369249922,9
GLB,glp1,0.50,234477.6620523316,9
GLB,glp1,afford,469554.6160836192,9
IND,combo,0.20,28948.29114941108,9
IND,combo,0.50,39871.03158207058,9
IND,combo,afford,58103.61100633142,9
IND,diet,0.20,21673.426926077234,9
IND,diet,0.50,21673.426926077234,9
IND,diet,afford,21673.426926077234,9
IND,glp1,0.20,7363.189313278002,9
IND,glp1,0.50,18418.297794145685,9
IND,glp1,afford,36871.16960111085,9
ISR,combo,0.20,181.12272368902316,9
ISR,combo,0.50,356.91008412095925,9
ISR,combo,afford,650.6195706822867,9
ISR,diet,0.20,64.11203391383856,9
