iso3,sex,outcome,arm,averted_10yr,averted_yr1,averted_yr10,yr1,yr2,yr3,yr4,yr5,yr6,yr7,yr8,yr9,yr10,yr11,yr12,yr13,yr14,yr15,yr16,yr17,yr18,yr19,yr20,yr21,yr22,yr23,yr24,yr25,yr26,yr27,yr28,yr29,yr30
CHN,Male,IHD,glp1,514737.82334377104,1735.2758940814529,19219.49394867383,1735.2758940814529,7337.943242185051,12023.424307886045,15635.329045330407,17408.092666602693,17973.208861975232,18020.892547521507,17912.18626211537,17792.024144992232,17708.495676741237,17672.024630977307,17679.864505489822,17725.498416219372,17801.962296340847,17902.806342267664,18022.198541413993,18154.78066736739,18295.516238760436,18439.60882732109,18582.497801485937,18719.90941975778,18847.933273906354,18963.096937475726,19062.419342903886,19143.43232395337,19204.16785206017,19243.114722300787,19259.152461851714,19251.472143812338,19219.49394867383
CHN,Male,IHD,diet,-2971.7942722740117,0.0,-175.86355904839002,0.0,-1.7504008205141872,-4.236086851684377,-7.836243480909616,-12.917437011376023,-19.706182562280446,-28.16546862316318,-37.973526428686455,-48.63073356030509,-59.61598219675943,-70.50064006610774,-80.99051401298493,-90.91623274586163,-100.20202422095463,-108.83249124512076,-116.82573047513142,-124.21456459444016,-131.0348950405605,-137.3194199274294,-143.095019207336,-148.38242367608473,-153.19713310478255,-157.5508578098379,-161.45301015954465,-164.91196896717884,-167.9359863807913,-170.53371056821197,-172.71436512516811,-174.48766436241567,-175.86355904839002
CHN,Male,IHD,combo,511816.72450742987,1735.2758940814529,19046.254380906466,1735.2758940814529,7336.207439548336,12019.245047862642,15627.631800195668,17395.43726387527,17953.924252990168,17993.337508430006,17875.030547090108,17744.424444690812,17650.11834232672,17602.956545923138,17600.482385149924,17636.347003116738,17703.662716359133,17795.996739875758,17907.50092306221,18032.786107847,18166.781535909045,18304.65937704593,18441.83310603886,18574.008984249784,18697.261653462192,18808.10740688606,18903.556125882315,18981.131593440194,19038.857844147366,19075.21533572045,19089.074677577708,19079.617523738416,19046.254380906466
CHN,Female,IHD,glp1,460262.09967246954,1491.2333679797594,18985.4563520581,1491.2333679797594,6225.298259329051,10091.463766335859,13030.817330371821,14440.953439576318,14875.563741920865,14915.712667244254,14858.337217163644,14818.575823479332,14831.52624420647,14901.79358954914,15023.710264118738,15189.009171368903,15389.510234325659,15617.872603271971,15867.628461040207,16132.99276294047,16408.651930427644,16689.608864983078,16971.103394628037,17248.59964679717,17517.82013581856,17774.80369969108,18015.966920660343,18238.153756109066,18438.6640329645,18615.25706208148,18766.131228765473,18889.883703262545,18985.4563520581
CHN,Female,IHD,diet,-2812.867955864058,0.0,-176.51226980332285,0.0,-1.4504594350000843,-3.5476020893547684,-6.617894718656316,-10.979229804244824,-16.836692122393288,-24.180453883716837,-32.76645932451356,-42.200941868824884,-52.06504727411084,-62.00597821443807,-71.77157379151322,-81.20477721397765,-90.22137062984984,-98.7858674362069,-106.89171589515172,-114.54708864004351,-121.7656003208831,-128.5608130665496,-134.94344732770696,-140.92041432787664,-146.49498797161505,-151.66760551254265,-156.43692690506577,-160.800898241112,-164.75765921967104,-168.30621056165546,-171.44681583484635,-174.18115442921408,-176.51226980332285
CHN,Female,IHD,combo,457499.38312335673,1491.2333679797594,18811.765331095783,1491.2333679797594,6223.859896594076,10087.963902909076,13024.317494556308,14430.198815056356,14859.091360299033,14892.063906641677,14826.288953724434,14777.288364788052,14780.56914832897,14841.082082318142,14953.407479242305,15109.433446549112,15301.063910521567,15520.994230825221,15762.764282620978,16020.582071455196,16289.121519942768,16563.37288993504,16838.565998564474,17110.15857803868,17373.87022982957,17625.739605238196,17862.18480841443,18080.05199818313,18276.64299991168,18449.71826787782,18597.476081005298,18718.512100909604,18811.765331095783
IND,Male,IHD,glp1,480806.85007415013,1446.5473887119442,18801.598594312556,1446.5473887119442,6133.51682603755,10073.984484250774,13226.912503634114,14923.565947854659,15632.391232271912,15893.552574009751,15995.89074740617,16060.042362402077,16130.696039123693,16222.367299990496,16338.16432521143,16476.965046441182,16636.06743593095,16812.139765044674,17001.55028054281,17200.479571545962,17404.96358073596,17610.920057205018,17814.17623114935,18010.50285562896,18195.655357562704,18365.421390343457,18515.673628720222,18642.426482972456,18741.895293623675,18810.556438256754,18845.206644631457,18843.019688597415,18801.598594312556
IND,Male,IHD,diet,51614.07998077257,0.0,2948.783154953271,0.0,33.22392764210235,81.73295041907113,152.03874471527524,250.05275684862863,378.6787478924962,535.8304087632569,714.5286074163159,905.1920429428574,1098.4802897876361,1287.1220351124648,1466.406254422618,1633.8330266466364,1788.482230991358,1930.4181108153425,2060.238812190946,2178.7740754547995,2286.898840382695,2385.4273104448803,2475.059207980754,2556.3583870523144,2629.750788395526,2695.533530947054,2753.890101584606,2804.908603659831,2848.6012474312447,2884.9239918792155,2913.7956657456234,2935.1161282537505,2948.783154953271
IND,Male,IHD,combo,531544.1168534618,1446.5473887119442,21709.20924613811,1446.5473887119442,6166.463669139426,10154.61456023727,13376.228572199587,15168.476381844375,16002.817465124652,16417.496440685238,16694.60563564382,16945.455827149563,17205.615134469583,17482.476304787444,17774.51112996298,18078.11501231743,18389.646902186563,18705.80163758807,19023.501234868774,19339.71222931589,19651.306130370358,19954.981567988405,20247.23854565923,20524.390706301667,20782.603703204775,21017.95097651868,21226.480856348993,21404.290692171315,21547.60478252708,21652.8534578213,21716.750940757105,21736.369721422205,21709.20924613811
IND,Female,IHD,glp1,375706.89284058986,932.0464729145169,15106.979518135078,932.0464729145169,4095.402445602347,6877.800819633761,9225.316061198479,10609.606715307222,11308.521177589544,11683.959061480942,11935.321978488355,12146.667247873149,12348.988114805194,12552.231358499965,12758.601476428681,12967.627726863837,13177.97610186087,13388.041454621009,13596.105307095684,13800.353045215015,13998.856738610426,14189.559826095589,14370.274360017618,14538.692498333636,14692.410953630344,14828.966239947244,14945.87837557448,15040.700706054457,15111.073552635964,15154.77943692985,15169.797693225788,15154.35637592082,15106.979518135078
IND,Female,IHD,diet,44804.7276139952,0.0,2581.1789515800774,0.0,31.14891808014363,75.54402263148222,139.05129403341562,226.7653532656841,340.9139568362152,479.20318068098277,635.0866801964585,799.9600063281832,965.7214106398169,1126.3110612654127,1278.0211512785172,1419.0850281439489,1549.0626799393212,1668.2965702848742,1777.5184185345424,1877.5966097092023,1969.3878471780336,2053.6579629079206,2131.045642421348,2202.051530393306,2267.041726617608,2326.2590694953687,2379.838364663534,2427.8233784467448,2470.1843789631967,2506.8355429228395,2537.651828033151,2562.4850485238712,2581.1789515800774
IND,Female,IHD,combo,419777.6512881458,932.0464729145169,17653.114117044955,932.0464729145169,4126.291584533872,6952.332412840682,9361.907257520477,10831.786990778637,11642.161407930776,12152.793365966063,12556.744563197135,12929.686919328175,13294.690939449822,13655.754917711602,14011.421798392665,14359.453349534655,14698.047421443625,15025.901239939965,15341.985818938469,15645.315977696679,15934.787276196526,16209.082214335562,16466.630952480482,16705.611204054672,16923.97530259099,17119.49583279225,17289.823715883074,17432.55426514009,17545.297709502047,17625.751253332244,17671.77007860178,17681.434928073315,17653.114117044955
BRA,Male,IHD,glp1,60634.4454384929,150.61284451214306,2378.876762814616,150.61284451214306,649.1714027206763,1094.6719299711694,1473.7049807612493,1705.5204260045575,1831.1085018091253,1904.248872424374,1954.9201599983935,1996.1904687899223,2033.2672710766637,2068.1475619997364,2101.56986228624,2133.7795428390527,2164.821055416338,2194.6482663055504,2223.1660127469368,2250.2459952840873,2275.7333198141714,2299.4498680242395,2321.1968629107287,2340.7575569263427,2357.9004118624434,2372.3829043834994,2383.95597420758,2392.3690599672846,2397.375615904486,2398.738963158423,2396.238300704921,2389.674682867946,2378.876762814616
BRA,Male,IHD,diet,9522.561898694956,0.0,568.2934828101133,0.0,5.006241394818062,12.549981044809101,23.681146851333324,39.40177544511971,60.30389222619124,86.25296250941756,116.36012036410102,149.27639966287825,183.5900640579057,218.10451146028936,251.93912089057267,284.51062280983024,315.4670693647349,344.6180755364185,371.87830884111463,397.2269122628786,420.68023013084894,442.2742013655661,462.0533156154852,480.0638734258828,496.3500299572188,510.9516418958083,523.9032997370232,535.2341583790258,544.9683201104635,553.1256074310804,559.7226107450551,564.7739223689714,568.2934828101133
BRA,Male,IHD,combo,69970.85816251198,150.61284451214306,2937.4869830212556,150.61284451214306,654.1358925167588,1107.0512276809895,1496.9556478019513,1744.09307988621,1890.0556443232636,1988.5076188582898,2068.5695641685743,2141.998688048625,2212.6273916343926,2281.2850905269734,2347.849217590352,2411.9930240077956,2473.413952428382,2531.8763245347363,2587.1980300852592,2639.22698157368,2687.8211175340693,2732.834615228552,2774.1096712634608,2811.4725874784344,2844.733056344732,2873.6858285722847,2898.1141803496866,2917.7947495723784,2932.503395484906,2942.0217776189093,2946.144367321016,2944.6856125439226,2937.4869830212556
BRA,Female,IHD,glp1,52389.83904199825,106.36630377881374,2296.4095532498905,106.36630377881374,464.8638955820061,794.3795349261345,1085.4538914159057,1275.8546928909054,1391.4641219460755,1469.6240779059299,1531.5667012290942,1586.5847962091502,1638.3322449391271,1688.1482959139248,1736.474925807328,1783.418390006511,1828.9643805222295,1873.0581230640528,1915.6325650598592,1956.6166939357208,1995.936254781438,2033.5116192021233,2069.2547356627183,2103.0660389110417,2134.831793598729,2164.4221741096117,2191.690284719676,2216.4722482701327,2238.5884216222476,2257.845729582157,2274.041047221952,2286.9655059337674,2296.4095532498905
BRA,Female,IHD,diet,8379.5567415962,0.0,532.294560160808,0.0,4.132698263128987,10.302681291141198,19.398691470822087,32.276295440475224,49.46243605548807,70.89179488665832,95.87803707968851,123.3517228338751,152.18590432591736,181.42449789019884,210.3647362743941,238.54129652092524,265.67199175298447,291.6011389087653,316.2543625206745,339.6067051342834,361.6615899010212,382.4374608042417,401.9594636599213,420.25430019282794,437.34704114594206,453.2591540593712,468.00731061352417,481.602729960141,494.0509263869317,505.351790409768,515.4999615929264,524.4854620593542,532.294560160808
BRA,Female,IHD,combo,60604.325148493655,106.36630377881374,2819.3060694999294,106.36630377881374,468.9621275168465,804.5423130786367,1104.5008475733775,1307.4541475880105,1439.8184898276813,1538.8849977228383,1625.2235263661714,1707.087470605984,1787.032718966133,1865.465267691412,1942.13959794135,2016.7053133274458,2088.869777572909,2158.4232782968757,2225.223310118221,2289.1718770141306,2350.195722140299,2408.231164625933,2463.21291710448,2515.0659488450765,2563.6996903769323,2609.004158169846,2650.847780479904,2689.076815776236,2723.516294186469,2753.9724049903743,2780.236219875893,2802.088597435446,2819.3060694999294
CAN,Male,IHD,glp1,13652.016438059367,42.9492855209719,472.99392507381344,42.9492855209719,180.39654514580616,298.05190376771134,392.94947377359495,445.8264036765795,470.12843636424077,481.12933739583605,486.85403213795144,490.57282258621126,493.4571454667639,495.8755094479857,497.9149212076409,499.57467202517,500.83441364899045,501.67634287207693,502.0913746344777,502.0800409527001,501.65176074532064,500.82360023613364,499.61881143948995,498.0652094167526,496.1934207878039,494.03505850516376,491.6209012916697,488.9791670435625,486.13396739654127,483.1040188443767,479.90166806309935,476.53226859093047,472.99392507381344
CAN,Male,IHD,diet,853.4701360188592,0.0,51.10976136655154,0.0,0.41837070811743615,1.0607437077051145,2.025581558002159,3.4096190997443045,5.2731933057330025,7.608381941456173,10.33425081696987,13.324099699202634,16.444065758114448,19.580668527451053,22.650872920370603,25.600159757668735,28.395891349355225,31.02045398068367,33.46589312762808,35.7302513270115,37.81526355855749,39.72497572317661,41.464929133482656,43.041662832871225,44.462378673342755,45.73468129817047,46.86634929008869,47.865120568025304,48.7384900595971,49.49352491222453,50.13670498102147,50.67379603653535,51.10976136655154
CAN,Male,IHD,combo,14488.000428869942,42.9492855209719,523.1436275844208,42.9492855209719,180.81142668019675,299.0982047726684,394.938145017426,449.16406368738535,475.28267875828897,488.56146121672646,496.9471598822056,503.5868176576587,509.52131875071063,515.0082966835362,520.0534667221982,524.6026006001885,528.6031761233644,532.0198963997609,534.8356391453235,537.0487845786593,538.670234809535,539.720823243526,540.229054397354,540.2289930956977,539.758184221515,538.8555721205812,537.5594551705035,535.9055481412361,533.9252375211872,531.644110303685,529.0808214633653,526.2463446000656,523.1436275844208
CAN,Female,IHD,glp1,8800.847478339765,30.80718579585664,321.50462862425775,30.80718579585664,124.27486139242683,198.21944939095556,254.52456943362267,282.96141870515567,294.03249563363715,298.0618335738145,300.0555256241132,301.82343099913123,303.8539055213878,306.1752855022205,308.6840155628379,311.2574450445936,313.78782553610654,316.18943346578453,318.39748820150635,320.3652028543256,322.0608826108146,323.4654749586989,324.57051749940365,325.3763370083834,325.8903774579958,326.12558499316947,326.098824023411,325.8293323259859,325.3372438975457,324.6422183545146,323.762217605763,322.712466742345,321.50462862425775
CAN,Female,IHD,diet,597.540711383619,0.0,36.70719199492305,0.0,0.30814986415498424,0.7538341366962413,1.4080648628769268,2.3389262104974478,3.5898774119996233,5.1590180803177645,6.995825558038632,9.018982547746418,11.141779246401711,13.290246033091535,15.409769346646499,17.46384562825915,19.429791070440842,21.294344142363116,23.05026748707678,24.694071180885658,26.224622514884686,27.642353349612677,28.948828115353535,30.14650677854297,31.238597893112455,32.22894119693228,33.12188899458488,33.922174397048366,34.63476565878227,35.26471188069263,35.816988027298066,36.296347774357855,36.70719199492305
CAN,Female,IHD,combo,9385.91639638456,30.80718579585664,357.49261742503586,30.80718579585664,124.58044131469433,198.96304616195994,255.90706552871052,285.25116148834786,297.5416623669007,303.101659853357,306.88843485860343,310.63271931351846,314.7382911857276,319.16120788627813,323.74444377166947,328.329515996611,332.78632650695,337.01601061057227,340.94654630986406,344.5275847801968,347.7261907307038,350.52361690673933,352.9128281619778,354.89646743853154,356.48503905986945,357.69517814365827,358.5479501347181,359.06717657509216,359.27781500506535,359.2044368747411,358.8698519217651,358.29392427684434,357.49261742503586
TUR,Male,IHD,glp1,41701.149867192275,101.67022063066543,1679.6798793199705,101.67022063066543,444.31681201384345,750.3602169009828,1009.7652361596847,1165.8950032392313,1248.6261673572153,1296.3391671266581,1329.8950090998696,1357.9465484237153,1383.6465980000503,1408.0433540700906,1431.4640805280505,1454.0224882267794,1475.7840836356045,1496.806587079016,1517.1389028223784,1536.8095766144397,1555.8155518673884,1574.1144623618457,1591.6209324348165,1608.2064208538213,1623.7019022254972,1637.9026908275264,1650.5748052589624,1661.4623808357283,1670.2957337957632,1676.7997579315997,1680.7023890429846,1681.7429085080948,1679.6798793199705
TUR,Male,IHD,diet,-301.01705202816083,0.0,-18.183443727422855,0.0,-0.18863480032450752,-0.45441776036750525,-0.8324006808106788,-1.3553050269110827,-2.040335213256185,-2.879271691694157,-3.839184768134146,-4.8739232014195295,-5.9380216174031375,-6.995432421390433,-8.021803161143907,-9.002874120356864,-9.931658812754904,-10.805829005563282,-11.625746920573874,-12.393130537791876,-13.110203653064673,-13.779181210382376,-14.401975798959029,-14.980047029661364,-15.514342568887514,-16.005297948708176,-16.45287410012679,-16.856619010097347,-17.215744548433577,-17.529212374298368,-17.79582457707147,-18.014315741151222,-18.183443727422855
