iso3,outcome,Not transmitted through a GLP-1 target,"Transmitted through a GLP-1 target, beyond what 50% coverage offsets","Transmitted through a GLP-1 target, offset by 50% coverage"
AUS,ICH,74.9,0.0,25.1
AUS,IHD,84.7,9.7,5.6
AUS,IschStroke,51.6,2.8,45.6
AUS,SAH,76.2,0.0,23.8
BGD,ICH,77.2,13.9,8.8
BGD,IHD,80.4,17.5,2.1
BGD,IschStroke,62.9,24.2,12.9
BGD,SAH,82.6,10.9,6.6
BGR,ICH,32.3,46.8,20.9
BGR,IHD,70.7,22.3,7.0
BGR,IschStroke,16.8,52.6,30.6
BGR,SAH,36.7,42.6,20.7
BRA,ICH,57.2,6.8,36.0
BRA,IHD,77.1,13.1,9.8
BRA,IschStroke,40.7,6.4,52.8
BRA,SAH,64.8,1.6,33.6
CAN,ICH,49.3,0.0,50.7
CAN,IHD,81.2,8.0,10.8
CAN,IschStroke,28.6,8.8,62.7
CAN,SAH,54.1,0.0,45.9
CHN,ICH,29.0,59.5,11.6
CHN,IHD,67.2,28.5,4.2
CHN,IschStroke,20.4,61.6,17.9
CHN,SAH,29.4,59.9,10.7
DEU,ICH,55.1,0.0,44.9
DEU,IHD,83.4,6.5,10.1
DEU,IschStroke,32.2,12.8,55.0
DEU,SAH,59.2,0.0,40.8
EGY,ICH,63.3,0.0,36.7
EGY,IHD,83.2,8.9,8.0
EGY,IschStroke,30.1,0.0,69.9
EGY,SAH,66.9,0.0,33.1
GBR,ICH,63.2,0.0,36.8
GBR,IHD,82.7,9.6,7.7
GBR,IschStroke,33.2,13.3,53.5
GBR,SAH,69.7,0.0,30.3
GLB,ICH,50.3,33.7,16.0
GLB,IHD,78.0,17.1,4.8
GLB,IschStroke,36.0,35.9,28.2
GLB,SAH,54.5,29.8,15.8
IND,ICH,70.3,21.6,8.1
IND,IHD,81.6,16.4,2.0
IND,IschStroke,59.5,28.1,12.5
IND,SAH,72.7,20.3,7.0
ISR,ICH,44.3,0.0,55.7
ISR,IHD,77.5,8.2,14.2
ISR,IschStroke,23.6,5.8,70.6
ISR,SAH,47.2,0.0,52.8
JPN,ICH,48.8,35.5,15.7
JPN,IHD,74.3,21.5,4.2
JPN,IschStroke,25.1,48.3,26.6
JPN,SAH,53.8,31.2,15.0
MEX,ICH,52.8,0.0,47.2
MEX,IHD,82.6,6.1,11.3
MEX,IschStroke,26.3,3.6,70.1
MEX,SAH,59.0,0.0,41.0
NGA,ICH,73.2,0.0,26.8
NGA,IHD,87.3,5.3,7.4
NGA,IschStroke,51.0,3.9,45.1
NGA,SAH,77.0,0.0,23.0
NZL,ICH,62.7,0.0,37.3
NZL,IHD,83.4,8.5,8.0
NZL,IschStroke,42.0,3.6,54.3
NZL,SAH,67.6,0.0,32.4
ROU,ICH,22.9,53.2,23.9
ROU,IHD,71.3,21.9,6.8
ROU,IschStroke,8.7,58.5,32.9
ROU,SAH,25.3,50.2,24.5
TUR,ICH,41.9,0.0,58.1
TUR,IHD,80.6,5.4,14.1
TUR,IschStroke,19.3,0.0,80.7
TUR,SAH,48.5,0.0,51.5
USA,ICH,56.7,0.0,43.3
USA,IHD,82.5,6.9,10.6
USA,IschStroke,33.8,13.0,53.2
USA,SAH,61.0,0.0,39.0
ZAF,ICH,84.7,0.0,15.3
ZAF,IHD,88.6,5.9,5.4
ZAF,IschStroke,65.6,3.0,31.3
ZAF,SAH,87.5,0.0,12.5
