iso3,factor,seg,deaths,total,pct
AUS,Fibre (low),Not transmitted through a GLP-1 target,1183.3759791456173,1183.3759791456173,100.0
AUS,Fruits (low),Not transmitted through a GLP-1 target,1123.4783072814846,1267.9082340499099,88.60880283842845
AUS,Fruits (low),"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",61.67324304001656,1267.9082340499099,4.864172452214618
AUS,Fruits (low),"Transmitted through a GLP-1 target, offset by 20% coverage",82.75668372840866,1267.9082340499099,6.527024709356926
AUS,Legumes (low),Not transmitted through a GLP-1 target,1419.8006658261795,1419.8006658261795,100.0
AUS,Nuts & seeds (low),Not transmitted through a GLP-1 target,1028.6088810504814,1279.3642799135341,80.4
AUS,Nuts & seeds (low),"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",228.18741296537797,1279.3642799135341,17.836000000000002
AUS,Nuts & seeds (low),"Transmitted through a GLP-1 target, offset by 20% coverage",22.567985897674742,1279.3642799135341,1.7640000000000002
AUS,Omega-6 PUFA (low),Not transmitted through a GLP-1 target,1626.1963532392049,1630.5437502729276,99.73337746791553
AUS,Omega-6 PUFA (low),"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",2.9656085800554637,1630.5437502729276,0.18187850399960548
AUS,Omega-6 PUFA (low),"Transmitted through a GLP-1 target, offset by 20% coverage",1.3817884536671394,1630.5437502729276,0.08474402808485511
AUS,Processed meat (high),Not transmitted through a GLP-1 target,508.8903435973749,561.8243229053015,90.57819728519497
AUS,Processed meat (high),"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",23.84904273066457,561.8243229053015,4.244928843118894
AUS,Processed meat (high),"Transmitted through a GLP-1 target, offset by 20% coverage",29.08493657726204,561.8243229053015,5.176873871686126
AUS,Red meat (high),Not transmitted through a GLP-1 target,1103.4930854514316,1103.4930854514316,100.0
AUS,SSB (high),Not transmitted through a GLP-1 target,294.4231178551123,321.8168171341673,91.48779746099024
AUS,SSB (high),"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",13.669455940248456,321.8168171341673,4.247589066965876
AUS,SSB (high),"Transmitted through a GLP-1 target, offset by 20% coverage",13.724243338806565,321.8168171341673,4.264613472043894
AUS,Seafood omega-3 (low),Not transmitted through a GLP-1 target,679.1544085963507,679.1544085963507,100.0
AUS,Sodium (high),Not transmitted through a GLP-1 target,0.0,629.1057992399277,0.0
AUS,Sodium (high),"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",0.0,629.1057992399277,0.0
AUS,Sodium (high),"Transmitted through a GLP-1 target, offset by 20% coverage",629.1057992399277,629.1057992399277,100.0
AUS,Trans fat (high),Not transmitted through a GLP-1 target,1432.8431575917969,1685.6978324609374,85.0
AUS,Trans fat (high),"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",230.09775413091796,1685.6978324609374,13.65
AUS,Trans fat (high),"Transmitted through a GLP-1 target, offset by 20% coverage",22.756920738222654,1685.6978324609374,1.3499999999999999
AUS,Vegetables (low),Not transmitted through a GLP-1 target,664.9113864846635,780.5527754540512,85.18468031810936
AUS,Vegetables (low),"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",28.999505858523992,780.5527754540512,3.7152524173211536
AUS,Vegetables (low),"Transmitted through a GLP-1 target, offset by 20% coverage",86.6418831108638,780.5527754540512,11.100067264569498
AUS,Whole grains (low),Not transmitted through a GLP-1 target,1773.7043756259825,2843.0708041210446,62.386922374743165
AUS,Whole grains (low),"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",955.9136452105304,2843.0708041210446,33.6225761182215
AUS,Whole grains (low),"Transmitted through a GLP-1 target, offset by 20% coverage",113.45278328453179,2843.0708041210446,3.990501507035331
BGD,Fibre (low),Not transmitted through a GLP-1 target,35565.952573834715,35565.952573834715,100.0
BGD,Fruits (low),Not transmitted through a GLP-1 target,29233.231435323894,32750.72471400302,89.25980017420753
BGD,Fruits (low),"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",2548.6438334289273,32750.72471400302,7.781946371217917
BGD,Fruits (low),"Transmitted through a GLP-1 target, offset by 20% coverage",968.8494452501976,32750.72471400302,2.958253454574557
BGD,Legumes (low),Not transmitted through a GLP-1 target,13741.499267297586,13741.499267297586,100.0
BGD,Nuts & seeds (low),Not transmitted through a GLP-1 target,25946.47139817844,32271.730594749304,80.4
BGD,Nuts & seeds (low),"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",6072.248828708029,32271.730594749304,18.816
BGD,Nuts & seeds (low),"Transmitted through a GLP-1 target, offset by 20% coverage",253.01036786283456,32271.730594749304,0.7840000000000001
BGD,Omega-6 PUFA (low),Not transmitted through a GLP-1 target,17383.94718277706,17430.131050242253,99.73503430736082
BGD,Omega-6 PUFA (low),"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",40.53550294977331,17430.131050242253,0.23255994365693494
BGD,Omega-6 PUFA (low),"Transmitted through a GLP-1 target, offset by 20% coverage",5.648364515418086,17430.131050242253,0.032405748982246366
BGD,Processed meat (high),Not transmitted through a GLP-1 target,853.6584218198652,952.674984829471,89.60646972090593
BGD,Processed meat (high),"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",34.1949139298425,952.674984829471,3.5893578055860673
BGD,Processed meat (high),"Transmitted through a GLP-1 target, offset by 20% coverage",64.82164907976322,952.674984829471,6.804172473507983
BGD,SSB (high),Not transmitted through a GLP-1 target,171.61974556421984,186.22927184758663,92.15508596558146
BGD,SSB (high),"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",5.069505620328272,186.22927184758663,2.7221851699432333
BGD,SSB (high),"Transmitted through a GLP-1 target, offset by 20% coverage",9.540020663038508,186.22927184758663,5.122728864475308
BGD,Seafood omega-3 (low),Not transmitted through a GLP-1 target,1316.367811230412,1316.367811230412,100.00000000000001
BGD,Sodium (high),Not transmitted through a GLP-1 target,0.0,16419.398136030235,0.0
BGD,Sodium (high),"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",8206.7598951622,16419.398136030235,49.98209938739187
BGD,Sodium (high),"Transmitted through a GLP-1 target, offset by 20% coverage",8212.638240868037,16419.398136030235,50.017900612608145
BGD,Trans fat (high),Not transmitted through a GLP-1 target,3.218604079373285e-11,3.786593034556806e-11,84.99999999999999
BGD,Trans fat (high),"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",5.452693969761801e-12,3.786593034556806e-11,14.4
BGD,Trans fat (high),"Transmitted through a GLP-1 target, offset by 20% coverage",2.2719558207340837e-13,3.786593034556806e-11,0.6
BGD,Vegetables (low),Not transmitted through a GLP-1 target,16543.299009042687,19292.439333601666,85.75016732191663
BGD,Vegetables (low),"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",1291.034005616826,19292.439333601666,6.691916886675034
BGD,Vegetables (low),"Transmitted through a GLP-1 target, offset by 20% coverage",1458.1063189421532,19292.439333601666,7.557915791408336
BGD,Whole grains (low),Not transmitted through a GLP-1 target,24354.20431757175,38691.58018935301,62.944455094324226
BGD,Whole grains (low),"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",13623.46160850369,38691.58018935301,35.210403766999775
BGD,Whole grains (low),"Transmitted through a GLP-1 target, offset by 20% coverage",713.914263277563,38691.58018935301,1.845141138675993
BGR,Fibre (low),Not transmitted through a GLP-1 target,1312.1288629716619,1312.1288629716619,99.99999999999999
BGR,Fruits (low),Not transmitted through a GLP-1 target,1801.7952311553736,2042.7047282822941,88.20634750625457
BGR,Fruits (low),"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",192.70936380887093,2042.7047282822941,9.434029360225734
BGR,Fruits (low),"Transmitted through a GLP-1 target, offset by 20% coverage",48.20013331804966,2042.7047282822941,2.3596231335196958
BGR,Legumes (low),Not transmitted through a GLP-1 target,1914.880062030156,1914.880062030156,100.0
BGR,Nuts & seeds (low),Not transmitted through a GLP-1 target,1896.6697749411123,2359.042008633224,80.4
BGR,Nuts & seeds (low),"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",408.27468235013487,2359.042008633224,17.306800000000003
BGR,Nuts & seeds (low),"Transmitted through a GLP-1 target, offset by 20% coverage",54.09755134197711,2359.042008633224,2.2932
BGR,Omega-6 PUFA (low),Not transmitted through a GLP-1 target,519.6398973143188,522.2255901839007,99.50487051607881
BGR,Omega-6 PUFA (low),"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",0.9195231048668205,522.2255901839007,0.1760777568450853
BGR,Omega-6 PUFA (low),"Transmitted through a GLP-1 target, offset by 20% coverage",1.6661697647151144,522.2255901839007,0.31905172707610435
BGR,Processed meat (high),Not transmitted through a GLP-1 target,514.9056341315401,658.6838021960363,78.17189862796941
BGR,Processed meat (high),"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",78.43463919603563,658.6838021960363,11.907783208655868
BGR,Processed meat (high),"Transmitted through a GLP-1 target, offset by 20% coverage",65.34352886846055,658.6838021960363,9.920318163374713
BGR,Red meat (high),Not transmitted through a GLP-1 target,536.0220772925318,536.0220772925318,100.0
BGR,SSB (high),Not transmitted through a GLP-1 target,339.88692178018584,428.3057221810685,79.35614776505294
BGR,SSB (high),"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",50.04504102689959,428.3057221810685,11.684420364980037
BGR,SSB (high),"Transmitted through a GLP-1 target, offset by 20% coverage",38.37375937398308,428.3057221810685,8.959431869967025
BGR,Seafood omega-3 (low),Not transmitted through a GLP-1 target,2030.076214042623,2030.076214042623,100.0
BGR,Sodium (high),Not transmitted through a GLP-1 target,0.0,6937.234253819556,0.0
BGR,Sodium (high),"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",5613.021289904894,6937.234253819556,80.91151436632593
BGR,Sodium (high),"Transmitted through a GLP-1 target, offset by 20% coverage",1324.2129639146626,6937.234253819556,19.08848563367407
BGR,Trans fat (high),Not transmitted through a GLP-1 target,4.210003305597381e-12,4.952945065408684e-12,85.0
BGR,Trans fat (high),"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",6.560175739133802e-13,4.952945065408684e-12,13.245
BGR,Trans fat (high),"Transmitted through a GLP-1 target, offset by 20% coverage",8.692418589792241e-14,4.952945065408684e-12,1.755
BGR,Vegetables (low),Not transmitted through a GLP-1 target,672.9063210660585,795.2611939512499,84.61450479215866
BGR,Vegetables (low),"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",55.61247020499706,795.2611939512499,6.99298175592938
BGR,Vegetables (low),"Transmitted through a GLP-1 target, offset by 20% coverage",66.74240268019433,795.2611939512499,8.392513451911963
BGR,Whole grains (low),Not transmitted through a GLP-1 target,1261.0759163443815,1962.0061407983387,64.27482004879204
BGR,Whole grains (low),"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",582.867081141153,1962.0061407983387,29.70770931960411
BGR,Whole grains (low),"Transmitted through a GLP-1 target, offset by 20% coverage",118.06314331280426,1962.0061407983387,6.0174706316038575
BRA,Fibre (low),Not transmitted through a GLP-1 target,6885.5353823785035,6885.5353823785035,99.99999999999999
BRA,Fruits (low),Not transmitted through a GLP-1 target,9011.709938374259,9953.097403273907,90.54176376702598
BRA,Fruits (low),"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",627.8028551500443,9953.097403273907,6.307612893887072
BRA,Fruits (low),"Transmitted through a GLP-1 target, offset by 20% coverage",313.5846097496043,9953.097403273907,3.150623339086944
BRA,Legumes (low),Not transmitted through a GLP-1 target,5677.820356166964,5677.820356166964,100.0
BRA,Nuts & seeds (low),Not transmitted through a GLP-1 target,14272.313700857438,17751.633956290345,80.4
BRA,Nuts & seeds (low),"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",3173.1400729548122,17751.633956290345,17.875200000000003
BRA,Nuts & seeds (low),"Transmitted through a GLP-1 target, offset by 20% coverage",306.1801824780959,17751.633956290345,1.7248
BRA,Omega-6 PUFA (low),Not transmitted through a GLP-1 target,324.8931503088442,327.4664461160145,99.21418031139025
BRA,Omega-6 PUFA (low),"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",0.6264702161495809,327.4664461160145,0.19130821602639422
BRA,Omega-6 PUFA (low),"Transmitted through a GLP-1 target, offset by 20% coverage",1.9468255910206693,327.4664461160145,0.5945114725833467
BRA,Processed meat (high),Not transmitted through a GLP-1 target,1149.6622447956463,1456.7663290473886,78.91878209097787
BRA,Processed meat (high),"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",157.6658998477909,1456.7663290473886,10.82300549539006
BRA,Processed meat (high),"Transmitted through a GLP-1 target, offset by 20% coverage",149.43818440395128,1456.7663290473886,10.25821241363206
BRA,Red meat (high),Not transmitted through a GLP-1 target,8944.614593565326,8944.614593565326,100.0
BRA,SSB (high),Not transmitted through a GLP-1 target,2514.4216749567245,2931.2853465097583,85.77880955706384
BRA,SSB (high),"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",221.7714732662139,2931.2853465097583,7.565673315642033
BRA,SSB (high),"Transmitted through a GLP-1 target, offset by 20% coverage",195.09219828681975,2931.2853465097583,6.655517127294121
BRA,Seafood omega-3 (low),Not transmitted through a GLP-1 target,10206.532472544812,10206.532472544812,100.0
BRA,Sodium (high),Not transmitted through a GLP-1 target,0.0,17521.470335511836,0.0
BRA,Sodium (high),"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",8912.837333244099,17521.470335511836,50.86809019206514
BRA,Sodium (high),"Transmitted through a GLP-1 target, offset by 20% coverage",8608.633002267738,17521.470335511836,49.13190980793486
BRA,Trans fat (high),Not transmitted through a GLP-1 target,2.8244796081577208e-11,3.322917186067907e-11,85.0
BRA,Trans fat (high),"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",4.5457507105408975e-12,3.322917186067907e-11,13.680000000000001
