outcome,iso3,edu,paf,pop_share,w_paf,attr_share,total_attr,attr_deaths_k
IHD,AUS,1,65.81,0.03520923289298384,2.3171196166872665,0.03587973546044403,14525.0,0.5
IHD,AUS,2,66.06,0.3740188446042473,24.707684874556577,0.3825893107782328,14525.0,5.6
IHD,AUS,3,63.57,0.5907719225027689,37.55537111350102,0.5815309537613234,14525.0,8.4
IHD,BGD,1,77.67,0.6702253224348086,52.056400793511585,0.6743850607892828,174343.0,117.6
IHD,BGD,2,76.59,0.2748965390808981,21.054325928205987,0.27275652282015483,174343.0,47.6
IHD,BGD,3,74.35,0.054878138484293286,4.080189596307205,0.05285841639056232,174343.0,9.2
IHD,BGR,1,70.36,0.05023200682287978,3.5343240000578215,0.051838151935929104,16728.0,0.9
IHD,BGR,2,69.23,0.515734543719915,35.70430246172972,0.5236772451385987,16728.0,8.8
IHD,BGR,3,66.68,0.43403344945720523,28.941350409806446,0.4244846029254721,16728.0,7.1
IHD,BRA,1,64.38,0.35856781145169253,23.084595701259964,0.37485986754513373,87602.0,32.8
IHD,BRA,2,62.11,0.4072236856410451,25.29266311516531,0.4107156333995085,87602.0,36.0
IHD,BRA,3,56.38,0.2342085029072623,13.20467539391145,0.21442449905535774,87602.0,18.8
IHD,CAN,1,60.42,0.03171076504724987,1.9159644241548373,0.03287586500056299,22655.0,0.7
IHD,CAN,2,60.4,0.19104345907787335,11.539024928303549,0.19799711361988273,22655.0,4.5
IHD,CAN,3,57.67,0.7772457758748768,44.82376389470414,0.7691270213795544,22655.0,17.4
IHD,CHN,1,65.82,0.22506277681848286,14.81363197019254,0.23035214223659276,1156848.0,266.5
IHD,CHN,2,64.55,0.5202540606493855,33.58239961491783,0.5222066882927364,1156848.0,604.1
IHD,CHN,3,62.48,0.2546831625321316,15.912603995007581,0.24744116947067088,1156848.0,286.3
IHD,DEU,1,65.15,0.022485420200283462,1.4649251260484677,0.023024616514467258,93535.0,2.2
IHD,DEU,2,65.04,0.4483456864704105,29.160403448035503,0.4583217905540603,93535.0,42.9
IHD,DEU,3,62.36,0.5291688933293061,32.99897218801553,0.5186535929314725,93535.0,48.5
IHD,EGY,1,56.42,0.3448129357569721,19.454345835408365,0.3504857473935414,114773.0,40.2
IHD,EGY,2,55.64,0.2993074576693227,16.653466944721117,0.3000256527870908,114773.0,34.4
IHD,EGY,3,54.51,0.3558796065737052,19.39899735433267,0.34948859981936775,114773.0,40.1
IHD,GBR,1,65.93,0.00020881024562271856,0.013766859493905836,0.00021200279692155035,60338.0,0.0
IHD,GBR,2,66.27,0.4602085008971107,30.498017354451523,0.46965431604556257,60338.0,28.3
IHD,GBR,3,63.8,0.5395826888572666,34.42537554909361,0.5301336811575159,60338.0,32.0
IHD,IND,1,65.15,0.542316165624459,35.331898190433506,0.5500682172090907,1199374.0,659.7
IHD,IND,2,63.98,0.32970330560679956,21.094417492723036,0.32841056432196314,1199374.0,393.9
IHD,IND,3,60.99,0.12798052876874158,7.80553244960555,0.12152121846894609,1199374.0,145.7
IHD,ISR,1,57.69,0.11721662294629297,6.762226977771641,0.12041799118099454,1781.0,0.2
IHD,ISR,2,57.12,0.24270329973767776,13.863212481016154,0.2468684064830619,1781.0,0.4
IHD,ISR,3,55.51,0.6400800773160293,35.530845091812786,0.6327136023359435,1781.0,1.1
IHD,JPN,1,71.02,0.021786613769585666,1.5472853099159738,0.022254379809586604,87883.0,2.0
IHD,JPN,2,70.18,0.5739519022889875,40.27994450264115,0.5793405895642646,87883.0,50.9
IHD,JPN,3,68.52,0.4042614839414269,27.69999687966657,0.3984050306261488,87883.0,35.0
IHD,MEX,1,60.15,0.28686708453534915,17.25505513480125,0.30178461864499606,73686.0,22.2
IHD,MEX,2,57.98,0.39977468782682546,23.17893640019934,0.4053911405952368,73686.0,29.9
IHD,MEX,3,53.43,0.3133582276378253,16.742730102689006,0.29282424075976715,73686.0,21.6
IHD,NGA,1,56.15,0.547992195367573,30.769761769889225,0.5670651661864067,44281.0,25.1
IHD,NGA,2,53.35,0.30542967438737834,16.294673128566636,0.300299417158506,44281.0,13.3
IHD,NGA,3,49.1,0.14657813024504868,7.19698619503189,0.13263541665508727,44281.0,5.9
IHD,NZL,1,63.45,0.06455032805248839,4.095718314930389,0.06599554447484939,3651.0,0.2
IHD,NZL,2,63.7,0.2988478156505041,19.03660585693711,0.30674257160261376,3651.0,1.1
IHD,NZL,3,61.15,0.6366018562970075,38.92820351256201,0.6272618839225368,3651.0,2.3
IHD,ROU,1,68.04,0.07286972118969594,4.958055829746912,0.07532012069004487,40322.0,3.0
IHD,ROU,2,66.78,0.5428029939815782,36.24838393808979,0.5506659760980089,40322.0,22.2
IHD,ROU,3,64.06,0.384327284828726,24.62000586612819,0.37401390321194633,40322.0,15.1
IHD,TUR,1,50.53,0.3613477947065047,18.258904066519683,0.3665994031245243,37833.0,13.9
IHD,TUR,2,49.81,0.43076040853049646,21.45617594890403,0.4307937249435524,37833.0,16.3
IHD,TUR,3,48.54,0.2078917967629989,10.091067814875966,0.2026068719319233,37833.0,7.7
IHD,USA,1,63.35,0.0344560973406471,2.182793766529994,0.035175959360548355,249771.0,8.8
IHD,USA,2,63.67,0.40421292137368947,25.736236703862808,0.41474225841669377,249771.0,103.6
IHD,USA,3,60.81,0.5613309812856633,34.134536971981184,0.5500817822227578,249771.0,137.4
IHD,ZAF,1,68.22,0.25407134492902633,17.332747151058175,0.2585929366965229,20508.0,5.3
IHD,ZAF,2,67.18,0.5879416216833747,39.497918144689116,0.5892823888456985,20508.0,12.1
IHD,ZAF,3,64.54,0.1579870333875989,10.196483134835633,0.1521246744577786,20508.0,3.1
IschStroke,AUS,1,19.23,0.03520923289298384,0.6770735485320792,0.03679800947227813,478.0,0.0
IschStroke,AUS,2,19.49,0.3740188446042473,7.289627281336779,0.39618114506108,478.0,0.2
IschStroke,AUS,3,17.66,0.5907719225027689,10.4330321513989,0.5670208454666419,478.0,0.3
IschStroke,BGD,1,37.96,0.6702253224348086,25.441753239625335,0.6941594918992748,11652.0,8.1
IschStroke,BGD,2,34.72,0.2748965390808981,9.544407836888782,0.26041213559980825,11652.0,3.0
IschStroke,BGD,3,30.34,0.054878138484293286,1.6650027216134582,0.04542837250091686,11652.0,0.5
IschStroke,BGR,1,27.84,0.05023200682287978,1.3984590699489732,0.05734209027140086,3601.0,0.2
IschStroke,BGR,2,25.91,0.515734543719915,13.362682027782999,0.547920304262546,3601.0,2.0
IschStroke,BGR,3,22.18,0.43403344945720523,9.626861908960812,0.3947376054660531,3601.0,1.4
IschStroke,BRA,1,21.14,0.35856781145169253,7.580123534088781,0.41246787930844975,9904.0,4.1
IschStroke,BRA,2,18.71,0.4072236856410451,7.619155158343954,0.4145917617504832,9904.0,4.1
IschStroke,BRA,3,13.57,0.2342085029072623,3.1782093844515495,0.17294035894106713,9904.0,1.7
IschStroke,CAN,1,17.09,0.03171076504724987,0.5419369746575003,0.03444504600983741,1020.0,0.0
IschStroke,CAN,2,17.19,0.19104345907787335,3.284037061548643,0.20873055903695148,1020.0,0.2
IschStroke,CAN,3,15.32,0.7772457758748768,11.907405286403112,0.7568243949532111,1020.0,0.8
IschStroke,CHN,1,26.87,0.22506277681848286,6.047436813112634,0.2335865661730944,166522.0,38.9
IschStroke,CHN,2,26.17,0.5202540606493855,13.61504876719442,0.5258909829222772,166522.0,87.6
IschStroke,CHN,3,24.45,0.2546831625321316,6.227003323910617,0.24052245090462843,166522.0,40.1
IschStroke,DEU,1,17.17,0.022485420200283462,0.3860746648388671,0.0236781445094622,4631.0,0.1
IschStroke,DEU,2,17.33,0.4483456864704105,7.769830746532214,0.4765274491845679,4631.0,2.2
IschStroke,DEU,3,15.4,0.5291688933293061,8.149200957271313,0.49979440630596983,4631.0,2.3
IschStroke,EGY,1,8.57,0.3448129357569721,2.955046859437251,0.36881009459320585,3013.0,1.1
IschStroke,EGY,2,8.11,0.2993074576693227,2.427383481698207,0.30295408976004806,3013.0,0.9
IschStroke,EGY,3,7.39,0.3558796065737052,2.6299502925796814,0.32823581564674614,3013.0,1.0
IschStroke,GBR,1,16.78,0.00020881024562271856,0.003503835921549218,0.00022052551109554355,2534.0,0.0
IschStroke,GBR,2,16.93,0.4602085008971107,7.791329920188084,0.4903731371084817,2534.0,1.2
IschStroke,GBR,3,15.0,0.5395826888572666,8.093740332859,0.5094063373804228,2534.0,1.3
IschStroke,IND,1,27.72,0.542316165624459,15.033004111110001,0.5870153144097807,78318.0,46.0
IschStroke,IND,2,24.4,0.32970330560679956,8.04476065680591,0.31413532993158105,78318.0,24.6
IschStroke,IND,3,19.78,0.12798052876874158,2.5314548590457084,0.09884935565863825,78318.0,7.7
IschStroke,ISR,1,12.31,0.11721662294629297,1.4429366284688665,0.1275237088389052,108.0,0.0
IschStroke,ISR,2,11.85,0.24270329973767776,2.8760341018914812,0.2541778538185365,108.0,0.0
IschStroke,ISR,3,10.93,0.6400800773160293,6.9960752450642,0.6182984373425581,108.0,0.1
IschStroke,JPN,1,27.05,0.021786613769585666,0.5893279024672923,0.023872074364325653,12354.0,0.3
IschStroke,JPN,2,25.56,0.5739519022889875,14.67021062250652,0.5942504290983106,12354.0,7.3
IschStroke,JPN,3,23.32,0.4042614839414269,9.427377805514075,0.38187749653736364,12354.0,4.7
IschStroke,MEX,1,13.64,0.28686708453534915,3.9128670330621627,0.35485892601038493,1754.0,0.6
IschStroke,MEX,2,11.5,0.39977468782682546,4.597408910008493,0.4169402063630692,1754.0,0.7
IschStroke,MEX,3,8.03,0.3133582276378253,2.5162665679317366,0.22820086762654576,1754.0,0.4
IschStroke,NGA,1,14.17,0.547992195367573,7.76504940835851,0.6032887721199724,3959.0,2.4
IschStroke,NGA,2,12.13,0.30542967438737834,3.7048619503188993,0.2878412614446434,3959.0,1.1
IschStroke,NGA,3,9.56,0.14657813024504868,1.4012869251426654,0.10886996643538413,3959.0,0.4
IschStroke,NZL,1,17.2,0.06455032805248839,1.1102656425028004,0.06880354358504612,145.0,0.0
IschStroke,NZL,2,17.37,0.2988478156505041,5.190986557849257,0.3216872216970084,145.0,0.0
IschStroke,NZL,3,15.45,0.6366018562970075,9.835498679788765,0.6095092347179454,145.0,0.1
IschStroke,ROU,1,23.85,0.07286972118969594,1.7379428503742482,0.08549136818199991,6093.0,0.5
IschStroke,ROU,2,21.76,0.5428029939815782,11.81139314903914,0.5810157452699969,6093.0,3.5
IschStroke,ROU,3,17.64,0.384327284828726,6.779533304378727,0.3334928865480031,6093.0,2.0
IschStroke,TUR,1,8.03,0.3613477947065047,2.9016227914932324,0.38356646223831337,2064.0,0.8
IschStroke,TUR,2,7.51,0.43076040853049646,3.2350106680640285,0.42763711426941214,2064.0,0.9
IschStroke,TUR,3,6.87,0.2078917967629989,1.4282166437618025,0.18879642349227452,2064.0,0.4
