iso3,outcome,glp1_channel,conv_wt,deaths,deaths_lo,deaths_hi
USA,IschStroke,完全汇流-结构可及,1.0,2.00655690402134,0.21294310384340556,6.524291288813909
USA,IschStroke,纯直接效应-结构不可及,0.0,0.2778524967707677,-0.6099880992408523,1.5787365821489008
USA,IschStroke,部分汇流-结构小部可及,0.1706666666666666,1.1534575916281906,-1.2323970479745505,3.7032333120911
USA,SAH,基本不汇流-结构近乎不可及,0.0299999999999999,0.3628630021814011,-0.02496370020292732,0.7700954806831948
USA,SAH,完全汇流-结构可及,1.0,0.263618055823038,0.000535526010937053,0.9466920925753923
USA,SAH,纯直接效应-结构不可及,0.0,-0.501463535668215,-2.781619117964164,1.1896619485149147
USA,T2D,完全汇流-结构可及,1.0,10.99531597716084,2.91895667855805,20.588036781796706
USA,T2D,纯直接效应-结构不可及,0.0,0.1638535847512824,0.05687795820997758,0.3151884114443579
ZAF,CKD,完全汇流-结构可及,1.0,19.35403959705512,7.38587845847758,39.08794483854123
ZAF,ICH,基本不汇流-结构近乎不可及,0.024,7.559714185364766,-0.45728869609678213,15.8437140192917
ZAF,ICH,完全汇流-结构可及,1.0,1.491301283804736,-0.0002593587920161699,8.533684361708936
ZAF,ICH,纯直接效应-结构不可及,0.0,-3.920402218448333,-19.435577730637657,9.55251609103747
ZAF,ICH,部分汇流-结构小部可及,0.119,3.008042987534801,-0.2518031821585052,8.107637864475363
ZAF,IHD,基本不汇流-结构近乎不可及,0.006,4.769953889018926,-7.694311283289484,20.10900289468491
ZAF,IHD,完全汇流-结构可及,1.0,1.984851197819833,-8.858824719880654e-05,10.954034956759237
ZAF,IHD,纯直接效应-结构不可及,0.0,30.71566886668109,-6.19047127908592,72.12170890118091
ZAF,IHD,部分汇流-结构小部可及,0.2012,40.31835564462254,11.059788838483305,72.3828277465941
ZAF,IschStroke,完全汇流-结构可及,1.0,1.8206287584796093,0.12000999256905082,8.922944513732851
ZAF,IschStroke,纯直接效应-结构不可及,0.0,-0.0591165333428838,-1.7109926281686878,2.2714882466325577
ZAF,IschStroke,部分汇流-结构小部可及,0.1706666666666666,5.827335022022565,-0.9116492766394788,13.64069239585613
ZAF,SAH,基本不汇流-结构近乎不可及,0.0299999999999999,0.4332233062080638,-0.029555873463406015,1.0575376000720111
ZAF,SAH,完全汇流-结构可及,1.0,0.0574103391601244,-2.3103741724739363e-05,0.3369683173377033
ZAF,SAH,纯直接效应-结构不可及,0.0,-0.1716323211366223,-0.8948141358836185,0.4148130884860292
ZAF,T2D,完全汇流-结构可及,1.0,35.31716092917621,3.8870501805674587,80.67884255648002
ZAF,T2D,纯直接效应-结构不可及,0.0,0.7536052764887422,0.19442482491843163,1.6512375140541837
