iso3,outcome,averted_10yr,gdd_var
NZL,IschStroke,2605.572023187523,v09
ROU,CKD,2579.354109348711,v09
ROU,IHD,41383.2683898204,v09
ROU,IschStroke,27876.214473035485,v09
TUR,CKD,21494.840763205564,v09
TUR,IHD,146612.63872757286,v09
TUR,IschStroke,41905.16904581223,v09
USA,CKD,119994.59485405564,v09
USA,IHD,587702.7500943696,v09
USA,IschStroke,164737.8959654135,v09
ZAF,CKD,10684.095214057399,v09
ZAF,IHD,29436.083827313512,v09
ZAF,IschStroke,32077.97875858655,v09
AUS,CKD,5619.576308377827,v10
AUS,IHD,29111.627779367394,v10
AUS,IschStroke,11528.383558740892,v10
BGD,CKD,14800.557168730687,v10
BGD,IHD,172418.8300401296,v10
BGD,IschStroke,72209.14902465812,v10
BGR,CKD,1269.3826493965528,v10
BGR,IHD,17310.29208769921,v10
BGR,IschStroke,14169.276093290748,v10
BRA,CKD,41852.46386713412,v10
BRA,IHD,226048.56896098232,v10
BRA,IschStroke,120423.87043440834,v10
CAN,CKD,9150.885396180647,v10
CAN,IHD,44905.727832798264,v10
CAN,IschStroke,18065.741900306966,v10
CHN,CKD,119017.16091370909,v10
CHN,IHD,1949999.8460324812,v10
CHN,IschStroke,1647530.3630949296,v10
DEU,CKD,30423.50556817512,v10
DEU,IHD,167555.66855276717,v10
DEU,IschStroke,59302.15490523466,v10
EGY,CKD,36055.35133518658,v10
EGY,IHD,202923.45870282926,v10
EGY,IschStroke,52798.37081741472,v10
GBR,CKD,10038.843456201655,v10
GBR,IHD,90150.16960339068,v10
GBR,IschStroke,32833.634242942935,v10
GLB,CKD,1154476.1837159696,v10
GLB,IHD,9509604.161323933,v10
GLB,IschStroke,5259655.907925993,v10
IND,CKD,76507.87606015001,v10
IND,IHD,1713027.48582948,v10
IND,IschStroke,692779.2240965704,v10
ISR,CKD,2990.5634207841836,v10
ISR,IHD,6542.404429112774,v10
ISR,IschStroke,2730.351738586258,v10
JPN,CKD,23552.877528271012,v10
JPN,IHD,112813.7050273233,v10
JPN,IschStroke,93755.4531667528,v10
MEX,CKD,50509.76173209039,v10
MEX,IHD,157452.6747916101,v10
MEX,IschStroke,36785.947456840746,v10
NGA,CKD,26592.881179675045,v10
NGA,IHD,80300.25035252441,v10
NGA,IschStroke,71911.95505420139,v10
NZL,CKD,1039.7395218121937,v10
NZL,IHD,8559.940208661134,v10
NZL,IschStroke,2605.572023187523,v10
ROU,CKD,2579.354109348711,v10
ROU,IHD,41383.2683898204,v10
ROU,IschStroke,27876.214473035485,v10
TUR,CKD,21494.840763205564,v10
TUR,IHD,146612.63872757286,v10
TUR,IschStroke,41905.16904581223,v10
USA,CKD,119994.59485405564,v10
USA,IHD,587702.7500943696,v10
USA,IschStroke,164737.8959654135,v10
ZAF,CKD,10684.095214057399,v10
ZAF,IHD,29436.083827313512,v10
ZAF,IschStroke,32077.97875858655,v10
AUS,CKD,5619.576308377827,v15
