iso3,yr,cum_averted,gdd_var,factor
ZAF,7,745.8,v02,Vegetables
AUS,8,131.9,v02,Vegetables
BGD,8,4545.8,v02,Vegetables
BGR,8,152.8,v02,Vegetables
BRA,8,2342.2,v02,Vegetables
CAN,8,175.0,v02,Vegetables
CHN,8,-393.0,v02,Vegetables
DEU,8,623.7,v02,Vegetables
EGY,8,134.6,v02,Vegetables
GBR,8,417.6,v02,Vegetables
GLB,8,28969.1,v02,Vegetables
IND,8,10724.4,v02,Vegetables
ISR,8,5.2,v02,Vegetables
JPN,8,372.9,v02,Vegetables
MEX,8,635.6,v02,Vegetables
NGA,8,1147.5,v02,Vegetables
NZL,8,33.9,v02,Vegetables
ROU,8,46.4,v02,Vegetables
TUR,8,-36.4,v02,Vegetables
USA,8,1348.8,v02,Vegetables
ZAF,8,1112.5,v02,Vegetables
AUS,9,187.6,v02,Vegetables
BGD,9,6426.5,v02,Vegetables
BGR,9,210.2,v02,Vegetables
BRA,9,3365.8,v02,Vegetables
CAN,9,250.6,v02,Vegetables
CHN,9,-563.2,v02,Vegetables
DEU,9,872.7,v02,Vegetables
EGY,9,188.5,v02,Vegetables
GBR,9,586.3,v02,Vegetables
GLB,9,41280.9,v02,Vegetables
IND,9,15151.1,v02,Vegetables
ISR,9,7.5,v02,Vegetables
JPN,9,522.1,v02,Vegetables
MEX,9,916.6,v02,Vegetables
NGA,9,1654.4,v02,Vegetables
NZL,9,48.0,v02,Vegetables
ROU,9,63.3,v02,Vegetables
TUR,9,-51.1,v02,Vegetables
USA,9,1927.4,v02,Vegetables
ZAF,9,1576.2,v02,Vegetables
AUS,10,255.2,v02,Vegetables
BGD,10,8699.9,v02,Vegetables
BGR,10,276.6,v02,Vegetables
BRA,10,4627.7,v02,Vegetables
CAN,10,343.4,v02,Vegetables
CHN,10,-772.3,v02,Vegetables
DEU,10,1169.7,v02,Vegetables
EGY,10,253.2,v02,Vegetables
GBR,10,788.0,v02,Vegetables
GLB,10,56304.6,v02,Vegetables
IND,10,20486.2,v02,Vegetables
ISR,10,10.3,v02,Vegetables
JPN,10,699.6,v02,Vegetables
MEX,10,1264.2,v02,Vegetables
NGA,10,2284.1,v02,Vegetables
NZL,10,64.9,v02,Vegetables
ROU,10,82.7,v02,Vegetables
TUR,10,-68.8,v02,Vegetables
USA,10,2636.1,v02,Vegetables
ZAF,10,2138.1,v02,Vegetables
AUS,11,334.6,v02,Vegetables
BGD,11,11355.7,v02,Vegetables
BGR,11,350.5,v02,Vegetables
BRA,11,6130.3,v02,Vegetables
CAN,11,453.6,v02,Vegetables
CHN,11,-1020.2,v02,Vegetables
DEU,11,1512.6,v02,Vegetables
EGY,11,328.1,v02,Vegetables
GBR,11,1021.2,v02,Vegetables
GLB,11,74019.9,v02,Vegetables
IND,11,26701.9,v02,Vegetables
ISR,11,13.6,v02,Vegetables
JPN,11,903.6,v02,Vegetables
MEX,11,1679.6,v02,Vegetables
NGA,11,3040.9,v02,Vegetables
NZL,11,84.7,v02,Vegetables
ROU,11,104.4,v02,Vegetables
TUR,11,-89.4,v02,Vegetables
USA,11,3474.0,v02,Vegetables
ZAF,11,2796.1,v02,Vegetables
AUS,12,425.3,v02,Vegetables
BGD,12,14375.2,v02,Vegetables
BGR,12,430.6,v02,Vegetables
BRA,12,7870.2,v02,Vegetables
CAN,12,580.7,v02,Vegetables
CHN,12,-1305.8,v02,Vegetables
DEU,12,1898.8,v02,Vegetables
EGY,12,412.8,v02,Vegetables
GBR,12,1283.5,v02,Vegetables
GLB,12,94342.6,v02,Vegetables
IND,12,33753.3,v02,Vegetables
ISR,12,17.4,v02,Vegetables
JPN,12,1131.6,v02,Vegetables
MEX,12,2162.3,v02,Vegetables
NGA,12,3926.2,v02,Vegetables
NZL,12,107.2,v02,Vegetables
ROU,12,128.0,v02,Vegetables
TUR,12,-112.8,v02,Vegetables
USA,12,4437.1,v02,Vegetables
ZAF,12,3546.0,v02,Vegetables
AUS,13,526.5,v02,Vegetables
BGD,13,17735.7,v02,Vegetables
BGR,13,515.6,v02,Vegetables
BRA,13,9840.0,v02,Vegetables
CAN,13,724.0,v02,Vegetables
CHN,13,-1627.4,v02,Vegetables
DEU,13,2325.2,v02,Vegetables
EGY,13,506.6,v02,Vegetables
GBR,13,1572.4,v02,Vegetables
GLB,13,117152.2,v02,Vegetables
IND,13,41588.4,v02,Vegetables
ISR,13,21.7,v02,Vegetables
JPN,13,1381.1,v02,Vegetables
MEX,13,2711.2,v02,Vegetables
NGA,13,4939.8,v02,Vegetables
NZL,13,132.2,v02,Vegetables
ROU,13,153.2,v02,Vegetables
TUR,13,-138.8,v02,Vegetables
USA,13,5519.0,v02,Vegetables
ZAF,13,4382.3,v02,Vegetables
AUS,14,637.6,v02,Vegetables
BGD,14,21413.7,v02,Vegetables
BGR,14,604.4,v02,Vegetables
BRA,14,12030.3,v02,Vegetables
CAN,14,882.7,v02,Vegetables
CHN,14,-1983.1,v02,Vegetables
DEU,14,2788.7,v02,Vegetables
EGY,14,608.8,v02,Vegetables
GBR,14,1885.5,v02,Vegetables
GLB,14,142310.4,v02,Vegetables
IND,14,50154.8,v02,Vegetables
ISR,14,26.4,v02,Vegetables
JPN,14,1649.4,v02,Vegetables
MEX,14,3324.3,v02,Vegetables
NGA,14,6080.8,v02,Vegetables
NZL,14,159.4,v02,Vegetables
ROU,14,179.8,v02,Vegetables
TUR,14,-167.3,v02,Vegetables
USA,14,6711.8,v02,Vegetables
ZAF,14,5299.4,v02,Vegetables
AUS,15,757.8,v02,Vegetables
BGD,15,25386.5,v02,Vegetables
BGR,15,696.0,v02,Vegetables
BRA,15,14430.5,v02,Vegetables
CAN,15,1055.9,v02,Vegetables
CHN,15,-2370.7,v02,Vegetables
DEU,15,3286.3,v02,Vegetables
EGY,15,718.9,v02,Vegetables
GBR,15,2220.4,v02,Vegetables
GLB,15,169673.9,v02,Vegetables
IND,15,59403.1,v02,Vegetables
ISR,15,31.6,v02,Vegetables
JPN,15,1933.9,v02,Vegetables
MEX,15,3999.6,v02,Vegetables
NGA,15,7347.3,v02,Vegetables
NZL,15,188.8,v02,Vegetables
ROU,15,207.3,v02,Vegetables
TUR,15,-198.1,v02,Vegetables
USA,15,8007.3,v02,Vegetables
ZAF,15,6291.9,v02,Vegetables
AUS,16,886.4,v02,Vegetables
BGD,16,29633.2,v02,Vegetables
BGR,16,789.7,v02,Vegetables
BRA,16,17029.8,v02,Vegetables
CAN,16,1242.6,v02,Vegetables
CHN,16,-2788.1,v02,Vegetables
DEU,16,3815.1,v02,Vegetables
EGY,16,836.3,v02,Vegetables
GBR,16,2575.1,v02,Vegetables
GLB,16,199101.8,v02,Vegetables
IND,16,69288.5,v02,Vegetables
ISR,16,37.2,v02,Vegetables
JPN,16,2232.6,v02,Vegetables
MEX,16,4734.7,v02,Vegetables
NGA,16,8737.7,v02,Vegetables
NZL,16,220.0,v02,Vegetables
ROU,16,235.8,v02,Vegetables
TUR,16,-231.2,v02,Vegetables
USA,16,9396.7,v02,Vegetables
ZAF,16,7354.8,v02,Vegetables
AUS,17,1022.8,v02,Vegetables
BGD,17,34135.1,v02,Vegetables
BGR,17,885.0,v02,Vegetables
BRA,17,19817.0,v02,Vegetables
CAN,17,1442.0,v02,Vegetables
CHN,17,-3233.0,v02,Vegetables
DEU,17,4372.2,v02,Vegetables
EGY,17,960.6,v02,Vegetables
GBR,17,2947.8,v02,Vegetables
GLB,17,230458.6,v02,Vegetables
IND,17,79770.7,v02,Vegetables
ISR,17,43.1,v02,Vegetables
JPN,17,2543.5,v02,Vegetables
MEX,17,5527.6,v02,Vegetables
NGA,17,10249.6,v02,Vegetables
NZL,17,253.1,v02,Vegetables
ROU,17,264.9,v02,Vegetables
TUR,17,-266.2,v02,Vegetables
USA,17,10871.7,v02,Vegetables
ZAF,17,8483.5,v02,Vegetables
AUS,18,1166.3,v02,Vegetables
BGD,18,38875.5,v02,Vegetables
BGR,18,981.2,v02,Vegetables
BRA,18,22781.6,v02,Vegetables
CAN,18,1652.9,v02,Vegetables
CHN,18,-3703.5,v02,Vegetables
DEU,18,4954.9,v02,Vegetables
EGY,18,1091.4,v02,Vegetables
GBR,18,3336.7,v02,Vegetables
GLB,18,263616.2,v02,Vegetables
IND,18,90814.1,v02,Vegetables
ISR,18,49.5,v02,Vegetables
JPN,18,2864.9,v02,Vegetables
MEX,18,6376.1,v02,Vegetables
NGA,18,11881.1,v02,Vegetables
NZL,18,287.7,v02,Vegetables
ROU,18,294.5,v02,Vegetables
TUR,18,-303.2,v02,Vegetables
USA,18,12423.9,v02,Vegetables
ZAF,18,9673.9,v02,Vegetables
AUS,19,1316.5,v02,Vegetables
BGD,19,43839.5,v02,Vegetables
BGR,19,1078.1,v02,Vegetables
BRA,19,25913.1,v02,Vegetables
CAN,19,1874.5,v02,Vegetables
CHN,19,-4197.6,v02,Vegetables
DEU,19,5560.7,v02,Vegetables
EGY,19,1228.2,v02,Vegetables
GBR,19,3740.6,v02,Vegetables
GLB,19,298453.9,v02,Vegetables
IND,19,102386.3,v02,Vegetables
ISR,19,56.1,v02,Vegetables
JPN,19,3195.3,v02,Vegetables
MEX,19,7277.9,v02,Vegetables
NGA,19,13629.6,v02,Vegetables
NZL,19,323.8,v02,Vegetables
ROU,19,324.7,v02,Vegetables
TUR,19,-342.0,v02,Vegetables
USA,19,14045.3,v02,Vegetables
ZAF,19,10922.6,v02,Vegetables
AUS,20,1472.9,v02,Vegetables
BGD,20,49014.0,v02,Vegetables
BGR,20,1175.4,v02,Vegetables
BRA,20,29201.4,v02,Vegetables
CAN,20,2105.9,v02,Vegetables
CHN,20,-4713.3,v02,Vegetables
DEU,20,6186.9,v02,Vegetables
EGY,20,1370.7,v02,Vegetables
GBR,20,4158.0,v02,Vegetables
GLB,20,334857.9,v02,Vegetables
IND,20,114458.0,v02,Vegetables
ISR,20,63.1,v02,Vegetables
JPN,20,3533.7,v02,Vegetables
MEX,20,8231.0,v02,Vegetables
NGA,20,15492.9,v02,Vegetables
NZL,20,361.2,v02,Vegetables
ROU,20,355.2,v02,Vegetables
TUR,20,-382.5,v02,Vegetables
USA,20,15728.6,v02,Vegetables
ZAF,20,12226.4,v02,Vegetables
AUS,21,1634.9,v02,Vegetables
BGD,21,54387.1,v02,Vegetables
BGR,21,1272.8,v02,Vegetables
BRA,21,32636.7,v02,Vegetables
CAN,21,2346.3,v02,Vegetables
CHN,21,-5248.7,v02,Vegetables
DEU,21,6831.3,v02,Vegetables
EGY,21,1518.6,v02,Vegetables
GBR,21,4587.8,v02,Vegetables
GLB,21,372720.7,v02,Vegetables
IND,21,127002.0,v02,Vegetables
ISR,21,70.4,v02,Vegetables
JPN,21,3878.9,v02,Vegetables
MEX,21,9233.3,v02,Vegetables
NGA,21,17468.3,v02,Vegetables
NZL,21,399.8,v02,Vegetables
ROU,21,385.9,v02,Vegetables
TUR,21,-424.6,v02,Vegetables
USA,21,17466.7,v02,Vegetables
ZAF,21,13582.5,v02,Vegetables
AUS,22,1802.2,v02,Vegetables
BGD,22,59947.5,v02,Vegetables
BGR,22,1370.1,v02,Vegetables
BRA,22,36209.7,v02,Vegetables
CAN,22,2594.7,v02,Vegetables
CHN,22,-5802.0,v02,Vegetables
DEU,22,7491.3,v02,Vegetables
EGY,22,1671.5,v02,Vegetables
GBR,22,5028.9,v02,Vegetables
GLB,22,411939.9,v02,Vegetables
IND,22,139992.3,v02,Vegetables
ISR,22,78.0,v02,Vegetables
JPN,22,4230.2,v02,Vegetables
MEX,22,10282.6,v02,Vegetables
NGA,22,19552.8,v02,Vegetables
NZL,22,439.6,v02,Vegetables
ROU,22,416.9,v02,Vegetables
TUR,22,-468.2,v02,Vegetables
USA,22,19253.1,v02,Vegetables
ZAF,22,14988.5,v02,Vegetables
AUS,23,1974.4,v02,Vegetables
BGD,23,65684.8,v02,Vegetables
BGR,23,1467.1,v02,Vegetables
BRA,23,39911.1,v02,Vegetables
CAN,23,2850.5,v02,Vegetables
CHN,23,-6371.4,v02,Vegetables
DEU,23,8164.8,v02,Vegetables
EGY,23,1829.0,v02,Vegetables
GBR,23,5480.2,v02,Vegetables
GLB,23,452417.5,v02,Vegetables
IND,23,153403.2,v02,Vegetables
ISR,23,85.9,v02,Vegetables
JPN,23,4586.7,v02,Vegetables
MEX,23,11376.9,v02,Vegetables
NGA,23,21743.4,v02,Vegetables
NZL,23,480.4,v02,Vegetables
ROU,23,448.0,v02,Vegetables
TUR,23,-513.3,v02,Vegetables
USA,23,21081.7,v02,Vegetables
ZAF,23,16442.0,v02,Vegetables
AUS,24,2151.2,v02,Vegetables
BGD,24,71588.4,v02,Vegetables
BGR,24,1563.7,v02,Vegetables
BRA,24,43731.8,v02,Vegetables
CAN,24,3112.8,v02,Vegetables
CHN,24,-6955.2,v02,Vegetables
DEU,24,8849.7,v02,Vegetables
EGY,24,1990.9,v02,Vegetables
GBR,24,5940.8,v02,Vegetables
GLB,24,494058.8,v02,Vegetables
IND,24,167209.3,v02,Vegetables
ISR,24,94.0,v02,Vegetables
JPN,24,4947.8,v02,Vegetables
MEX,24,12513.9,v02,Vegetables
NGA,24,24036.4,v02,Vegetables
NZL,24,522.1,v02,Vegetables
ROU,24,479.2,v02,Vegetables
TUR,24,-559.6,v02,Vegetables
USA,24,22947.1,v02,Vegetables
ZAF,24,17940.9,v02,Vegetables
AUS,25,2332.3,v02,Vegetables
BGD,25,77647.9,v02,Vegetables
BGR,25,1659.8,v02,Vegetables
BRA,25,47663.0,v02,Vegetables
CAN,25,3381.0,v02,Vegetables
CHN,25,-7551.7,v02,Vegetables
DEU,25,9543.8,v02,Vegetables
EGY,25,2156.5,v02,Vegetables
GBR,25,6409.8,v02,Vegetables
GLB,25,536771.1,v02,Vegetables
IND,25,181384.2,v02,Vegetables
ISR,25,102.4,v02,Vegetables
JPN,25,5312.8,v02,Vegetables
MEX,25,13691.5,v02,Vegetables
NGA,25,26428.2,v02,Vegetables
NZL,25,564.6,v02,Vegetables
ROU,25,510.5,v02,Vegetables
TUR,25,-607.2,v02,Vegetables
USA,25,24844.0,v02,Vegetables
ZAF,25,19483.1,v02,Vegetables
AUS,26,2517.3,v02,Vegetables
BGD,26,83852.3,v02,Vegetables
BGR,26,1755.2,v02,Vegetables
BRA,26,51695.6,v02,Vegetables
CAN,26,3654.3,v02,Vegetables
CHN,26,-8159.2,v02,Vegetables
DEU,26,10245.3,v02,Vegetables
EGY,26,2325.6,v02,Vegetables
GBR,26,6886.1,v02,Vegetables
GLB,26,580463.7,v02,Vegetables
IND,26,195900.6,v02,Vegetables
ISR,26,111.1,v02,Vegetables
JPN,26,5681.3,v02,Vegetables
MEX,26,14907.4,v02,Vegetables
NGA,26,28914.3,v02,Vegetables
NZL,26,607.9,v02,Vegetables
ROU,26,541.7,v02,Vegetables
TUR,26,-656.0,v02,Vegetables
USA,26,26767.8,v02,Vegetables
ZAF,26,21066.3,v02,Vegetables
AUS,27,2705.9,v02,Vegetables
BGD,27,90190.1,v02,Vegetables
BGR,27,1849.7,v02,Vegetables
BRA,27,55820.9,v02,Vegetables
CAN,27,3932.3,v02,Vegetables
CHN,27,-8776.0,v02,Vegetables
DEU,27,10952.5,v02,Vegetables
EGY,27,2497.6,v02,Vegetables
GBR,27,7369.0,v02,Vegetables
GLB,27,625046.1,v02,Vegetables
IND,27,210729.5,v02,Vegetables
ISR,27,120.0,v02,Vegetables
JPN,27,6052.7,v02,Vegetables
MEX,27,16159.1,v02,Vegetables
NGA,27,31489.9,v02,Vegetables
NZL,27,651.8,v02,Vegetables
ROU,27,572.9,v02,Vegetables
TUR,27,-705.7,v02,Vegetables
USA,27,28714.1,v02,Vegetables
ZAF,27,22688.3,v02,Vegetables
AUS,28,2898.0,v02,Vegetables
BGD,28,96649.0,v02,Vegetables
BGR,28,1943.3,v02,Vegetables
BRA,28,60029.7,v02,Vegetables
CAN,28,4214.3,v02,Vegetables
CHN,28,-9400.5,v02,Vegetables
DEU,28,11663.6,v02,Vegetables
EGY,28,2671.9,v02,Vegetables
GBR,28,7857.6,v02,Vegetables
GLB,28,670428.0,v02,Vegetables
IND,28,225840.3,v02,Vegetables
ISR,28,129.1,v02,Vegetables
JPN,28,6426.5,v02,Vegetables
MEX,28,17444.3,v02,Vegetables
NGA,28,34150.0,v02,Vegetables
NZL,28,696.4,v02,Vegetables
ROU,28,604.0,v02,Vegetables
TUR,28,-756.4,v02,Vegetables
USA,28,30679.0,v02,Vegetables
ZAF,28,24346.6,v02,Vegetables
AUS,29,3093.2,v02,Vegetables
BGD,29,103215.8,v02,Vegetables
BGR,29,2035.8,v02,Vegetables
BRA,29,64313.0,v02,Vegetables
CAN,29,4499.7,v02,Vegetables
CHN,29,-10031.3,v02,Vegetables
DEU,29,12377.1,v02,Vegetables
EGY,29,2848.2,v02,Vegetables
GBR,29,8351.0,v02,Vegetables
GLB,29,716518.0,v02,Vegetables
IND,29,241200.5,v02,Vegetables
ISR,29,138.5,v02,Vegetables
JPN,29,6802.1,v02,Vegetables
MEX,29,18760.4,v02,Vegetables
NGA,29,36888.7,v02,Vegetables
NZL,29,741.5,v02,Vegetables
ROU,29,634.9,v02,Vegetables
TUR,29,-807.9,v02,Vegetables
USA,29,32658.7,v02,Vegetables
ZAF,29,26038.7,v02,Vegetables
AUS,30,3291.2,v02,Vegetables
BGD,30,109876.1,v02,Vegetables
BGR,30,2127.1,v02,Vegetables
BRA,30,68661.4,v02,Vegetables
CAN,30,4788.1,v02,Vegetables
CHN,30,-10666.8,v02,Vegetables
DEU,30,13091.6,v02,Vegetables
EGY,30,3025.6,v02,Vegetables
GBR,30,8848.4,v02,Vegetables
GLB,30,763223.5,v02,Vegetables
IND,30,256775.5,v02,Vegetables
ISR,30,148.1,v02,Vegetables
JPN,30,7178.9,v02,Vegetables
MEX,30,20104.8,v02,Vegetables
NGA,30,39699.9,v02,Vegetables
NZL,30,787.0,v02,Vegetables
ROU,30,665.6,v02,Vegetables
TUR,30,-860.2,v02,Vegetables
USA,30,34649.9,v02,Vegetables
ZAF,30,27761.5,v02,Vegetables
AUS,1,0.0,v05,Legumes
BGD,1,0.0,v05,Legumes
BGR,1,0.0,v05,Legumes
BRA,1,0.0,v05,Legumes
CAN,1,0.0,v05,Legumes
CHN,1,0.0,v05,Legumes
DEU,1,0.0,v05,Legumes
EGY,1,0.0,v05,Legumes
GBR,1,0.0,v05,Legumes
GLB,1,0.0,v05,Legumes
IND,1,0.0,v05,Legumes
ISR,1,0.0,v05,Legumes
JPN,1,0.0,v05,Legumes
MEX,1,0.0,v05,Legumes
NGA,1,0.0,v05,Legumes
NZL,1,0.0,v05,Legumes
ROU,1,0.0,v05,Legumes
TUR,1,0.0,v05,Legumes
USA,1,0.0,v05,Legumes
ZAF,1,0.0,v05,Legumes
AUS,2,4.7,v05,Legumes
BGD,2,36.1,v05,Legumes
BGR,2,5.0,v05,Legumes
BRA,2,8.8,v05,Legumes
CAN,2,3.3,v05,Legumes
CHN,2,252.8,v05,Legumes
DEU,2,60.4,v05,Legumes
EGY,2,25.5,v05,Legumes
GBR,2,14.5,v05,Legumes
GLB,2,901.1,v05,Legumes
IND,2,96.1,v05,Legumes
ISR,2,0.7,v05,Legumes
JPN,2,3.6,v05,Legumes
MEX,2,8.2,v05,Legumes
NGA,2,12.0,v05,Legumes
NZL,2,1.8,v05,Legumes
ROU,2,23.7,v05,Legumes
TUR,2,6.0,v05,Legumes
USA,2,103.1,v05,Legumes
ZAF,2,3.9,v05,Legumes
AUS,3,15.9,v05,Legumes
BGD,3,121.1,v05,Legumes
BGR,3,16.9,v05,Legumes
BRA,3,30.8,v05,Legumes
CAN,3,11.4,v05,Legumes
CHN,3,867.4,v05,Legumes
DEU,3,205.6,v05,Legumes
EGY,3,83.8,v05,Legumes
GBR,3,49.7,v05,Legumes
GLB,3,3116.7,v05,Legumes
IND,3,330.8,v05,Legumes
ISR,3,2.3,v05,Legumes
JPN,3,12.3,v05,Legumes
MEX,3,29.0,v05,Legumes
NGA,3,40.2,v05,Legumes
NZL,3,6.1,v05,Legumes
ROU,3,77.0,v05,Legumes
TUR,3,20.6,v05,Legumes
USA,3,350.7,v05,Legumes
ZAF,3,13.5,v05,Legumes
AUS,4,36.3,v05,Legumes
BGD,4,275.4,v05,Legumes
BGR,4,38.5,v05,Legumes
BRA,4,72.3,v05,Legumes
CAN,4,26.8,v05,Legumes
CHN,4,2009.0,v05,Legumes
DEU,4,469.9,v05,Legumes
EGY,4,188.0,v05,Legumes
GBR,4,114.6,v05,Legumes
GLB,4,7246.4,v05,Legumes
IND,4,765.3,v05,Legumes
ISR,4,5.2,v05,Legumes
JPN,4,28.5,v05,Legumes
MEX,4,68.6,v05,Legumes
NGA,4,91.5,v05,Legumes
NZL,4,13.9,v05,Legumes
ROU,4,171.0,v05,Legumes
TUR,4,47.3,v05,Legumes
USA,4,805.4,v05,Legumes
ZAF,4,31.7,v05,Legumes
AUS,5,69.7,v05,Legumes
BGD,5,524.9,v05,Legumes
BGR,5,73.3,v05,Legumes
BRA,5,141.3,v05,Legumes
CAN,5,52.6,v05,Legumes
CHN,5,3896.5,v05,Legumes
DEU,5,894.4,v05,Legumes
EGY,5,355.8,v05,Legumes
GBR,5,220.3,v05,Legumes
GLB,5,14063.1,v05,Legumes
IND,5,1477.0,v05,Legumes
ISR,5,10.2,v05,Legumes
JPN,5,54.8,v05,Legumes
MEX,5,135.4,v05,Legumes
NGA,5,175.2,v05,Legumes
NZL,5,26.4,v05,Legumes
ROU,5,318.9,v05,Legumes
TUR,5,90.8,v05,Legumes
USA,5,1548.5,v05,Legumes
ZAF,5,62.2,v05,Legumes
AUS,6,120.3,v05,Legumes
BGD,6,898.1,v05,Legumes
BGR,6,124.9,v05,Legumes
BRA,6,246.9,v05,Legumes
CAN,6,92.4,v05,Legumes
CHN,6,6783.3,v05,Legumes
DEU,6,1521.2,v05,Legumes
EGY,6,606.5,v05,Legumes
GBR,6,378.7,v05,Legumes
GLB,6,24436.5,v05,Legumes
IND,6,2551.1,v05,Legumes
ISR,6,17.7,v05,Legumes
JPN,6,94.2,v05,Legumes
MEX,6,238.8,v05,Legumes
NGA,6,301.9,v05,Legumes
NZL,6,45.2,v05,Legumes
ROU,6,534.6,v05,Legumes
TUR,6,156.4,v05,Legumes
USA,6,2671.5,v05,Legumes
ZAF,6,109.2,v05,Legumes
AUS,7,192.0,v05,Legumes
BGD,7,1420.7,v05,Legumes
BGR,7,196.7,v05,Legumes
BRA,7,398.2,v05,Legumes
CAN,7,149.7,v05,Legumes
CHN,7,10919.4,v05,Legumes
DEU,7,2385.1,v05,Legumes
EGY,7,958.1,v05,Legumes
GBR,7,601.0,v05,Legumes
GLB,7,39203.2,v05,Legumes
IND,7,4066.2,v05,Legumes
ISR,7,28.5,v05,Legumes
JPN,7,149.1,v05,Legumes
MEX,7,388.2,v05,Legumes
NGA,7,481.8,v05,Legumes
NZL,7,71.5,v05,Legumes
ROU,7,828.6,v05,Legumes
TUR,7,249.0,v05,Legumes
USA,7,4261.3,v05,Legumes
ZAF,7,177.2,v05,Legumes
AUS,8,287.8,v05,Legumes
BGD,8,2110.7,v05,Legumes
BGR,8,290.5,v05,Legumes
BRA,8,602.6,v05,Legumes
CAN,8,227.6,v05,Legumes
CHN,8,16510.1,v05,Legumes
DEU,8,3507.9,v05,Legumes
EGY,8,1423.7,v05,Legumes
GBR,8,894.9,v05,Legumes
GLB,8,59034.2,v05,Legumes
IND,8,6080.6,v05,Legumes
ISR,8,43.0,v05,Legumes
JPN,8,221.3,v05,Legumes
MEX,8,591.2,v05,Legumes
NGA,8,723.4,v05,Legumes
NZL,8,106.3,v05,Legumes
ROU,8,1206.6,v05,Legumes
TUR,8,372.5,v05,Legumes
USA,8,6386.6,v05,Legumes
ZAF,8,269.8,v05,Legumes
AUS,9,409.5,v05,Legumes
BGD,9,2975.8,v05,Legumes
BGR,9,406.7,v05,Legumes
BRA,9,865.0,v05,Legumes
CAN,9,327.9,v05,Legumes
CHN,9,23690.3,v05,Legumes
DEU,9,4896.9,v05,Legumes
EGY,9,2010.3,v05,Legumes
GBR,9,1264.7,v05,Legumes
GLB,9,84358.9,v05,Legumes
IND,9,8625.8,v05,Legumes
ISR,9,61.8,v05,Legumes
JPN,9,311.5,v05,Legumes
MEX,9,853.1,v05,Legumes
NGA,9,1032.1,v05,Legumes
NZL,9,150.2,v05,Legumes
ROU,9,1668.6,v05,Legumes
TUR,9,529.3,v05,Legumes
USA,9,9089.3,v05,Legumes
ZAF,9,389.7,v05,Legumes
AUS,10,557.5,v05,Legumes
BGD,10,4014.7,v05,Legumes
BGR,10,544.7,v05,Legumes
BRA,10,1188.3,v05,Legumes
CAN,10,451.8,v05,Legumes
CHN,10,32520.9,v05,Legumes
DEU,10,6546.7,v05,Legumes
EGY,10,2718.7,v05,Legumes
GBR,10,1710.7,v05,Legumes
GLB,10,115362.8,v05,Legumes
IND,10,11707.0,v05,Legumes
ISR,10,84.8,v05,Legumes
JPN,10,419.4,v05,Legumes
MEX,10,1176.7,v05,Legumes
NGA,10,1410.5,v05,Legumes
NZL,10,203.2,v05,Legumes
ROU,10,2210.3,v05,Legumes
TUR,10,720.4,v05,Legumes
USA,10,12384.6,v05,Legumes
ZAF,10,538.5,v05,Legumes
AUS,11,731.2,v05,Legumes
BGD,11,5219.2,v05,Legumes
BGR,11,702.5,v05,Legumes
BRA,11,1572.9,v05,Legumes
CAN,11,599.4,v05,Legumes
CHN,11,43000.6,v05,Legumes
DEU,11,8444.3,v05,Legumes
EGY,11,3545.7,v05,Legumes
GBR,11,2230.7,v05,Legumes
GLB,11,152032.8,v05,Legumes
IND,11,15309.4,v05,Legumes
ISR,11,112.2,v05,Legumes
JPN,11,544.3,v05,Legumes
MEX,11,1562.4,v05,Legumes
NGA,11,1859.2,v05,Legumes
NZL,11,265.0,v05,Legumes
ROU,11,2824.3,v05,Legumes
TUR,11,945.5,v05,Legumes
USA,11,16265.4,v05,Legumes
ZAF,11,716.6,v05,Legumes
AUS,12,929.5,v05,Legumes
BGD,12,6577.2,v05,Legumes
BGR,12,878.0,v05,Legumes
BRA,12,2018.0,v05,Legumes
CAN,12,770.3,v05,Legumes
CHN,12,55084.9,v05,Legumes
DEU,12,10572.2,v05,Legumes
EGY,12,4485.5,v05,Legumes
GBR,12,2820.6,v05,Legumes
GLB,12,194218.2,v05,Legumes
IND,12,19406.0,v05,Legumes
ISR,12,143.9,v05,Legumes
JPN,12,684.7,v05,Legumes
MEX,12,2009.5,v05,Legumes
NGA,12,2377.4,v05,Legumes
NZL,12,335.3,v05,Legumes
ROU,12,3502.1,v05,Legumes
TUR,12,1203.7,v05,Legumes
USA,12,20708.8,v05,Legumes
ZAF,12,923.9,v05,Legumes
AUS,13,1150.9,v05,Legumes
BGD,13,8074.9,v05,Legumes
BGR,13,1068.8,v05,Legumes
BRA,13,2521.5,v05,Legumes
CAN,13,963.8,v05,Legumes
CHN,13,68703.5,v05,Legumes
DEU,13,12911.8,v05,Legumes
EGY,13,5530.9,v05,Legumes
GBR,13,3475.7,v05,Legumes
GLB,13,241685.4,v05,Legumes
IND,13,23963.1,v05,Legumes
ISR,13,179.7,v05,Legumes
JPN,13,839.3,v05,Legumes
MEX,13,2516.0,v05,Legumes
NGA,13,2963.6,v05,Legumes
NZL,13,413.3,v05,Legumes
ROU,13,4235.0,v05,Legumes
TUR,13,1493.5,v05,Legumes
USA,13,25682.5,v05,Legumes
ZAF,13,1159.6,v05,Legumes
AUS,14,1393.9,v05,Legumes
BGD,14,9698.5,v05,Legumes
BGR,14,1272.7,v05,Legumes
BRA,14,3081.0,v05,Legumes
CAN,14,1178.6,v05,Legumes
CHN,14,83773.0,v05,Legumes
