iso3,yr,cum_averted,gdd_var,factor
MEX,8,610.7,v01,Fruits
NGA,8,1610.1,v01,Fruits
NZL,8,51.8,v01,Fruits
ROU,8,413.6,v01,Fruits
TUR,8,144.3,v01,Fruits
USA,8,2654.4,v01,Fruits
ZAF,8,2107.3,v01,Fruits
AUS,9,292.5,v01,Fruits
BGD,9,7407.3,v01,Fruits
BGR,9,538.8,v01,Fruits
BRA,9,1627.8,v01,Fruits
CAN,9,177.2,v01,Fruits
CHN,9,30347.2,v01,Fruits
DEU,9,1122.4,v01,Fruits
EGY,9,995.2,v01,Fruits
GBR,9,826.9,v01,Fruits
GLB,9,132934.8,v01,Fruits
IND,9,127517.6,v01,Fruits
ISR,9,16.9,v01,Fruits
JPN,9,2920.5,v01,Fruits
MEX,9,881.1,v01,Fruits
NGA,9,2306.8,v01,Fruits
NZL,9,73.1,v01,Fruits
ROU,9,566.4,v01,Fruits
TUR,9,202.7,v01,Fruits
USA,9,3782.2,v01,Fruits
ZAF,9,2989.6,v01,Fruits
AUS,10,398.1,v01,Fruits
BGD,10,10017.5,v01,Fruits
BGR,10,712.7,v01,Fruits
BRA,10,2236.7,v01,Fruits
CAN,10,243.7,v01,Fruits
CHN,10,41624.9,v01,Fruits
DEU,10,1501.4,v01,Fruits
EGY,10,1339.6,v01,Fruits
GBR,10,1115.8,v01,Fruits
GLB,10,181552.5,v01,Fruits
IND,10,172530.5,v01,Fruits
ISR,10,23.2,v01,Fruits
JPN,10,3917.5,v01,Fruits
MEX,10,1215.3,v01,Fruits
NGA,10,3165.9,v01,Fruits
NZL,10,98.9,v01,Fruits
ROU,10,743.4,v01,Fruits
TUR,10,273.0,v01,Fruits
USA,10,5159.0,v01,Fruits
ZAF,10,4060.7,v01,Fruits
AUS,11,522.1,v01,Fruits
BGD,11,13060.0,v01,Fruits
BGR,11,908.1,v01,Fruits
BRA,11,2961.4,v01,Fruits
CAN,11,322.8,v01,Fruits
CHN,11,54998.5,v01,Fruits
DEU,11,1937.8,v01,Fruits
EGY,11,1739.9,v01,Fruits
GBR,11,1451.7,v01,Fruits
GLB,11,238968.3,v01,Fruits
IND,11,225009.7,v01,Fruits
ISR,11,30.6,v01,Fruits
JPN,11,5064.8,v01,Fruits
MEX,11,1613.9,v01,Fruits
NGA,11,4190.3,v01,Fruits
