iso3,outcome,glp1_channel,conv_wt,deaths,deaths_lo,deaths_hi
CAN,IschStroke,完全汇流-结构可及,1.0,678.0,186.0,2010.0
CAN,IschStroke,纯直接效应-结构不可及,0.0,13.0,-158.0,230.0
CAN,IschStroke,部分汇流-结构小部可及,0.1731644141515737,329.0,-172.0,910.0
CAN,SAH,基本不汇流-结构近乎不可及,0.024731597392648297,90.0,-0.0,193.0
CAN,SAH,完全汇流-结构可及,1.0,85.0,0.0,309.0
CAN,SAH,纯直接效应-结构不可及,0.0,-116.0,-518.0,214.0
CAN,T2D,完全汇流-结构可及,1.0,2317.0,1376.0,3454.0
CAN,T2D,纯直接效应-结构不可及,0.0,34.0,9.0,70.0
CHN,CKD,完全汇流-结构可及,1.0,28180.0,15794.0,53150.0
CHN,ICH,基本不汇流-结构近乎不可及,0.023999999999999997,64021.0,-3816.0,141843.0
CHN,ICH,完全汇流-结构可及,1.0,178595.0,46865.0,381708.0
CHN,ICH,纯直接效应-结构不可及,0.0,-63061.0,-328773.0,126380.0
CHN,ICH,部分汇流-结构小部可及,0.11900000000000001,-0.0,-1.0,0.0
CHN,IHD,基本不汇流-结构近乎不可及,0.0032901164732679184,48579.0,-63955.0,230659.0
CHN,IHD,完全汇流-结构可及,1.0,253794.0,52727.0,561344.0
CHN,IHD,纯直接效应-结构不可及,0.0,332141.0,73661.0,647156.0
CHN,IHD,部分汇流-结构小部可及,0.23975942719566573,522334.0,331787.0,777422.0
CHN,IschStroke,完全汇流-结构可及,1.0,127076.0,31577.0,282027.0
CHN,IschStroke,纯直接效应-结构不可及,0.0,5455.0,-16069.0,39921.0
CHN,IschStroke,部分汇流-结构小部可及,0.16009776331496442,33991.0,-14508.0,91805.0
CHN,SAH,基本不汇流-结构近乎不可及,0.02400002373624218,5666.0,-295.0,12921.0
CHN,SAH,完全汇流-结构可及,1.0,15566.0,4084.0,34894.0
CHN,SAH,纯直接效应-结构不可及,0.0,-5854.0,-30033.0,10881.0
CHN,T2D,完全汇流-结构可及,1.0,39801.0,21000.0,68281.0
CHN,T2D,纯直接效应-结构不可及,0.0,883.0,120.0,2365.0
DEU,CKD,完全汇流-结构可及,1.0,9399.0,6407.0,14830.0
DEU,ICH,基本不汇流-结构近乎不可及,0.024000000000000007,677.0,-44.0,1478.0
DEU,ICH,完全汇流-结构可及,1.0,707.0,3.0,2572.0
DEU,ICH,纯直接效应-结构不可及,0.0,-790.0,-4429.0,1810.0
DEU,ICH,部分汇流-结构小部可及,0.11900000000000002,22.0,-0.0,117.0
DEU,IHD,基本不汇流-结构近乎不可及,0.0062650900075964045,15047.0,-7840.0,41724.0
DEU,IHD,完全汇流-结构可及,1.0,6769.0,19.0,24258.0
DEU,IHD,纯直接效应-结构不可及,0.0,37762.0,7558.0,67848.0
DEU,IHD,部分汇流-结构小部可及,0.254738364526404,33957.0,22114.0,48819.0
DEU,IschStroke,完全汇流-结构可及,1.0,2898.0,962.0,8401.0
DEU,IschStroke,纯直接效应-结构不可及,0.0,316.0,-530.0,1589.0
DEU,IschStroke,部分汇流-结构小部可及,0.17126553102134892,1417.0,-652.0,3794.0
DEU,SAH,基本不汇流-结构近乎不可及,0.02430416763079672,223.0,-9.0,475.0
DEU,SAH,完全汇流-结构可及,1.0,192.0,1.0,729.0
DEU,SAH,纯直接效应-结构不可及,0.0,-284.0,-1550.0,596.0
DEU,T2D,完全汇流-结构可及,1.0,8926.0,5549.0,13173.0
DEU,T2D,纯直接效应-结构不可及,0.0,195.0,64.0,372.0
EGY,CKD,完全汇流-结构可及,1.0,4922.0,2932.0,9514.0
EGY,ICH,基本不汇流-结构近乎不可及,0.023999999999999997,793.0,-43.0,2069.0
EGY,ICH,完全汇流-结构可及,1.0,441.0,0.0,2210.0
EGY,ICH,纯直接效应-结构不可及,0.0,-431.0,-2182.0,920.0
EGY,ICH,部分汇流-结构小部可及,0.11899999999999998,-0.0,-0.0,0.0
EGY,IHD,基本不汇流-结构近乎不可及,0.0024909934975139597,19749.0,-47081.0,74598.0
EGY,IHD,完全汇流-结构可及,1.0,6120.0,24.0,26099.0
EGY,IHD,纯直接效应-结构不可及,0.0,19096.0,-162.0,41453.0
EGY,IHD,部分汇流-结构小部可及,0.1880911218276863,69808.0,35337.0,108482.0
EGY,IschStroke,完全汇流-结构可及,1.0,1945.0,204.0,7889.0
EGY,IschStroke,纯直接效应-结构不可及,0.0,-343.0,-1207.0,239.0
EGY,IschStroke,部分汇流-结构小部可及,0.16198546209968245,1068.0,139.0,2342.0
EGY,SAH,基本不汇流-结构近乎不可及,0.024000000004650513,77.0,-5.0,212.0
EGY,SAH,完全汇流-结构可及,1.0,37.0,0.0,195.0
EGY,SAH,纯直接效应-结构不可及,0.0,-46.0,-250.0,87.0
EGY,T2D,完全汇流-结构可及,1.0,2687.0,1546.0,4735.0
EGY,T2D,纯直接效应-结构不可及,0.0,28.0,1.0,106.0
GBR,CKD,完全汇流-结构可及,1.0,2760.0,1936.0,4142.0
GBR,ICH,基本不汇流-结构近乎不可及,0.024,589.0,-36.0,1268.0
GBR,ICH,完全汇流-结构可及,1.0,444.0,0.0,1818.0
GBR,ICH,纯直接效应-结构不可及,0.0,-451.0,-2390.0,1263.0
GBR,ICH,部分汇流-结构小部可及,0.11899999999999997,41.0,-1.0,214.0
GBR,IHD,基本不汇流-结构近乎不可及,0.005787321990644271,9908.0,-8035.0,27146.0
GBR,IHD,完全汇流-结构可及,1.0,3093.0,1.0,11755.0
GBR,IHD,纯直接效应-结构不可及,0.0,16116.0,4002.0,29446.0
GBR,IHD,部分汇流-结构小部可及,0.2330506479955229,31221.0,20935.0,42146.0
GBR,IschStroke,完全汇流-结构可及,1.0,1555.0,558.0,4507.0
GBR,IschStroke,纯直接效应-结构不可及,0.0,86.0,-300.0,702.0
GBR,IschStroke,部分汇流-结构小部可及,0.170722009716849,893.0,-528.0,2559.0
GBR,SAH,基本不汇流-结构近乎不可及,0.024665483637906535,231.0,-3.0,467.0
GBR,SAH,完全汇流-结构可及,1.0,122.0,-0.0,525.0
GBR,SAH,纯直接效应-结构不可及,0.0,-195.0,-957.0,477.0
GBR,T2D,完全汇流-结构可及,1.0,3229.0,2062.0,4579.0
GBR,T2D,纯直接效应-结构不可及,0.0,69.0,15.0,153.0
GLB,CKD,完全汇流-结构可及,1.0,344228.0,239078.0,515919.0
GLB,ICH,基本不汇流-结构近乎不可及,0.024000000000000007,245564.0,-15030.0,500355.0
GLB,ICH,完全汇流-结构可及,1.0,333314.0,60891.0,804016.0
GLB,ICH,纯直接效应-结构不可及,0.0,-66309.0,-512347.0,286144.0
GLB,ICH,部分汇流-结构小部可及,0.11899999999999997,50308.0,-3710.0,119708.0
GLB,IHD,基本不汇流-结构近乎不可及,0.003524799308735896,645756.0,-1267436.0,2207469.0
GLB,IHD,完全汇流-结构可及,1.0,643435.0,78580.0,1662483.0
GLB,IHD,纯直接效应-结构不可及,0.0,1695580.0,514362.0,2914672.0
GLB,IHD,部分汇流-结构小部可及,0.2229493963200376,3017105.0,2022862.0,4079714.0
GLB,IschStroke,完全汇流-结构可及,1.0,300356.0,64033.0,749160.0
GLB,IschStroke,纯直接效应-结构不可及,0.0,19399.0,-26518.0,89405.0
GLB,IschStroke,部分汇流-结构小部可及,0.16746044153378592,201101.0,11895.0,411481.0
GLB,SAH,基本不汇流-结构近乎不可及,0.025879808292471756,33648.0,2809.0,66106.0
GLB,SAH,完全汇流-结构可及,1.0,33786.0,5671.0,86629.0
GLB,SAH,纯直接效应-结构不可及,0.0,-10844.0,-74997.0,38916.0
GLB,T2D,完全汇流-结构可及,1.0,449456.0,293395.0,623531.0
GLB,T2D,纯直接效应-结构不可及,0.0,15297.0,5633.0,29016.0
IND,CKD,完全汇流-结构可及,1.0,27526.0,17822.0,44368.0
IND,ICH,基本不汇流-结构近乎不可及,0.024,73075.0,-4665.0,156461.0
IND,ICH,完全汇流-结构可及,1.0,34151.0,908.0,119366.0
IND,ICH,纯直接效应-结构不可及,0.0,9237.0,-4045.0,30485.0
IND,ICH,部分汇流-结构小部可及,0.11900000000000001,5769.0,-258.0,17798.0
IND,IHD,基本不汇流-结构近乎不可及,0.0022231769863787667,144960.0,-420373.0,574718.0
IND,IHD,完全汇流-结构可及,1.0,74706.0,1445.0,254787.0
IND,IHD,纯直接效应-结构不可及,0.0,249896.0,97651.0,444800.0
IND,IHD,部分汇流-结构小部可及,0.20004798656044037,729812.0,470134.0,1034309.0
IND,IschStroke,完全汇流-结构可及,1.0,23427.0,1578.0,90584.0
IND,IschStroke,纯直接效应-结构不可及,0.0,2324.0,-1556.0,10673.0
IND,IschStroke,部分汇流-结构小部可及,0.1612100802829262,52567.0,13995.0,102274.0
IND,SAH,基本不汇流-结构近乎不可及,0.024810450526834633,8215.0,42.0,21250.0
IND,SAH,完全汇流-结构可及,1.0,3205.0,82.0,12579.0
IND,SAH,纯直接效应-结构不可及,0.0,1004.0,-440.0,3829.0
IND,T2D,完全汇流-结构可及,1.0,108268.0,53972.0,176908.0
IND,T2D,纯直接效应-结构不可及,0.0,4210.0,1205.0,9046.0
ISR,CKD,完全汇流-结构可及,1.0,494.0,337.0,814.0
ISR,ICH,基本不汇流-结构近乎不可及,0.024000000000000004,36.0,-3.0,81.0
ISR,ICH,完全汇流-结构可及,1.0,49.0,0.0,178.0
ISR,ICH,纯直接效应-结构不可及,0.0,-62.0,-271.0,112.0
ISR,ICH,部分汇流-结构小部可及,0.11899999999999998,-0.0,-0.0,0.0
ISR,IHD,基本不汇流-结构近乎不可及,0.0043312077607156685,212.0,-203.0,778.0
ISR,IHD,完全汇流-结构可及,1.0,189.0,0.0,708.0
ISR,IHD,纯直接效应-结构不可及,0.0,612.0,142.0,1155.0
ISR,IHD,部分汇流-结构小部可及,0.2732340290853418,768.0,491.0,1128.0
ISR,IschStroke,完全汇流-结构可及,1.0,79.0,23.0,250.0
ISR,IschStroke,纯直接效应-结构不可及,0.0,0.0,-22.0,26.0
ISR,IschStroke,部分汇流-结构小部可及,0.1658511916489372,29.0,-26.0,97.0
ISR,SAH,基本不汇流-结构近乎不可及,0.02400007281208088,6.0,-0.0,15.0
ISR,SAH,完全汇流-结构可及,1.0,8.0,0.0,30.0
ISR,SAH,纯直接效应-结构不可及,0.0,-12.0,-49.0,20.0
ISR,T2D,完全汇流-结构可及,1.0,751.0,440.0,1142.0
ISR,T2D,纯直接效应-结构不可及,0.0,11.0,2.0,24.0
JPN,CKD,完全汇流-结构可及,1.0,17412.0,11964.0,26600.0
JPN,ICH,基本不汇流-结构近乎不可及,0.023999999999999997,2195.0,-138.0,4674.0
JPN,ICH,完全汇流-结构可及,1.0,3648.0,155.0,9766.0
JPN,ICH,纯直接效应-结构不可及,0.0,-31.0,-5196.0,4227.0
JPN,ICH,部分汇流-结构小部可及,0.11900000000000004,13.0,-0.0,97.0
JPN,IHD,基本不汇流-结构近乎不可及,0.004695562071247026,9970.0,-11163.0,31973.0
JPN,IHD,完全汇流-结构可及,1.0,11239.0,390.0,28910.0
JPN,IHD,纯直接效应-结构不可及,0.0,19209.0,8947.0,31620.0
JPN,IHD,部分汇流-结构小部可及,0.23888439202177636,47465.0,31790.0,64786.0
JPN,IschStroke,完全汇流-结构可及,1.0,8966.0,1788.0,21556.0
JPN,IschStroke,纯直接效应-结构不可及,0.0,565.0,-1655.0,3195.0
JPN,IschStroke,部分汇流-结构小部可及,0.16528611480871175,2823.0,-2434.0,8773.0
JPN,SAH,基本不汇流-结构近乎不可及,0.024051308534050117,928.0,-56.0,1935.0
JPN,SAH,完全汇流-结构可及,1.0,1260.0,44.0,3427.0
JPN,SAH,纯直接效应-结构不可及,0.0,-19.0,-2357.0,1750.0
JPN,T2D,完全汇流-结构可及,1.0,5111.0,3318.0,7350.0
JPN,T2D,纯直接效应-结构不可及,0.0,248.0,110.0,405.0
MEX,CKD,完全汇流-结构可及,1.0,13362.0,9241.0,20375.0
MEX,ICH,基本不汇流-结构近乎不可及,0.023999999999999997,659.0,-46.0,1368.0
MEX,ICH,完全汇流-结构可及,1.0,651.0,1.0,2247.0
MEX,ICH,纯直接效应-结构不可及,0.0,-972.0,-3894.0,1455.0
MEX,ICH,部分汇流-结构小部可及,0.11900000000000002,119.0,-6.0,488.0
MEX,IHD,基本不汇流-结构近乎不可及,0.0027203572035140555,8831.0,-16543.0,33241.0
MEX,IHD,完全汇流-结构可及,1.0,6567.0,12.0,21725.0
MEX,IHD,纯直接效应-结构不可及,0.0,22539.0,10084.0,37287.0
MEX,IHD,部分汇流-结构小部可及,0.1738619173531602,35749.0,20082.0,51804.0
MEX,IschStroke,完全汇流-结构可及,1.0,1195.0,224.0,3460.0
MEX,IschStroke,纯直接效应-结构不可及,0.0,-0.0,-391.0,525.0
MEX,IschStroke,部分汇流-结构小部可及,0.1800581329102443,559.0,88.0,1093.0
MEX,SAH,基本不汇流-结构近乎不可及,0.025812047035030563,319.0,25.0,630.0
MEX,SAH,完全汇流-结构可及,1.0,212.0,-0.0,743.0
MEX,SAH,纯直接效应-结构不可及,0.0,-407.0,-1622.0,616.0
MEX,T2D,完全汇流-结构可及,1.0,24302.0,13119.0,36691.0
MEX,T2D,纯直接效应-结构不可及,0.0,106.0,4.0,371.0
NGA,CKD,完全汇流-结构可及,1.0,9276.0,5822.0,15424.0
NGA,ICH,基本不汇流-结构近乎不可及,0.024000000000000007,3310.0,-179.0,7692.0
NGA,ICH,完全汇流-结构可及,1.0,1265.0,-0.0,6182.0
NGA,ICH,纯直接效应-结构不可及,0.0,-292.0,-1723.0,499.0
NGA,ICH,部分汇流-结构小部可及,0.11899999999999998,772.0,-33.0,3279.0
NGA,IHD,基本不汇流-结构近乎不可及,0.002654302799341199,9852.0,-29778.0,38971.0
NGA,IHD,完全汇流-结构可及,1.0,2339.0,-0.0,11076.0
