iso3,outcome,glp1_channel,conv_wt,deaths,deaths_lo,deaths_hi,rate_per_100k
AUS,CKD,完全汇流-结构可及,1.0,873.8546887014435,299.9344818724435,1886.7574342614553,4.6283250609492175
AUS,ICH,基本不汇流-结构近乎不可及,0.024,94.50114252548259,-6.400083619176664,199.3337601339696,0.5005202946144041
AUS,ICH,完全汇流-结构可及,1.0,41.64281347978411,0.019132641485033516,215.07048862028097,0.2205589553147869
AUS,ICH,纯直接效应-结构不可及,0.0,-117.59055987028158,-715.0440662753942,352.66590293749465,-0.6228121702790546
AUS,ICH,部分汇流-结构小部可及,0.119,4.136306345367392,-0.13428777593369587,23.378958345631478,0.021907727412295044
AUS,IHD,基本不汇流-结构近乎不可及,0.006,1429.189915904599,-2872.6248901963536,5161.978655499102,7.569628669575202
AUS,IHD,完全汇流-结构可及,1.0,272.2675726257078,0.18239755323464069,1324.4738489353379,1.4420507733842558
AUS,IHD,纯直接效应-结构不可及,0.0,2939.543607809612,-380.2563340510704,6996.278333051516,15.569136978592754
AUS,IHD,部分汇流-结构小部可及,0.2012,4811.433765098836,1564.772043973077,8544.301283632192,25.483504021928365
AUS,IschStroke,完全汇流-结构可及,1.0,106.40128074791913,9.939039779980742,455.95714205848475,0.563548746227462
AUS,IschStroke,纯直接效应-结构不可及,0.0,46.269825140998705,-59.57580333497311,208.8191877823337,0.24506567743437307
AUS,IschStroke,部分汇流-结构小部可及,0.17066666666666666,128.63020506505572,-193.42760429642118,478.2625341465459,0.6812830661609413
AUS,SAH,基本不汇流-结构近乎不可及,0.029999999999999995,53.614753447193294,-3.817545130978206,115.7089237480466,0.283967701065959
AUS,SAH,完全汇流-结构可及,1.0,21.314343118205947,0.012868425288107778,98.82498913020375,0.11289028906883534
AUS,SAH,纯直接效应-结构不可及,0.0,-73.85994957133317,-428.60203704603333,197.73402461936988,-0.39119530972527705
AUS,T2D,完全汇流-结构可及,1.0,1346.2476564344565,294.69407372351156,2650.452081841839,7.130329386661393
AUS,T2D,纯直接效应-结构不可及,0.0,31.717424284646388,10.970229158917475,59.99488536767281,0.16798965730049722
