sex,scenario,outcome,iso3,paf_base,paf_scen,averted_frac_alldeaths
male,sodium30,IHD,AUS,0.4504616645228715,0.4447877236717849,0.005673940851086635
male,sodium30,IHD,BGD,0.5563036024215536,0.549655653955352,0.006647948466201576
male,sodium30,IHD,BGR,0.5067898189490062,0.47798875029558524,0.028801068653420914
male,sodium30,IHD,BRA,0.42029872418429165,0.40016259354778605,0.020136130636505614
male,sodium30,IHD,CAN,0.3899486367075887,0.373439476531819,0.016509160175769724
male,sodium30,IHD,CHN,0.45238154655050583,0.41506092701471725,0.03732061953578861
male,sodium30,IHD,DEU,0.41382509605561674,0.3995619071859666,0.014263188869650128
male,sodium30,IHD,EGY,0.4163678703472711,0.4059737673383054,0.010394103008965693
male,sodium30,IHD,GBR,0.4758246964849554,0.4703994908042723,0.005425205680683119
male,sodium30,IHD,GLB,0.47876457968269615,0.4502079050422556,0.028556674640440576
male,sodium30,IHD,IND,0.5428690585365629,0.5267249773892686,0.01614408114729423
male,sodium30,IHD,ISR,0.310498626276045,0.2950159795533929,0.015482646722652092
male,sodium30,IHD,JPN,0.43767054089445034,0.41852007709458844,0.01915046379986188
male,sodium30,IHD,MEX,0.4313053245308271,0.41304273670097363,0.018262587829853467
male,sodium30,IHD,NGA,0.381591087905692,0.381591087905692,0.0
male,sodium30,IHD,NZL,0.43649019469574163,0.4296104225833689,0.006879772112372728
male,sodium30,IHD,ROU,0.5228917243933635,0.49044993588586316,0.03244178850750034
male,sodium30,IHD,TUR,0.28903067495736695,0.2827392701932031,0.006291404764163844
male,sodium30,IHD,USA,0.41029194863902935,0.3973252618131259,0.012966686825903488
male,sodium30,IHD,ZAF,0.49196452572082444,0.49157484544589314,0.00038968027493129935
male,sodium30,T2D,AUS,0.36466997499334075,0.36466997499334075,0.0
male,sodium30,T2D,BGD,0.2889451225731197,0.2889451225731197,0.0
male,sodium30,T2D,BGR,0.2941101402358065,0.2941101402358065,0.0
male,sodium30,T2D,BRA,0.2312157696059605,0.2312157696059605,0.0
male,sodium30,T2D,CAN,0.3288875081657465,0.3288875081657465,0.0
male,sodium30,T2D,CHN,0.2240341366375308,0.2240341366375308,0.0
male,sodium30,T2D,DEU,0.3507082252201217,0.3507082252201217,0.0
male,sodium30,T2D,EGY,0.11610794874563297,0.11610794874563297,0.0
male,sodium30,T2D,GBR,0.35727464621660215,0.35727464621660215,0.0
male,sodium30,T2D,GLB,0.22097006043489614,0.22097006043489614,0.0
male,sodium30,T2D,IND,0.178885513310306,0.178885513310306,0.0
male,sodium30,T2D,ISR,0.26680544392053535,0.26680544392053535,0.0
male,sodium30,T2D,JPN,0.32150296841689047,0.32150296841689047,0.0
male,sodium30,T2D,MEX,0.254664633054482,0.254664633054482,0.0
male,sodium30,T2D,NGA,0.14120814674147192,0.14120814674147192,0.0
male,sodium30,T2D,NZL,0.33240073808654547,0.33240073808654547,0.0
male,sodium30,T2D,ROU,0.29505807653501587,0.29505807653501587,0.0
male,sodium30,T2D,TUR,0.14464063091246188,0.14464063091246188,0.0
male,sodium30,T2D,USA,0.41472027079556245,0.41472027079556245,0.0
male,sodium30,T2D,ZAF,0.2480643452965826,0.2480643452965826,0.0
male,sodium30,IschStroke,AUS,0.09130194255776819,0.0831626336717211,0.008139308886047098
male,sodium30,IschStroke,BGD,0.22717918837395304,0.21230037391872494,0.014878814455228106
male,sodium30,IschStroke,BGR,0.24244741579920853,0.17055736547657924,0.0718900503226293
male,sodium30,IschStroke,BRA,0.16770562403054673,0.12695700712901084,0.04074861690153589
male,sodium30,IschStroke,CAN,0.11745040113418032,0.08823205116478264,0.029218349969397685
male,sodium30,IschStroke,CHN,0.2555387298208225,0.17752324120729307,0.07801548861352942
male,sodium30,IschStroke,DEU,0.1307670038072804,0.09883983007834414,0.03192717372893627
male,sodium30,IschStroke,EGY,0.0629042345673888,0.04615040683260403,0.016753827734784774
male,sodium30,IschStroke,GBR,0.10351783238753835,0.0940063747521493,0.009511457635389044
male,sodium30,IschStroke,GLB,0.196834477781792,0.1326021463908835,0.06423233139090852
male,sodium30,IschStroke,IND,0.22547769743915574,0.19193711042358666,0.033540587015569084
male,sodium30,IschStroke,ISR,0.09237694651636724,0.0658960815969336,0.026480864919433647
male,sodium30,IschStroke,JPN,0.1407568418683888,0.10769747215612557,0.033059369712263226
male,sodium30,IschStroke,MEX,0.12733398946276425,0.08544215833107913,0.04189183113168513
male,sodium30,IschStroke,NGA,0.1094488440799445,0.1094488440799445,0.0
male,sodium30,IschStroke,NZL,0.10174917057320837,0.09040893489687273,0.01134023567633565
male,sodium30,IschStroke,ROU,0.24340068824382902,0.1539666716553483,0.08943401658848073
male,sodium30,IschStroke,TUR,0.0696840060680987,0.055411190756621424,0.014272815311477269
male,sodium30,IschStroke,USA,0.13335521507056575,0.10600298276501614,0.027352232305549586
male,sodium30,IschStroke,ZAF,0.14646534604519532,0.14564120605153236,0.0008241399936629516
male,sodium30,CKD,NZL,0.008878354396273713,0.0,0.008878354396273713
male,sodium30,CKD,JPN,0.03356122863457245,0.002039423494122783,0.031521805140449666
male,sodium30,CKD,ISR,0.017230110914442376,0.0,0.017230110914442376
male,sodium30,CKD,GLB,0.0375707022532894,0.005919327293793963,0.03165137495949544
male,sodium30,CKD,NGA,0.0,0.0,0.0
male,sodium30,CKD,CAN,0.019858243129001862,0.0015306790189965058,0.018327564110005357
male,sodium30,CKD,BGD,0.013695479815884481,0.0,0.013695479815884481
male,sodium30,CKD,EGY,0.011112624168932439,0.001512636580288107,0.009599987588644332
male,sodium30,CKD,BGR,0.09094450444770008,0.0416633306074945,0.04928117384020558
male,sodium30,CKD,AUS,0.007045597322723918,0.0,0.007045597322723918
male,sodium30,CKD,USA,0.013393625573512646,0.0,0.013393625573512646
male,sodium30,CKD,ZAF,0.0006028983308736802,0.0,0.0006028983308736802
male,sodium30,CKD,DEU,0.023085076069163546,0.001330519102931138,0.021754556966232408
male,sodium30,CKD,GBR,0.007407950814520281,0.0,0.007407950814520281
male,sodium30,CKD,ROU,0.09120369486335778,0.041771975410912265,0.04943171945244551
male,sodium30,CKD,TUR,0.009771441824631744,0.0015369781265804905,0.008234463698051253
male,sodium30,CKD,BRA,0.024242392390776635,0.0,0.024242392390776635
male,sodium30,CKD,MEX,0.01814195440157418,0.0,0.01814195440157418
male,sodium30,CKD,IND,0.021869677756613637,0.0016646013966520323,0.020205076359961605
male,sodium30,CKD,CHN,0.08130058323037626,0.039095059627014206,0.04220552360336205
male,feasible,IHD,AUS,0.4504616645228715,0.4124425364541379,0.038019128068733574
male,feasible,IHD,BGD,0.5563036024215536,0.5178048850358823,0.03849871738567129
male,feasible,IHD,BGR,0.5067898189490062,0.47757334533406676,0.02921647361493942
male,feasible,IHD,BRA,0.42029872418429165,0.38464040078618394,0.035658323398107684
male,feasible,IHD,CAN,0.3899486367075887,0.3552320487459165,0.0347165879616722
male,feasible,IHD,CHN,0.45238154655050583,0.4113403579532238,0.04104118859728201
male,feasible,IHD,DEU,0.41382509605561674,0.38409356928376914,0.029731526771847615
male,feasible,IHD,EGY,0.4163678703472711,0.40101045217518955,0.015357418172081548
male,feasible,IHD,GBR,0.4758246964849554,0.4427927491998052,0.03303194728515017
male,feasible,IHD,GLB,0.47876457968269615,0.44158931704102045,0.03717526264167575
male,feasible,IHD,IND,0.5428690585365629,0.516362488325176,0.026506570211386943
male,feasible,IHD,ISR,0.310498626276045,0.2725151302010174,0.03798349607502764
male,feasible,IHD,JPN,0.43767054089445034,0.4001397887378552,0.037530752156595085
male,feasible,IHD,MEX,0.4313053245308271,0.40895656474977254,0.022348759781054547
male,feasible,IHD,NGA,0.381591087905692,0.37607829599008435,0.005512791915607644
male,feasible,IHD,NZL,0.43649019469574163,0.40102556980441056,0.035464624891331044
male,feasible,IHD,ROU,0.5228917243933635,0.49230317877602636,0.030588545617337152
male,feasible,IHD,TUR,0.28903067495736695,0.2688847514768418,0.020145923480525085
male,feasible,IHD,USA,0.41029194863902935,0.3705813942876493,0.039710554351380045
male,feasible,IHD,ZAF,0.49196452572082444,0.48832288765678505,0.0036416380640393728
male,feasible,T2D,AUS,0.36466997499334075,0.3044743747923367,0.060195600201004076
male,feasible,T2D,BGD,0.2889451225731197,0.21064776592363496,0.07829735664948477
male,feasible,T2D,BGR,0.2941101402358065,0.26915776496251753,0.02495237527328899
male,feasible,T2D,BRA,0.2312157696059605,0.1982619839622328,0.03295378564372768
male,feasible,T2D,CAN,0.3288875081657465,0.2956241313014627,0.03326337686428378
male,feasible,T2D,CHN,0.2240341366375308,0.1849053849479238,0.03912875168960699
male,feasible,T2D,DEU,0.3507082252201217,0.31951197776927825,0.031196247450843446
male,feasible,T2D,EGY,0.11610794874563297,0.106025117579936,0.010082831165696965
male,feasible,T2D,GBR,0.35727464621660215,0.31749437030202654,0.03978027591457561
male,feasible,T2D,GLB,0.22097006043489614,0.1955468680409986,0.025423192393897533
male,feasible,T2D,IND,0.178885513310306,0.1578489177620843,0.021036595548221716
