outcome,iso3,coverage,PAF_diet,share_reach,flow_available,pif_med_pop,pif_resid_pop,averted_med_raw,averted_med_samebase,spillover_nondiet,averted_resid_samebase,flow_ratio
IHD,AUS,0.05,0.4367681545460915,0.029053356282271944,True,0.0032999999999999995,0.006699999999999998,0.007555495897885465,0.007555495897885465,0.0,0.015339946216918973,0.26005587184072604
IHD,AUS,0.1,0.4367681545460915,0.029053356282271944,True,0.006599999999999999,0.013399999999999995,0.01511099179577093,0.01511099179577093,0.0,0.030679892433837945,0.5201117436814521
IHD,AUS,0.2,0.4367681545460915,0.029053356282271944,True,0.013199999999999998,0.02679999999999999,0.03022198359154186,0.029053356282271944,0.0011686273092699172,0.06135978486767589,1.0
IHD,AUS,0.5,0.4367681545460915,0.029053356282271944,True,0.032999999999999995,0.06699999999999998,0.07555495897885466,0.029053356282271944,0.04650160269658271,0.15339946216918973,1.0
IHD,BGD,0.05,0.5410941823549227,0.05244833460477335,True,0.0032999999999999995,0.006699999999999998,0.006098753428909375,0.006098753428909375,0.0,0.012382317567785699,0.1162811645949636
IHD,BGD,0.1,0.5410941823549227,0.05244833460477335,True,0.006599999999999999,0.013399999999999995,0.01219750685781875,0.01219750685781875,0.0,0.024764635135571398,0.2325623291899272
IHD,BGD,0.2,0.5410941823549227,0.05244833460477335,True,0.013199999999999998,0.02679999999999999,0.0243950137156375,0.0243950137156375,0.0,0.049529270271142796,0.4651246583798544
IHD,BGD,0.5,0.5410941823549227,0.05244833460477335,True,0.032999999999999995,0.06699999999999998,0.06098753428909375,0.05244833460477335,0.008539199684320403,0.12382317567785699,1.0
IHD,BGR,0.05,0.4834392733844448,0.20797465327594453,True,0.0032999999999999995,0.006699999999999998,0.006826090021394982,0.006826090021394982,0.0,0.013859031255559507,0.03282174012011936
IHD,BGR,0.1,0.4834392733844448,0.20797465327594453,True,0.006599999999999999,0.013399999999999995,0.013652180042789964,0.013652180042789964,0.0,0.027718062511119013,0.06564348024023872
IHD,BGR,0.2,0.4834392733844448,0.20797465327594453,True,0.013199999999999998,0.02679999999999999,0.02730436008557993,0.02730436008557993,0.0,0.05543612502223803,0.13128696048047744
IHD,BGR,0.5,0.4834392733844448,0.20797465327594453,True,0.032999999999999995,0.06699999999999998,0.06826090021394982,0.06826090021394982,0.0,0.13859031255559506,0.3282174012011936
IHD,BRA,0.05,0.4024048757315013,0.10667564667473345,True,0.0032999999999999995,0.006699999999999998,0.008200695863839074,0.008200695863839074,0.0,0.016649897662945997,0.0768750517992542
IHD,BRA,0.1,0.4024048757315013,0.10667564667473345,True,0.006599999999999999,0.013399999999999995,0.016401391727678148,0.016401391727678148,0.0,0.033299795325891994,0.1537501035985084
IHD,BRA,0.2,0.4024048757315013,0.10667564667473345,True,0.013199999999999998,0.02679999999999999,0.032802783455356296,0.032802783455356296,0.0,0.06659959065178399,0.3075002071970168
IHD,BRA,0.5,0.4024048757315013,0.10667564667473345,True,0.032999999999999995,0.06699999999999998,0.08200695863839075,0.08200695863839075,0.0,0.16649897662945998,0.7687505179925421
IHD,CAN,0.05,0.3704600775547555,0.0888545574928272,True,0.0032999999999999995,0.006699999999999998,0.008907842436847318,0.008907842436847318,0.0,0.018085619492993033,0.10025194754434971
IHD,CAN,0.1,0.3704600775547555,0.0888545574928272,True,0.006599999999999999,0.013399999999999995,0.017815684873694636,0.017815684873694636,0.0,0.036171238985986065,0.20050389508869942
IHD,CAN,0.2,0.3704600775547555,0.0888545574928272,True,0.013199999999999998,0.02679999999999999,0.03563136974738927,0.03563136974738927,0.0,0.07234247797197213,0.40100779017739885
IHD,CAN,0.5,0.3704600775547555,0.0888545574928272,True,0.032999999999999995,0.06699999999999998,0.08907842436847317,0.0888545574928272,0.00022386687564597552,0.18085619492993035,1.0
IHD,CHN,0.05,0.4269124914133464,0.21938405045433798,True,0.0032999999999999995,0.006699999999999998,0.007729921392262248,0.007729921392262248,0.0,0.015694082826714258,0.035234655282614234
IHD,CHN,0.1,0.4269124914133464,0.21938405045433798,True,0.006599999999999999,0.013399999999999995,0.015459842784524495,0.015459842784524495,0.0,0.031388165653428515,0.07046931056522847
IHD,CHN,0.2,0.4269124914133464,0.21938405045433798,True,0.013199999999999998,0.02679999999999999,0.03091968556904899,0.03091968556904899,0.0,0.06277633130685703,0.14093862113045694
IHD,CHN,0.5,0.4269124914133464,0.21938405045433798,True,0.032999999999999995,0.06699999999999998,0.07729921392262247,0.07729921392262247,0.0,0.15694082826714256,0.3523465528261423
IHD,DEU,0.05,0.39661349273503105,0.07236863206286417,True,0.0032999999999999995,0.006699999999999998,0.008320443102536249,0.008320443102536249,0.0,0.016893020844543288,0.11497306036279037
IHD,DEU,0.1,0.39661349273503105,0.07236863206286417,True,0.006599999999999999,0.013399999999999995,0.016640886205072498,0.016640886205072498,0.0,0.033786041689086575,0.22994612072558074
IHD,DEU,0.2,0.39661349273503105,0.07236863206286417,True,0.013199999999999998,0.02679999999999999,0.033281772410144995,0.033281772410144995,0.0,0.06757208337817315,0.4598922414511615
IHD,DEU,0.5,0.39661349273503105,0.07236863206286417,True,0.032999999999999995,0.06699999999999998,0.08320443102536249,0.07236863206286417,0.010835798962498311,0.16893020844543288,1.0
IHD,EGY,0.05,0.3992561901582348,0.05332264556995112,True,0.0032999999999999995,0.006699999999999998,0.008265369658244072,0.008265369658244072,0.0,0.016781205063707658,0.15500674375582466
IHD,EGY,0.1,0.3992561901582348,0.05332264556995112,True,0.006599999999999999,0.013399999999999995,0.016530739316488144,0.016530739316488144,0.0,0.033562410127415315,0.3100134875116493
IHD,EGY,0.2,0.3992561901582348,0.05332264556995112,True,0.013199999999999998,0.02679999999999999,0.03306147863297629,0.03306147863297629,0.0,0.06712482025483063,0.6200269750232986
IHD,EGY,0.5,0.3992561901582348,0.05332264556995112,True,0.032999999999999995,0.06699999999999998,0.08265369658244072,0.05332264556995112,0.029331051012489597,0.16781205063707658,1.0
IHD,GBR,0.05,0.46147454572798213,0.0512612284132719,True,0.0032999999999999995,0.006699999999999998,0.007150990299571575,0.007150990299571575,0.0,0.01451867727488774,0.13950095463806975
